Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tristylospyris triceros,Thyrsocyrtis triacantha,Thyrsocyrtis rhizodon,Thyrsocyrtis lochites,Spongatractus pachystylus,Sethochytris triconiscus,Podocyrtis chalara,Calocyclas hispida,Theocotylissa ficus,Podocyrtis  ampla,Lithocyclia ocellus,Eusyringium fistuligerum,Cryptocarpium ornatum,Artophormis barbadensis,Podocyrtis trachodes,Podocyrtis papalis,Lithochytris vespertilio,Dictyoprora mongolfieri,Podocyrtis goetheana,Lithocyclia aristotelis group,Lychnocanoma bellum,Thyrsocyrtis  tetracantha,Thyrsocyrtis bromia,Dictyoprora armadillo,Cryptocarpium azyx,Calocyclas turris,Calocyclas bandyca,Theocyrtis tuberosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,199,1217,B,  2,H, 4, 110.00,     25.6000,nannos   ,Radiolarians                                 ,T              ,P                 ,                       ,+                      ,                     ,                     ,                         ,                        ,                  ,                  ,                   ,                 ,                   ,                        ,                     ,                       ,                    ,                  ,+                       ,                       ,                    ,                             ,                   ,                         ,                   ,                     ,                  ,                 ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Eocene      ,Late Eocene      ,RP18              ,RP18          ,199,1217,B,  3,H, 2,  32.00,     31.3200,nannos   ,Radiolarians                                 ,F              ,P                 ,+                      ,+                      ,+                    ,+                    ,                         ,                        ,+                 ,                  ,                   ,                 ,+                  ,+                       ,                     ,+                      ,                    ,+                 ,                        ,+                      ,                    ,                             ,                   ,+                        ,+                  ,                     ,+                 ,+                ,+                 ,+                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Eocene      ,Late Eocene      ,RP18              ,RP18          ,199,1217,B,  3,H, 3,  84.00,     33.3400,nannos   ,Radiolarians                                 ,C              ,M                 ,+                      ,+                      ,                     ,+                    ,                         ,                        ,                  ,                  ,                   ,                 ,                   ,+                       ,                     ,                       ,                    ,                  ,+                       ,+                      ,                    ,+                            ,                   ,                         ,                   ,                     ,                  ,                 ,-                 ,+                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Eocene      ,Late Eocene      ,RP18              ,RP18          ,199,1217,B,  4,H, 1,  50.00,     39.5000,nannos   ,Radiolarians                                 ,C              ,G                 ,+                      ,+                      ,                     ,+                    ,                         ,                        ,                  ,                  ,                   ,                 ,                   ,+                       ,                     ,                       ,+                   ,                  ,                        ,+                      ,+                   ,                             ,                   ,+                        ,                   ,+                    ,+                 ,+                ,+                 ,+                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
