Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thyrsocyrtis rhizodon,Theocotylissa ficus,Sethochytris triconiscus,Lithocyclia ocellus,Eusyringium fistuligerum,Sethochytris bablylonis,Artophormis barbadensis,Podocyrtis chalara,Tristylospyris triceros,Theocyrtis tuberosa,Dorcadospyris sp.,Lophocyrtis pegetrum,Lithocyclia angusta,Staurolastrum sp.,Pterocanium (?) sp. A,Artophormis gracilis,Lychnocanoma sp. A,Dorcadospyris ateuchus,Didymocyrtis prismatica,Theocyrtis annosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. ateuchus (RP21),              ,124, 767,C,  6,R, 5,  39.00,    731.0400,Scherer  ,Radiolarians                                 ,C              ,P                 ,                     ,                   ,                        ,                   ,                        ,                       ,                       ,                  ,C                      ,                   ,A                ,R                   ,F                  ,R                ,                     ,F                   ,F                 ,                      ,R                      ,F                ,from ODP Leg 124 SR Chapter 25 Table 1 p 347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. ateuchus (RP21),              ,124, 767,C,  6,R, 6,  59.00,    732.1700,Scherer  ,Radiolarians                                 ,R              ,P                 ,                     ,                   ,                        ,                   ,                        ,                       ,                       ,                  ,R                      ,                   ,C                ,R                   ,F                  ,                 ,R                    ,R                   ,                  ,F                     ,                       ,                 ,from ODP Leg 124 SR Chapter 25 Table 1 p 347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. ateuchus (RP21),              ,124, 767,C,  6,R, 6,  64.00,    732.2200,Scherer  ,Radiolarians                                 ,F              ,P                 ,                     ,                   ,                        ,                   ,                        ,                       ,                       ,                  ,R                      ,                   ,C                ,F                   ,F                  ,R                ,                     ,R                   ,                  ,F                     ,                       ,F                ,from ODP Leg 124 SR Chapter 25 Table 1 p 347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. tuberosa       ,              ,124, 767,C,  8,R, 1,  15.00,    743.4500,Scherer  ,Radiolarians                                 ,C              ,P                 ,                     ,                   ,                        ,                   ,                        ,                       ,                       ,                  ,C                      ,F                  ,A                ,F                   ,R                  ,                 ,F                    ,R                   ,F                 ,R                     ,R                      ,                 ,from ODP Leg 124 SR Chapter 25 Table 1 p 347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. tuberosa       ,              ,124, 767,C,  8,R, 2,   4.00,    744.8400,Scherer  ,Radiolarians                                 ,C              ,VP                ,                     ,                   ,                        ,                   ,                        ,                       ,                       ,                  ,                       ,                   ,?                ,?                   ,?                  ,                 ,                     ,                    ,                  ,                      ,                       ,                 ,from ODP Leg 124 SR Chapter 25 Table 1 p 347
