Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudoemiliania lacunosa,Helicosphaera sellii,Gephyrocapsa spp. (small),Gephyrocapsa spp. (large),Coccolithus pelagicus,Helicosphaera carteri,Gephyrocapsa sp. medium,Ceratolithus telesmus,Ceratolithus cristatus,Calcidiscus leptoporus,Braarudosphaera bigelowii,Helicosphaera wallichii,Gephyrocapsa sp.3 medium,Gephyrocapsa omega,Helicosphaera inversa,Pontosphaera spp.,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1055,B,  1,H,CC,  19.00,      4.4500,Raffi    ,Nannofossils                                 ,               ,                  ,                        ,                    ,                         ,                         ,                     ,                     ,A                      ,                     ,                      ,                      ,                         ,+                      ,                        ,C                 ,                     ,                 ,A                ,< 0.085   CN 15/ NN 21b- Gephrocapsid assemblage is rich and diversified
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1055,B,  2,H,CC,  15.00,     14.1900,Raffi    ,Nannofossils                                 ,A              ,G                 ,                        ,                    ,A                        ,                         ,                     ,                     ,A                      ,                     ,                      ,                      ,                         ,                       ,                        ,A                 ,                     ,                 ,A                ,"> 0.085< 0.26   CN 15 - NN 21 a- traces of siliceous stuff- E huxleyi could be here, diff to detect"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1055,B,  3,H,CC,  27.00,     23.9800,Raffi    ,Nannofossils                                 ,C              ,G                 ,-                       ,                    ,A                        ,                         ,                     ,                     ,A                      ,                     ,R                     ,                      ,                         ,                       ,                        ,C                 ,                     ,                 ,                 ,"(> 0.26 ?)> 0.085< 0.46- traces of siliceous stuff- E huxleyi could be here, diff to detect"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1055,B,  4,H,CC,  24.00,     33.5900,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                       ,                    ,                         ,                         ,                     ,                     ,A                      ,                     ,                      ,                      ,                         ,                       ,                        ,                  ,                     ,                 ,-                ,> 0.26< 0.46    NN 20- E. huxleyi is not evident
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1055,B,  5,H,CC,  19.00,     42.8300,Raffi    ,Nannofossils                                 ,A              ,G                 ,-                       ,                    ,A                        ,                         ,                     ,                     ,A                      ,                     ,                      ,                      ,                         ,                       ,                        ,                  ,                     ,                 ,                 ,> 0.26> 0.46    NN 20 - CN 14b- some siliceous stuff- abundant Gephs of any size...
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
