Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra gelida,Discoaster neorectus,Discoaster intercalaris,Discoaster deflandrei,Coccolithus pelagicus,Triquetrorhabdulus rugosus,Discoaster variabilis,Discoaster loeblichii,Calcidiscus leptoporus,Reticulofenestra pseudoumbilica,Emiliania huxleyi,Discoaster surculus,Calcidiscus macintyrei,Reticulofenestra minuta,Discoaster challengeri,Discoaster calcaris,Amaurolithus ninae,Amaurolithus delicatus,Helicosphaera sellii,Helicosphaera kamptneri,Gephyrocapsa spp. (small),Pseudoemiliania lacunosa,Gephyrocapsa > 4.5,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B,  1,H,CC,  13.00,      4.7500,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                       ,                     ,                     ,                          ,                     ,                     ,                      ,                               ,                 ,                   ,                      ,                       ,                      ,                   ,                  ,                      ,                    ,                       ,A                        ,                        ,C                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B,  2,H,CC,   9.00,     14.6500,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                       ,                     ,                     ,                          ,                     ,                     ,                      ,                               ,                 ,                   ,                      ,                       ,                      ,                   ,                  ,                      ,                    ,                       ,A                        ,C                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B,  3,H,CC,  13.00,     24.0700,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                       ,                     ,                     ,                          ,                     ,                     ,                      ,                               ,                 ,                   ,                      ,                       ,                      ,                   ,                  ,                      ,                    ,                       ,A                        ,F                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B,  4,H,CC,  10.00,     33.5900,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                       ,                     ,                     ,                          ,                     ,                     ,                      ,                               ,                 ,                   ,                      ,                       ,                      ,                   ,                  ,                      ,                    ,                       ,A                        ,F                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,B,  5,H,CC,  13.00,     42.6600,nannos   ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                       ,                     ,                     ,                          ,                     ,                     ,A                     ,                               ,                 ,                   ,F                     ,                       ,                      ,                   ,                  ,                      ,                    ,                       ,A                        ,F                       ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
