leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding
85,574,C,1,1,0.0,150.0,194.50,194.50,196.00,NP, DIATOM NANNOFOSSIL OOZE," WHITE,GRAY,LIGHT GREEN GRAY,YELLOW WHITE", BANDING, GREATLY DISTURBED TO MODERATELY DISTURBED,,,,, SOFT, 00000000
85,574,C,1,2,0.0,150.0,194.50,196.00,197.50,NP, DIATOM NANNOFOSSIL OOZE," LIGHT GRAY,GREEN GRAY",, MODERATELY DISTURBED TO UNDISTURBED,,,,, SOFT, 00000000
85,574,C,1,3,0.0,145.0,194.50,197.50,198.95,NP, DIATOM NANNOFOSSIL OOZE, LIGHT GREEN GRAY, BURROWS, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,1,4,0.0,150.0,194.50,199.00,200.50,NP, DIATOM NANNOFOSSIL OOZE," WHITE,GREEN GRAY",, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,1,5,0.0,150.0,194.50,200.50,202.00,NP, DIATOM NANNOFOSSIL OOZE," WHITE,GREEN GRAY", MOTTLING, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,1,6,0.0,16.0,194.50,202.00,202.16,NP, DIATOM NANNOFOSSIL OOZE, LIGHT GREEN GRAY,, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,1,CC,0.0,17.0,194.50,202.26,202.33,NP, DIATOM NANNOFOSSIL OOZE, LIGHT GREEN GRAY,, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,2,1,0.0,150.0,204.00,204.00,205.50,NP, SILICEOUS NANNOFOSSIL OOZE, LIGHT GREEN GRAY,, UNDISTURBED TO GREATLY DISTURBED,,,,, SOFT, 00000000
85,574,C,2,2,0.0,150.0,204.00,205.50,207.00,NP, SILICEOUS NANNOFOSSIL OOZE, LIGHT GREEN GRAY,, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,2,3,0.0,150.0,204.00,207.00,208.50,NP, SILICEOUS NANNOFOSSIL OOZE, LIGHT GREEN GRAY, BEDDING, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,2,4,0.0,150.0,204.00,208.50,210.00,NP, SILICEOUS NANNOFOSSIL OOZE, LIGHT GREEN GRAY,, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,2,5,0.0,150.0,204.00,210.00,211.50,NP, SILICEOUS NANNOFOSSIL OOZE, LIGHT GREEN GRAY,, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,2,6,0.0,150.0,204.00,211.50,213.00,NP, SILICEOUS NANNOFOSSIL OOZE," LIGHT GREEN GRAY,GREENISH WHITE",, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,2,7,0.0,37.0,204.00,213.00,213.37,NP, SILICEOUS NANNOFOSSIL OOZE, GREENISH WHITE,, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,3,1,0.0,150.0,213.50,213.50,215.00,NP, RAD DIATOM NANNOFOSSIL OOZE," LIGHT GREEN GRAY,GREENISH WHITE",, GREATLY DISTURBED TO UNDISTURBED,,,,, SOFT, 00000000
85,574,C,3,2,0.0,150.0,213.50,215.00,216.50,NP, RAD DIATOM NANNOFOSSIL OOZE," LIGHT GREEN GRAY,GREENISH WHITE",, GREATLY DISTURBED TO UNDISTURBED,,,,, SOFT, 00000000
85,574,C,3,3,0.0,150.0,213.50,216.50,218.00,NP, RAD DIATOM NANNOFOSSIL OOZE," LIGHT GREEN GRAY,GREENISH WHITE", BEDDING, UNDISTURBED, PYRITE INFILLINGS, PYRITE,,, SOFT, 00000000
85,574,C,3,4,0.0,73.0,213.50,218.00,218.73,NP, RAD DIATOM NANNOFOSSIL OOZE," LIGHT GREEN GRAY,GREENISH WHITE",, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,3,CC,0.0,16.0,213.50,218.83,218.89,NP, RAD DIATOM NANNOFOSSIL OOZE," LIGHT GREEN GRAY,GREENISH WHITE",, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,4,1,0.0,150.0,223.00,223.00,224.50,IJ, SILICEOUS NANNOFOSSIL OOZE, GREENISH WHITE, FRACTURES, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,4,2,0.0,140.0,223.00,224.50,225.90,IJ, SILICEOUS NANNOFOSSIL OOZE, GREENISH WHITE,, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,4,3,0.0,60.0,223.00,226.00,226.60,IJ, SILICEOUS NANNOFOSSIL OOZE, GREENISH WHITE,, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,4,CC,0.0,5.0,223.00,226.70,226.65,IJ, SILICEOUS NANNOFOSSIL CHALK, GREENISH WHITE,, UNDISTURBED,,,,, FIRM, 00000000
85,574,C,4,CC,5.0,15.0,223.00,226.65,226.75,IJ, SILICEOUS NANNOFOSSIL OOZE, GREENISH WHITE,, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,5,1,0.0,150.0,232.50,232.50,234.00,IJ," SILICEOUS NANNO OOZE,SILICEOUS NANNO CHALK"," LIGHT GRAY,LIGHT GREEN GRAY"," BEDDING,BANDING", UNDISTURBED,,,,, SOFT, 00000000
85,574,C,5,2,0.0,150.0,232.50,234.00,235.50,IJ," SILICEOUS NANNO OOZE,SILICEOUS NANNO CHALK"," LIGHT GRAY,PALE GREEN"," MOTTLING,BANDING", UNDISTURBED,,,,, SOFT, 00000000
85,574,C,5,3,0.0,150.0,232.50,235.50,237.00,IJ," SILICEOUS NANNO OOZE,SILICEOUS NANNO CHALK"," LIGHT GRAY,PALE GREEN"," MOTTLING,BANDING", UNDISTURBED,,,,, SOFT, 00000000
85,574,C,5,4,0.0,150.0,232.50,237.00,238.50,IJ," SILICEOUS NANNO OOZE,SILICEOUS NANNO CHALK"," LIGHT GRAY,PALE GREEN"," MOTTLING,BANDING", UNDISTURBED,,,,, SOFT, 00000000
85,574,C,5,5,0.0,22.0,232.50,238.50,238.72,IJ," SILICEOUS NANNO OOZE,SILICEOUS NANNO CHALK"," LIGHT GRAY,PALE GREEN",, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,5,CC,0.0,16.0,232.50,238.83,238.89,IJ," SILICEOUS NANNO OOZE,SILICEOUS NANNO CHALK"," LIGHT GRAY,PALE GREEN",, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,6,1,0.0,150.0,242.00,242.00,243.50,IJ," NANNOFOSSIL OOZE,NANNOFOSSIL CHALK", LIGHT GRAY TO GREENISH WHITE," LAMINAE,BANDING", UNDISTURBED,,,,, SOFT, 00000000
85,574,C,6,2,0.0,150.0,242.00,243.50,245.00,IJ, NANNOFOSSIL OOZE, LIGHT GRAY TO GREENISH WHITE,, GREATLY DISTURBED TO MODERATELY DISTURBED,,,,, SOFT, 00000000
85,574,C,6,3,0.0,150.0,242.00,245.00,246.50,IJ," NANNOFOSSIL OOZE,NANNOFOSSIL CHALK", LIGHT GRAY TO GREENISH WHITE, BANDING, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,6,4,0.0,150.0,242.00,246.50,248.00,IJ," NANNOFOSSIL OOZE,NANNOFOSSIL CHALK"," LIGHT GRAY,PURPLISH,GREENISH,GRAY-WHITE", BANDING, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,6,5,0.0,35.0,242.00,248.00,248.35,IJ," NANNOFOSSIL OOZE,NANNOFOSSIL CHALK", GRAY WHITE, BANDING, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,6,CC,0.0,17.0,242.00,248.45,248.52,IJ, NANNOFOSSIL OOZE, LIGHT GRAY,, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,7,1,0.0,150.0,251.50,251.50,253.00,IJ, NANNOFOSSIL OOZE," GREENISH WHITE,LIGHT GRAY", BANDING, UNDISTURBED,,,,, SOFT, 00000000
85,574,C,7,2,0.0,150.0,251.50,253.00,254.50,IJ," NANNOFOSSIL OOZE,NANNOFOSSIL CHALK"," GREENISH WHITE,LIGHT GRAY,PURPLISH WHITE", BANDING," UNDISTURBED,GREATLY DISTURBED",,,,, SOFT, 00000000
85,574,C,7,3,0.0,121.0,251.50,254.50,255.71,IJ, NANNOFOSSIL OOZE," GRAYISH WHITE,PURPLISH WHITE",, GREATLY DISTURBED,,,,, SOFT, 00000000
