Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Coccolith species E,Watznaueria barnesae,Vekshinella stradnerii,Tranolithus phacelosus,Stradneria crenulata,Repagalum parvidentatum,Reinhardtites levis,Prediscosphaera stoveri,Prediscosphaera spinosa,Prediscosphaera bukryi,Prediscosphaera arkhangelskyi,Placozygus sigmoides,Placozygus fibuliformis,Neocrepidolithus watkinsii,Monomarginatus spp.,Monomarginatus pectinatus,Misceomarginatus pleniporus,Micula decussata,Lucianorhabdus cayeuxii,Kamptnerius magnificus,Gartnerago obliquum,Eiffellithus turriseiffelii,Cribrosphaerella ehrenbergii,Cretarhabdus sp. cf. C. conicus,Chiastozygus litterarius,Biscutum magnum,Biscutum dissimilis,Biscutum coronum,Biscutum constans,Arkhangelskiella specillata,Arkhangelskiella cymbiformis,Ahmuellerella octoradiata,Zeugrhabdotus pseudanthophorus,Vekshinella sp. A,Prediscosphaera intercisa,Prediscosphaera cretacea,Lapideacassis mariae,Scampanella magnifica,Lucianorhabdus arcuatus,Cretarhabdus conicus,Biscutum notaculum,Aspidolithus parcus constrictus,Teichorhabdus ethmos,Sollasites lowei,Rhagodiscus angustus,Nephrolithus corystus,Glaukolithus compactus,Eiffellithus gorkae,Calculites obscurus,Markalius inversus,Octolithus multiplus,Monomarginatus quaternarius,Cribrosphaerella daniae,Vekshinella angusta,Acuturris scotus,Nephrolithus frequens miniporus,Nephrolithus frequens,Rhombolithion rhombicum,Lithraphidites carniolensis,Lapideacassis tricornus,Broinsonia dentata,Bidiscus rotatorius,Prediscosphaera grandis,Vekshinella parma,Lithraphidites quadratus,Lapideacassis glans,Thoracosphaera spp.,Scampanella spp.,Prinsius spp.,Neocrepidolithus cohenii,Microrhabdulus decoratus,Hornibrookina sp. cf. H. teuriensis,Goniolithus fluckigeri,Glaukolithus fessus,Ericsonia subpertusa,Ellipsagelosphaera sp.,Cyclagelosphaera margerelii,Cruciplacolithus spp.,Cretarhabdus spp.,Coccolithus pelagicus,Biscutum castrorum,Cretarhabdus crenulatus,Thoracosphaera operculata,Scampanella asymmetrica,Cruciplacolithus primus,Scampanella bispinosa,Biantholithus sparsus,Thoracosphaera sp. cf. T. imperforata,Lithastrinus floralis,Cruciplacolithus tenuis,Rhagodiscus spp.,Thoracosphaera (unspecified taxon or taxa),Reinhardtites anthophorus,Prinsius (unspecified taxon or taxa),Hornbrookina (unspecified taxon or taxa),Ericsonia cava,Cruciplacolithus unspecified taxon or taxa,Scampanella wisei,Biscutum kerguelensis,Prinsius martinii,Lapideacassis blackii,Chiasmolithus danicus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,NP3               ,              ,120, 750,A, 15,R, 1,  10.00,    346.2000,Aubry    ,Nannofossils                                 ,A              ,G                 ,                   ,                    ,                      ,                      ,                    ,                       ,                   ,                       ,                       ,                      ,                             ,C                   ,                       ,                          ,                   ,                         ,                           ,                ,                       ,                      ,                   ,                           ,                            ,                               ,                        ,               ,                   ,                ,                 ,                           ,                            ,r                        ,                              ,                 ,                         ,                        ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,R                 ,                    ,                           ,                       ,                   ,                ,                               ,                     ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,A            ,                        ,                        ,C                                  ,                      ,                   ,                    ,                      ,VR                         ,C                    ,                 ,                     ,                  ,                       ,R                        ,                       ,C                      ,                     ,                     ,                                     ,                     ,C                      ,                ,                                          ,                         ,                                    ,                                        ,R             ,                                          ,                 ,                     ,                 ,                     ,VR                   ,uncertain zone assignment; from ODP Leg 120 SR Vol 2 Chapter 25 Fig 5 p 462 and Fig 6 p 463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Paleocene  ,                 ,NP3               ,              ,120, 750,A, 15,R, 1,  34.00,    346.4400,Aubry    ,Nannofossils                                 ,A              ,M                 ,                   ,                    ,                      ,                      ,                    ,                       ,                   ,                       ,                       ,                      ,                             ,C                   ,                       ,                          ,                   ,                         ,                           ,                ,VR                     ,                      ,                   ,                           ,                            ,                               ,                        ,               ,                   ,                ,                 ,                           ,                            ,                         ,                              ,                 ,                         ,                        ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,R                 ,                    ,                           ,                       ,                   ,                ,                               ,                     ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,                   ,                ,C            ,                        ,                        ,C                                  ,                      ,                   ,                    ,                      ,                           ,C                    ,                 ,R                    ,R                 ,                       ,VR                       ,                       ,C                      ,                     ,                     ,                                     ,                     ,C                      ,                ,                                          ,                         ,                                    ,                                        ,R             ,                                          ,                 ,                     ,                 ,                     ,VR                   ,uncertain zone assignment; from ODP Leg 120 SR Vol 2 Chapter 25 Fig 5 p 462 and Fig 6 p 463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 1,  50.00,    346.6000,Aubry    ,Nannofossils                                 ,               ,                  ,                   ,.0%                 ,                      ,                      ,                    ,                       ,                   ,.7%                    ,.0%                    ,                      ,                             ,11.2%               ,.0%                    ,                          ,                   ,                         ,                           ,.0%             ,.3%                    ,.0%                   ,                   ,.0%                        ,.0%                         ,                               ,                        ,               ,                   ,                ,                 ,                           ,.0%                         ,.0%                      ,                              ,                 ,                         ,.0%                     ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,1.0%              ,                    ,                           ,                       ,                   ,                ,                               ,.0%                  ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,1.3%               ,.0%             ,78.2%        ,.0%                     ,.0%                     ,.7%                                ,.0%                   ,.0%                ,2.0%                ,.0%                   ,.0%                        ,19.7%                ,.0%              ,33.0%                ,.7%               ,                       ,R                        ,                       ,C                      ,                     ,                     ,                                     ,                     ,C                      ,                ,                                          ,                         ,                                    ,                                        ,              ,                                          ,                 ,                     ,                 ,                     ,                     ,from ODP Leg 120 Vol 2 Chapter 25 Table 10 p 470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 750,A, 15,R, 1, 100.00,    347.1000,Aubry    ,Nannofossils                                 ,               ,                  ,                   ,.0%                 ,                      ,                      ,                    ,                       ,                   ,.0%                    ,.0%                    ,                      ,                             ,33.3%               ,.0%                    ,                          ,                   ,                         ,                           ,.0%             ,.0%                    ,.0%                   ,                   ,.0%                        ,.0%                         ,                               ,                        ,               ,                   ,                ,                 ,                           ,.0%                         ,.0%                      ,                              ,                 ,                         ,.0%                     ,                    ,                     ,                       ,                    ,                  ,                               ,                    ,                ,                    ,                     ,                      ,                   ,                   ,1.7%              ,                    ,                           ,                       ,                   ,                ,                               ,.3%                  ,                       ,                           ,                       ,                  ,                   ,                       ,                 ,                        ,                   ,.0%                ,.0%             ,97.9%        ,.0%                     ,.0%                     ,4.0%                               ,.0%                   ,.0%                ,.0%                 ,.0%                   ,.0%                        ,34.7%                ,.0%              ,6.7%                 ,5.3%              ,                       ,R                        ,                       ,A                      ,                     ,                     ,                                     ,                     ,C                      ,                ,                                          ,                         ,                                    ,                                        ,R             ,                                          ,                 ,R                    ,VR               ,VR                   ,                     ,from ODP Leg 120 Vol 2 Chapter 25 Table 10 p 470
