Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeaglobigerina woodi	Zeaglobigerina druryi	Zeaglobigerina connecta	Sphaeroidinellopsis disjuncta	Globorotalia praescitula	Globorotalia miozea	Globoquadrina dehiscens	Globigerinoides trilobus	Globigerinoides bisphericus	Globigerina quinqueloba	Globigerina praebulloides	Catapsydrax stainforthi	Globorotalia praemenardii	Globorotalia conica	Globigerina bulloides	Globorotalia zealandica	Globorotalia panda	Globorotalia amuria	Globoquadrina venezuelana	Globoquadrina praedehiscens	Catapsydrax parvulus	Paragloborotalia mayeri	Orbulina suturalis	Neogloboquadrina continuosa	Globorotalia miotumida	Sphaeroidinellopsis seminulina	Orbulina universa	Globorotalia miotumida conoidea	Zeaglobigerina nepenthes	Globigerinita glutinata	Neogloboquadrina pachyderma	Sphaeroidinellopsis paenedehiscens	Globigerinoides bollii	Bolboforma pentaspinosa	Globigerina spp.	Globorotalia scitula	Globorotalia sphericomiozea	Globorotalia mons	Globorotalia pliozea	Globorotalia juanai	Globorotalia crassaformis	Globorotalia puncticulata	Globorotalia crassaconica	Sphaeroidinella dehiscens	Globorotalia puncticuloides	Globorotalia inflata triangula	Globorotalia inflata	Globorotalia crassula	Globorotalia tosaensis	Globorotalia crassaformis dextral	Neogloboquadrina pachyderma (sinistral)	Globorotalia truncatulinoides	Globorotalia pseudopima	Comment



  IR	                 	                 	                  	              	181	1123	B	  1	H	 1	 130.00	      1.3000	forams   	Planktonic Foraminifers                      	C              	G                 	                    	                     	                       	                             	                        	                   	                       	                        	                           	                       	                         	                       	                         	                   	                     	                       	                  	                   	                         	                           	                    	                       	                  	                           	                      	                              	                 	                               	                        	                       	                           	                                  	                      	                       	                	P                   	                           	                 	                    	                   	R                        	                         	                         	                         	                           	                              	A                   	R                    	                      	                                 	                                       	F                            	                       	       

  IR	                 	                 	                  	              	181	1123	B	  1	H	 2	  41.00	      1.9100	forams   	Planktonic Foraminifers                      	A              	G                 	                    	                     	                       	                             	                        	                   	                       	                        	                           	                       	                         	                       	                         	                   	                     	                       	                  	                   	                         	                           	                    	                       	                  	                           	                      	                              	R                	                               	                        	                       	A                          	                                  	                      	                       	D               	                    	                           	                 	                    	                   	P                        	                         	                         	                         	                           	                              	F                   	                     	                      	                                 	F                                      	F                            	R                      	       

  IR	                 	                 	                  	              	181	1123	B	 10	H	CC	  35.00	     89.0900	forams   	Planktonic Foraminifers                      	C              	G                 	                    	                     	                       	                             	                        	                   	                       	                        	                           	R                      	                         	                       	                         	                   	R                    	                       	                  	                   	                         	                           	                    	                       	                  	                           	                      	                              	                 	                               	                        	                       	                           	                                  	                      	                       	F               	P                   	                           	                 	                    	                   	                         	                         	                         	                         	F                          	                              	A                   	                     	P                     	R                                	                                       	                             	                       	       

  IR	                 	                 	                  	              	181	1123	B	 12	H	CC	  11.00	    108.0600	forams   	Planktonic Foraminifers                      	R              	G                 	                    	                     	                       	                             	                        	                   	                       	                        	                           	                       	                         	                       	                         	                   	                     	                       	                  	                   	                         	                           	                    	                       	                  	                           	                      	                              	                 	                               	                        	                       	                           	                                  	                      	                       	                	P                   	                           	                 	P                   	                   	F                        	F                        	                         	                         	F                          	P                             	P                   	P                    	                      	                                 	                                       	                             	                       	       
