Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Operculinella venosa,Ladoronia vermicularis,Amphistegina radiata,Rotaliid taxa,Lepidocyclina howchini howchini,Cycloclypeus (Cycloclypeus) carpenteri,Sphaerogypsina globula,Operculina complanata,Biarritzina carpenteriaeformis,Cycloclypeus (Katacycloclypeus) annulatus,Textularina genus indet.,Miliolids species,Rotalia sp.,Discogypsina howchini,Sporadotrema sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A,  2,W,CC,   5.00,      5.7000,Chaproniere,Benthic Foraminifers                         ,               ,                  ,+                   ,                      ,+                   ,             ,+                              ,                                      ,                      ,                     ,                              ,                                         ,                        ,                 ,           ,                     ,?               ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A,  2,W,CC,   8.00,      5.7300,Chaproniere,Benthic Foraminifers                         ,               ,                  ,+                   ,                      ,+                   ,             ,+                              ,                                      ,+                     ,                     ,                              ,                                         ,                        ,                 ,           ,                     ,?               ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A,  2,W,CC,  12.00,      5.7700,Chaproniere,Benthic Foraminifers                         ,               ,                  ,+                   ,                      ,+                   ,+            ,+                              ,                                      ,                      ,+                    ,                              ,                                         ,                        ,                 ,           ,                     ,?               ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A,  4,R, 1,  16.00,    108.3600,Chaproniere,Benthic Foraminifers                         ,               ,                  ,+                   ,+                     ,+                   ,+            ,                               ,+                                     ,                      ,                     ,                              ,                                         ,                        ,+                ,           ,                     ,                ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A,  4,R, 1,  24.00,    108.4400,Chaproniere,Benthic Foraminifers                         ,               ,                  ,+                   ,+                     ,+                   ,+            ,                               ,                                      ,                      ,                     ,                              ,                                         ,                        ,                 ,           ,                     ,                ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,                  ,              ,133, 826,A,  4,R, 1,  29.00,    108.4900,Chaproniere,Benthic Foraminifers                         ,               ,                  ,+                   ,+                     ,+                   ,+            ,                               ,                                      ,                      ,                     ,                              ,                                         ,                        ,                 ,           ,                     ,                ,from ODP 133 SR Chapter 3 Table 5 p 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
