Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Orbulina universa,Neogloboquadrina pachyderma (sinistral),Globorotalia conomiozea,Globigerina woodi,Globigerina cf. druryi,Globigerina bulloides,Globigerina apertura,"Neogloboquadrina sp. ""rounded""",Neogloboquadrina asanoi,Sphaeroidinella dehiscens,Neogloboquadrina humerosa,Globorotalia tumida,Globorotalia crassaformis,Globigerinoides ruber,Neogloboquadrina pachyderma (dextral),Globorotalia puncticulata,Globorotalia inflata,Globorotaloides hexagona,Globigerinita glutinata,Globigerinoides sacculifer,Globorotalia tosaensis,Globorotalia scitula,Globigerina umbilicata,Globigerina quinqueloba,Neogloboquadrina dutertrei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1012,A,  1,H,CC,  21.00,      4.6800,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,C                ,A                                      ,                       ,                 ,                      ,A                    ,                    ,                              ,                       ,                         ,                         ,                   ,                         ,R                    ,A                                    ,                         ,R                   ,                        ,C                      ,                          ,                      ,R                   ,C                     ,C                      ,F                         ,from IR. Ch 6. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1012,A,  2,H,CC,  22.00,     14.6000,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,R                ,A                                      ,                       ,                 ,                      ,                     ,                    ,                              ,                       ,                         ,                         ,                   ,                         ,                     ,                                     ,                         ,                    ,                        ,                       ,                          ,                      ,R                   ,                      ,C                      ,A                         ,from IR. Ch 6. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1012,A,  3,H,CC,  21.00,     24.1200,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                 ,A                                      ,                       ,                 ,                      ,A                    ,                    ,                              ,                       ,                         ,                         ,                   ,                         ,                     ,C                                    ,                         ,                    ,R                       ,                       ,                          ,                      ,                    ,                      ,                       ,                          ,from IR. Ch 6. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,N22               ,N23           ,167,1012,A,  4,H,CC,  20.00,     33.6600,Kennett  ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,C                ,A                                      ,                       ,                 ,                      ,A                    ,                    ,                              ,                       ,                         ,                         ,R                  ,R                        ,R                    ,                                     ,                         ,C                   ,                        ,                       ,                          ,                      ,R                   ,                      ,                       ,R                         ,from IR. Ch 6. Table 4.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
