Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra pseudoumbilicus,Discoaster pentaradiatus,Amaurolithus spp.,Helicosphaera carteri,Discoaster brouweri,Ceratolithus telesmus,Ceratolithus spp.,Ceratolithus rugosus,Calcidiscus macintyrei (>11 um),Discoaster tamalis,Discoaster surculus,Discoaster asymmetricus,Coccolithus pelagicus,Calcidiscus leptoporus,Reticulofenestra spp.,Discoaster triradiatus,Pseudoemiliania lacunosa,Helicosphaera sellii,Gephyrocapsa (small),Gephyrocapsa oceanica s.l.,Gephyrocapsa large,Gephyrocapsa sp. 3,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN15              ,              ,167,1012,A,  1,H,CC,  21.00,      4.6800,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                        ,                 ,C                    ,                   ,                     ,R                ,                    ,                               ,                  ,                   ,                       ,                     ,R                     ,                     ,                      ,                        ,                    ,A                   ,+                         ,                  ,                  ,+                ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN15              ,              ,167,1012,A,  2,H,CC,  22.00,     14.6000,Fornaciari,Nannofossils                                 ,C/A            ,G                 ,                                ,                        ,                 ,C                    ,                   ,                     ,                 ,                    ,                               ,                  ,                   ,                       ,C                    ,R                     ,                     ,                      ,                        ,                    ,A                   ,                          ,                  ,                  ,+                ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1012,A,  3,H,CC,  21.00,     24.1200,Fornaciari,Nannofossils                                 ,R              ,P                 ,                                ,                        ,                 ,R                    ,                   ,                     ,                 ,                    ,                               ,                  ,                   ,                       ,                     ,                      ,                     ,                      ,                        ,                    ,R                   ,+                         ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b             ,CN15          ,167,1012,A,  4,H,CC,  20.00,     33.6600,Fornaciari,Nannofossils                                 ,A              ,G                 ,                                ,                        ,                 ,R                    ,                   ,                     ,                 ,                    ,                               ,                  ,                   ,                       ,R                    ,R                     ,                     ,                      ,                        ,                    ,A                   ,F                         ,                  ,                  ,                 ,from IR. Ch. 6 Table 6.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
