Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera spp.	Thoracosphaera spp.	Syracosphaera spp.	Rhabdosphaera spp.	Reticulofenestrid taxa	Pseudoemiliania lacunosa	Pontosphaera spp.	Helicosphaera carteri	Geminilithella rotula	Discoaster variabilis	Discoaster tamalis	Discoaster surculus	Discoaster pentaradiatus	Discoaster intercalaris	Discoaster decorus	Discoaster brouweri	Discoaster asymmetricus	Dictyococcites spp.	Coccolithus radiatus	Calcidiscus macintyrei	Calcidiscus leptoporus	Scyphosphaera spp.	Ceratolithus cristatus	Discoaster triradiatus	Coccolithus pelagicus	Helicosphaera sellii	Ceratolithus rugosus	Gephyrocapsa (small)	Gephyrocapsa oceanica s.l.	Gephyrocapsa (large)	Comment



  SR	                 	                 	CN13              	              	115	 705	A	  1	H	 5	  30.00	      6.3000	Rio      	Nannofossils                                 	C              	G                 	F                   	F                  	C                 	F                 	R                     	A                       	R                	C                    	R                    	                     	                  	                   	                        	                       	                  	                   	                       	                   	C                   	                      	C                     	                  	R                     	                      	                     	                    	                    	C                   	C                         	                    	from 115 SR. Chapter 15. Table 3. page 185.

  SR	                 	                 	CN13              	              	115	 705	A	  1	H	 6	  41.00	      7.9100	Rio      	Nannofossils                                 	C              	G                 	F                   	R                  	C                 	R                 	R                     	A                       	R                	C                    	F                    	                     	                  	                   	                        	                       	                  	                   	                       	                   	C                   	                      	C                     	R                 	R                     	                      	R                    	                    	R                   	C                   	C                         	                    	from 115 SR. Chapter 15. Table 3. page 185.

  SR	                 	                 	CN13              	              	115	 705	A	  1	H	CC	  17.00	      8.3000	Rio      	Nannofossils                                 	C              	G                 	C                   	F                  	C                 	F                 	R                     	A                       	R                	C                    	C                    	                     	                  	                   	R                       	                       	                  	                   	                       	                   	C                   	                      	C                     	                  	R                     	                      	                     	                    	                    	C                   	C                         	R                   	from 115 SR. Chapter 15. Table 3. page 185.

  SR	                 	                 	CN13              	              	115	 705	A	  2	H	 1	 130.00	      9.8000	Rio      	Nannofossils                                 	A              	G                 	C                   	F                  	C                 	F                 	R                     	C                       	R                	C                    	C                    	                     	                  	                   	                        	                       	                  	                   	                       	                   	C                   	C                     	C                     	R                 	R                     	                      	                     	F                   	                    	C                   	F                         	                    	from 115 SR. Chapter 15. Table 3. page 185.

  SR	                 	                 	CN12d             	              	115	 705	A	  2	H	 2	 130.00	     11.3000	Rio      	Nannofossils                                 	A              	G                 	C                   	F                  	C                 	C                 	C                     	C                       	R                	C                    	C                    	                     	                  	                   	                        	                       	                  	C                  	                       	                   	C                   	F                     	C                     	R                 	R                     	R                     	                     	F                   	                    	F                   	                          	                    	from 115 SR. Chapter 15. Table 3. page 185.

