Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Saturnalis circularis	Lamprocyrtis heteroporos	Didymocyrtis tetrathalamus tetrathalamus	Cyrtocapsella tetrapera	Axoprunum angelinum	Eucyrtidium calvertense	Stichocorys peregrina	Stichocorys delmontensis	Lamprocyrtis neoheteroporos	Lamprocyclas hannai	Cycladophora davisiana	Eucyrtidium teuscheri teuscheri	Eucyrtidium acuminatum	Cycladophora pliocenica	Spongurus pylomaticus	Amphirhopalum ypsilon	Pterocanium trilobum	Pterocanium praetextum eucolpum	Cycladophora sakaii	Theocorythium trachelium trachelium	Cycladophora cornutoides	Comment



  IR	                 	                 	                  	              	175	1085	A	  2	H	CC	   8.00	     13.6200	Motoyama 	Radiolarians                                 	F              	M                 	                     	                        	+                                       	                       	                   	                       	                     	                        	                           	1                  	+                     	                               	                      	                       	                     	                     	                    	                               	                   	                                   	                        	       

  IR	                 	                 	                  	              	175	1085	A	  3	H	CC	  24.00	     23.1900	Motoyama 	Radiolarians                                 	F              	M                 	                     	                        	1                                       	                       	1                  	+                      	                     	                        	                           	+                  	1                     	                               	                      	                       	                     	                     	                    	                               	                   	                                   	                        	       

  IR	                 	                 	                  	              	175	1085	A	  4	H	CC	  14.00	     31.5600	Motoyama 	Radiolarians                                 	A              	M                 	                     	                        	+                                       	                       	+                  	+                      	                     	                        	                           	                   	+                     	                               	                      	                       	                     	                     	                    	                               	                   	                                   	                        	       

  IR	                 	                 	                  	              	175	1085	A	  5	H	CC	  29.00	     42.1700	Motoyama 	Radiolarians                                 	A              	M                 	                     	                        	+                                       	                       	                   	+                      	                     	                        	                           	1                  	+                     	                               	                      	                       	1                    	1                    	                    	                               	                   	                                   	                        	       

  IR	                 	                 	                  	              	175	1085	A	  6	H	CC	  19.00	     48.9600	Motoyama 	Radiolarians                                 	A              	M                 	                     	                        	+                                       	                       	+                  	+                      	                     	                        	                           	+                  	+                     	                               	                      	                       	                     	1                    	1                   	                               	                   	1                                  	                        	       

  IR	                 	                 	                  	              	175	1085	A	  7	H	CC	  15.00	     61.0300	Motoyama 	Radiolarians                                 	C              	M                 	                     	                        	1                                       	                       	+                  	+                      	                     	                        	                           	+                  	+                     	                               	1                     	                       	                     	1                    	                    	                               	                   	                                   	                        	       

  IR	                 	                 	                  	              	175	1085	A	  8	H	CC	  21.00	     68.3700	Motoyama 	Radiolarians                                 	A              	M                 	                     	                        	+                                       	                       	+                  	+                      	                     	                        	                           	+                  	+                     	1                              	1                     	                       	1                    	1                    	+                   	+                              	                   	                                   	                        	       

  IR	                 	                 	                  	              	175	1085	A	  9	H	CC	  38.00	     80.1200	Motoyama 	Radiolarians                                 	A              	M                 	                     	                        	                                        	                       	                   	1                      	                     	                        	                           	1                  	1                     	                               	                      	                       	                     	                     	                    	                               	                   	                                   	                        	       

