Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Florilus spp.,Cassidulina subglobosa,Cassidulina californica,Bolivina spp.,Ammonia beccarii,Pyrgo williamsoni,Pullenia subcarinata,Haynesina spp.,Elphidium sp.,Cibicides lobatulus,Cassidulina laevigata,Bulimina marginata,Trifarina sp.,Quinqueloculina seminulum,Nonionella spp.,Nonion sp.,Lagena spp.,Fursenkoina fusiformis,Eponides weddellensis,Buccella frigida,Tosaia hanzawai,Stetsonia horvathi,Planulina wuellerstorfi,Nuttallides umbonifera,Nonion barleeanum,Gyroidina soldanii,Fissurina spp.,Eponides tumidulus,Epistominella exigua,Sphaeroidina bulloides,Robulus sp.,Pullenia bulloides,Oridorsalis umbonatus,Eggerella bradyi,Dentalina spp.,Centropyxis aculeata (Thecamoebian),Siphotextularia rolshauseni,Robertinoides charlottensis,Quinqueloculina cultrata,Epistominella takayanagii,Cibicides robertsonianus,Chilostomella oolina,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,116, 717,A,  1,H, 1, 104.00,      1.0400,Scott    ,Benthic Foraminifers                         ,               ,                  ,             ,                      ,                       ,             ,                ,                 ,6                   ,              ,             ,                   ,                     ,                  ,             ,2                        ,               ,          ,1          ,1                     ,20                   ,                ,R              ,27                ,4                      ,8                     ,                 ,4                 ,2             ,4                 ,16                  ,                      ,           ,R                 ,2                    ,1               ,              ,                                   ,1                          ,1                          ,1                       ,1                        ,1                       ,1                   ,No of species 22 No of individuals per 10 cubic cm - 295 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,116, 717,A,  1,H, 2,   4.00,      1.5400,Scott    ,Benthic Foraminifers                         ,               ,                  ,             ,                      ,                       ,             ,                ,                 ,                    ,              ,             ,                   ,                     ,                  ,             ,                         ,               ,          ,           ,                      ,                     ,                ,               ,                  ,                       ,                      ,                 ,                  ,              ,                  ,                    ,                      ,           ,                  ,                     ,                ,              ,r100                               ,                           ,                           ,                        ,                         ,                        ,                    ,No of species 1 No of individuals per 10 cubic cm - 1 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,116, 717,A,  1,H, 3,   4.00,      3.0400,Scott    ,Benthic Foraminifers                         ,               ,                  ,             ,2                     ,                       ,             ,                ,                 ,4                   ,              ,rR           ,                   ,                     ,                  ,             ,                         ,               ,          ,           ,R                     ,19                   ,                ,               ,4                 ,R                      ,27                    ,2                ,1                 ,1             ,2                 ,34                  ,R                     ,R          ,1                 ,2                    ,R               ,R             ,                                   ,                           ,                           ,                        ,                         ,                        ,                    ,No of species 19 No of individuals per 10 cubic cm - 714 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,116, 717,A,  1,H, 5,   4.00,      6.0400,Scott    ,Benthic Foraminifers                         ,               ,                  ,             ,2                     ,                       ,             ,                ,                 ,3                   ,              ,             ,                   ,                     ,                  ,             ,                         ,               ,          ,1          ,1                     ,12                   ,                ,3              ,5                 ,2                      ,29                    ,1                ,1                 ,2             ,3                 ,37                  ,                      ,           ,                  ,                     ,                ,              ,                                   ,                           ,                           ,                        ,                         ,                        ,                    ,No of species 14 No of individuals per 10 cubic cm - 113 from ODP Leg 116 SR Chapter 16 Table 1 p 192-199
