Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Vaughanina sp.	Sulcoperculina sp.	Sulcoperculina globosa	Pseudorbitoides trechmanni	Foraminifers (small)	Foraminifers (encrusting)	Foraminifers (agglutinated taxa)	Asterorbis rooki	Nubecularia sp.	Marssonella oxycona	Rotaliid taxa	Dicyclina sp.	Sulcoperculina vermunti	Sulcoperculina dickersoni	Miliolids species	Lagenid taxa	Bolivinid taxa	Lepidorbitoides sp.	Omphalocyclus macroporus	Vidalina sp. cf. V. hispanica	Istriloculina sp.	Discorbid taxa	Pseudocyclammina sp.	Planorbulina sp.	Aciculammina (?) sp.	Acervulinid taxa	Comment



  SR	Maestrichtian    	                 	                  	              	144	 875	C	  1	M	 1	   0.00	      0.0000	Premoli Silva	Benthic Foraminifers                         	               	                  	              	                  	                      	                          	                    	F                        	                                	C               	               	                   	R            	             	                       	                         	                 	            	              	                   	                        	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	  1	M	 1	   7.00	      0.0700	Premoli Silva	Benthic Foraminifers                         	               	                  	              	                  	                      	                          	F                   	                         	                                	C               	               	                   	             	             	                       	                         	                 	            	              	                   	                        	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	  1	M	 1	  34.00	      0.3400	Premoli Silva	Benthic Foraminifers                         	               	                  	              	                  	                      	                          	C                   	F                        	                                	A               	               	1                  	1            	             	                       	                         	                 	            	              	                   	                        	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	  2	M	 1	  61.00	     10.1100	Premoli Silva	Benthic Foraminifers                         	               	                  	              	                  	                      	                          	                    	                         	                                	A               	               	1                  	R            	             	                       	                         	                 	VR          	              	                   	                        	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	  3	M	 1	  65.00	     18.1500	Premoli Silva	Benthic Foraminifers                         	               	                  	              	1                 	                      	                          	                    	R                        	                                	A               	               	                   	1            	             	                       	                         	                 	            	              	                   	                        	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	  4	M	 1	   2.00	     27.1200	Premoli Silva	Benthic Foraminifers                         	               	                  	              	?                 	                      	                          	                    	VR                       	                                	C               	               	R                  	F            	             	                       	                         	                 	F           	              	                   	?                       	                             	                 	              	                    	                	                    	                	from Leg 133 SR; Ch 9; Table 5;

  SR	Maestrichtian    	                 	                  	              	144	 875	C	  5	M	 1	 131.00	     38.1100	Premoli Silva	Benthic Foraminifers                         	               	                  	              	F                 	                      	                          	                    	                         	                                	C               	               	F                  	F            	             	                       	                         	                 	            	              	                   	?                       	                             	                 	              	                    	?               	                    	                	from Leg 133 SR; Ch 9; Table 5;

