Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphaeropyle langii	Lamprocyrtis neoheteroporos	Lamprocyrtis heteroporos	Eucyrtidium matuyamai	Cycladophora davisiana davisiana	Clathrocyclas bicornis	Botryostrobus praetumidulus	Stylatractus universus	Stylacontarium acquilonium	Botryostrobus aquilonaris	Stichocorys delmontensis	Lychnocanoma nipponica sakaii	Lamprocyrtis nigriniae	Cycladophora bicincta	Actinomma popofskii	Pterocanium korotnevi	Dictyophimus crisiae	Botryostrobus tumidulus	Eucyrtidium teuscheri group	Spongotrochus glacialis	Rhizosphaera antarctica	Pterocorys clausus	Ceratospyris hyperborea	Comment



  IR	                 	                 	B. aquilonaris    	              	167	1017	B	  2	H	CC	  25.00	     15.2200	Caulet   	Radiolarians                                 	R              	G                 	+                 	                           	                        	                     	                                	                      	                           	                      	                          	+                        	                        	+                            	                      	+                    	                   	+                    	                    	                       	                           	+                      	+                      	+                 	+                      	from IR. Ch 11. Table 7.

  IR	                 	                 	B. aquilonaris    	              	167	1017	B	  4	H	CC	  39.00	     34.6600	Caulet   	Radiolarians                                 	F              	G                 	+                 	                           	                        	                     	+                               	                      	                           	                      	                          	+                        	                        	+                            	+                     	+                    	                   	+                    	                    	                       	+                          	                       	                       	                  	                       	from IR. Ch 11. Table 7.

  IR	                 	                 	B. aquilonaris    	              	167	1017	B	  5	H	CC	  21.00	     43.9200	Caulet   	Radiolarians                                 	R              	M                 	+                 	                           	                        	                     	+                               	                      	                           	                      	                          	+                        	                        	+                            	+                     	+                    	                   	+                    	                    	                       	                           	                       	                       	                  	                       	from IR. Ch 11. Table 7.

  IR	                 	                 	B. aquilonaris    	              	167	1017	B	  6	H	CC	  37.00	     53.7200	Caulet   	Radiolarians                                 	F              	G                 	+                 	                           	+                       	                     	+                               	                      	                           	                      	                          	+                        	                        	+                            	+                     	+                    	                   	+                    	+                   	+                      	                           	                       	                       	                  	                       	from IR. Ch 11. Table 7.

  IR	                 	                 	B. aquilonaris    	              	167	1017	B	  7	H	CC	  16.00	     62.8000	Caulet   	Radiolarians                                 	R              	G                 	+                 	                           	                        	                     	+                               	                      	                           	                      	                          	+                        	                        	+                            	+                     	+                    	                   	+                    	+                   	                       	                           	                       	                       	                  	                       	from IR. Ch 11. Table 7.

  IR	                 	                 	B. aquilonaris    	              	167	1017	B	  8	H	CC	  45.00	     72.8500	Caulet   	Radiolarians                                 	R              	M                 	+                 	                           	                        	                     	+                               	                      	                           	                      	                          	                         	                        	+                            	                      	+                    	+                  	                     	                    	                       	                           	                       	                       	                  	                       	from IR. Ch 11. Table 7.

  IR	                 	                 	S. universus      	              	167	1017	B	 10	H	CC	  34.00	     91.3000	Caulet   	Radiolarians                                 	R              	G                 	                  	                           	                        	                     	+                               	                      	                           	+                     	                          	+                        	                        	+                            	+                     	+                    	                   	                     	                    	                       	                           	                       	                       	                  	                       	from IR. Ch 11. Table 7.

