Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina senticosa,Uvigerina hispidocostata,Tosaia hanzawai,Stilostomella spp.,Pyrgo murrhina,Pullenia bulloides,Pleurostomella spp.,Oridorsalis umbonatus,Melonis pompilioides,Melonis barleeanus,Hoeglundina elegans,Bolivina spp.,Sphaeroidina bulloides,Sigmoilopsis schlumbergeri,Lenticulina spp.,Fissurina spp.,Chilostomella oolina,Bulimina striata,Bulimina rostrata,Amphicoryna scalaris,Martinottiella spp.,Globobulimina affinis,Bulimina aculeata,Uvigerina hispida,Globocassidulina spp.,Cibicidoides spp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  1,H,CC,  28.00,      9.6800,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,                   ,R                       ,               ,                  ,              ,R                 ,                   ,                     ,                    ,                  ,                   ,R            ,F                     ,R                         ,                ,R             ,F                   ,                ,                 ,                    ,                   ,                     ,F                ,                 ,                     ,                 ,from ODP Leg 126 SR Chapter 19 Figure 6 p. 295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  2,H, 2,  57.00,     11.7700,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,                   ,R                       ,               ,                  ,              ,F                 ,                   ,                     ,C                   ,R                 ,C                  ,             ,R                     ,                          ,                ,              ,F                   ,C               ,                 ,                    ,                   ,C                    ,C                ,                 ,F                    ,                 ,from ODP Leg 126 SR Chapter 19 Figure 6 p. 295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  3,H, 3,  59.00,     22.6900,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,                   ,                        ,F              ,                  ,              ,C                 ,                   ,                     ,                    ,C                 ,                   ,A            ,C                     ,R                         ,R               ,              ,                    ,R               ,                 ,                    ,C                  ,                     ,A                ,C                ,                     ,                 ,from ODP Leg 126 SR Chapter 19 Figure 6 p. 295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  4,H,CC,  27.00,     38.1700,Kaiho    ,Benthic Foraminifers                         ,               ,                  ,                   ,C                       ,               ,                  ,R             ,C                 ,                   ,A                    ,F                   ,C                 ,                   ,             ,F                     ,                          ,                ,R             ,C                   ,R               ,                 ,                    ,                   ,R                    ,                 ,C                ,R                    ,A                ,from ODP Leg 126 SR Chapter 19 Figure 6 p. 295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
