Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina pachyderma (dex.),Neogloboquadrina dutertrei,Globorotalia tumida,Globorotalia tosaensis (dex.),Globorotalia scitula,Globorotalia menardii,Globorotalia inflata (4 chambered),Globorotalia inflata (3 chambered),Globorotalia crassaformis,Globorotalia cf. tosaensis (dex.),Globigerinoides trilobus,Globigerinoides ruber (white),Globigerinoides conglobatus,Globigerinita glutinata,Globigerina falconensis,Globigerina cryophila (dex.),Globigerina bulloides,Globorotalia truncatulinoides (dex.),Globorotalia flexuosa,Globigerinoides tenellus,Globigerinoides gomitulus,Globigerinita iota,Globigerina digitata,Globigerina calida,Globigerinoides sacculifer,Globigerinella aequilateralis (symmetrical),Globigerinella aequilateralis (asymmetrical),Globigerina quinqueloba,Globorotalia scitula gigantea,Globorotalia anfracta,Globoquadrina conglomerata,Globigerinita uvula,Globigerina hermanae (dex.),Neogloboquadrina humerosa,Bolliella adamsi,Globorotalia truncatulinoides (sin.),Orbulina bilobata,Globoquadrina hexagona,Globigerinita humilis          ,Globigerina rubescens,Globorotalia pumilio,Hastigerina pelagica,Globorotalia hirsuta,Globigerinoides ruber (pink),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  1,H, 3,  70.00,      3.7000,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,+                           ,+                ,+                                 ,+                         ,+                  ,                             ,+                   ,+                    ,+                                 ,+                                 ,                         ,                                 ,+                       ,+                            ,+                          ,+                      ,+                      ,+                           ,+                    ,                                    ,                     ,+                       ,+                        ,+                 ,                    ,+                 ,+                         ,+                                          ,                                            ,+                      ,+                            ,+                    ,                          ,+                  ,                           ,                         ,                ,+                                   ,                 ,                      ,                               ,+                    ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  1,H, 5,  70.00,      6.7000,Herman   ,Planktonic Foraminifers                      ,               ,                  ,                         ,+                           ,                 ,+                                 ,+                         ,                   ,                             ,                    ,+                    ,+                                 ,+                                 ,                         ,                                 ,+                       ,+                            ,+                          ,+                      ,+                      ,+                           ,+                    ,                                    ,                     ,+                       ,                         ,+                 ,                    ,+                 ,+                         ,                                           ,+                                           ,+                      ,                             ,                     ,                          ,+                  ,+                          ,                         ,                ,+                                   ,                 ,                      ,                               ,                     ,                    ,                    ,                    ,                            ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  1,H,CC,  28.00,      9.6800,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                        ,+                           ,+                ,+                                 ,+                         ,+                  ,                             ,+                   ,+                    ,+                                 ,+                                 ,+                        ,                                 ,+                       ,+                            ,+                          ,+                      ,+                      ,+                           ,+                    ,+                                   ,+                    ,+                       ,+                        ,+                 ,+                   ,+                 ,+                         ,+                                          ,+                                           ,+                      ,                             ,+                    ,                          ,+                  ,+                          ,                         ,                ,                                    ,+                ,+                     ,+                              ,+                    ,                    ,                    ,+                   ,+                           ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  2,H, 1,  22.00,      9.9200,Herman   ,Planktonic Foraminifers                      ,               ,                  ,+                        ,+                           ,+                ,+                                 ,+                         ,+                  ,                             ,                    ,+                    ,+                                 ,+                                 ,+                        ,+                                ,+                       ,+                            ,+                          ,+                      ,+                      ,+                           ,+                    ,                                    ,+                    ,+                       ,+                        ,+                 ,                    ,+                 ,+                         ,+                                          ,+                                           ,+                      ,                             ,                     ,                          ,+                  ,+                          ,                         ,                ,+                                   ,                 ,+                     ,                               ,+                    ,                    ,                    ,+                   ,+                           ,from ODP Leg 126 SR Chapter 18 Table 4 p 278-280
