Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sibogae,Umbellosphaera irregularis,Thoracosphaera spp.,Syracosphaera pulchra,Rhabdosphaera spp.,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Helicosphaera spp.,Helicosphaera inversa,Gephyrocapsa sp. (small),Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Emiliania huxleyi,Coccolithus pelagicus,Calcidiscus leptoporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  1,H, 1,  50.00,      0.5000,Firth    ,Nannofossils                                 ,A              ,G                 ,6                      ,0                         ,1                  ,0                    ,1                 ,0                      ,0                       ,2                 ,0                    ,5                       ,25                   ,5                        ,240              ,0                    ,15                    ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  1,H, 2,  42.00,      1.9200,Firth    ,Nannofossils                                 ,A              ,G                 ,3                      ,1                         ,0                  ,0                    ,0                 ,0                      ,0                       ,0                 ,0                    ,1                       ,32                   ,19                       ,243              ,0                    ,1                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  1,H, 3,  48.00,      3.4800,Firth    ,Nannofossils                                 ,A              ,G                 ,3                      ,0                         ,0                  ,0                    ,0                 ,0                      ,0                       ,4                 ,1                    ,1                       ,40                   ,19                       ,227              ,0                    ,5                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  1,H, 4,  50.00,      5.0000,Firth    ,Nannofossils                                 ,A              ,G                 ,3                      ,0                         ,0                  ,1                    ,2                 ,0                      ,0                       ,1                 ,0                    ,6                       ,56                   ,42                       ,180              ,4                    ,5                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,126, 792,A,  1,H, 5,  20.00,      6.2000,Firth    ,Nannofossils                                 ,A              ,G                 ,3                      ,0                         ,0                  ,0                    ,0                 ,0                      ,0                       ,0                 ,0                    ,11                      ,23                   ,1                        ,254              ,0                    ,8                     ,Total Count = 300; from ODP Leg 126 SR Chapter 16 Table 4 p 242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
