Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulineria lenticula,Notoplanulina rakauroana,Marssonella oxycona,Lenticulina sp.,Gavelinella eriksdalensis,Cibicides ribbingi,Alabamina dorsoplana,Stensioina beccariiformis,Lenticulina macrodisca,Pyramidina szajnochae,Pullenia cretacea,Praebulimina reussi,Notoplanulina aff. compressa,Lenticulina sp. 1,Lenticulina navicula,Gyroidinoides quadratus,Gyroidinoides globosa,Gaudryina rugosa,Valvulineria sp.,Spiroplectammina paula,Osangularia texana,Nodosaria aff. affinis,Loxostomum eleyi,Lagena sp. indet.,Dorothia conicula,Dentalina sp. A.,Dentalina cf. sororia,Dentalina cf. inornata,Bolivinopsis rosula,Anomalinoides sp.,Neoflabellina rugosa,Ramulina sp.,Gyroidinoides nitidus,Gyroidina noda,Globorotalites umbilicatus,Frondicularia aff. lanceola,Dentalina catenula,Dentalina basitorta,Quadrimorphina allomorphinoides,Nuttallinella coronula,Gavelinella velascoensis,Palmula =(indet. juv. sp.),Gavelinella sp. 1,Dentalina sp.,Valvulina spinosa,Uvigerina spp.,Uvigerina hispidocostata,Uvigerina havanensis,Uvigerina graciliformis,Uvigerina elongata,Turrilina robertsi/brevispira,Turrilina alsatica,Tritaxia spp.,Trifarina sp.,Tappanina selmensis,Stilostomella spp.,Spiroplectammina spectabilis,Siphotextularia sp.,Rhabdammina/Hyperammina (unspecified taxon or taxa),Rectuvigerina multicostata,Quadrimorphina spp.,Pyramidina rudita,Pullenia subcarinata,Pullenia eocaenica,Pullenia coryelli,Pullenia bulloides,Pleurostomella sp.,Plectofrondicularia sp.,Plectina elongata,Osangularia velascoensis,Osangularia mexicana,Osangularia culter,Orthomorphina sp.,Oridorsalis umbonatus,Nuttallides umbonifera,Nuttallides truempyi,Nonion sp. 6,Nonion havanensis,Nodosaria sp.,Neoeponides hillebrandti,Neoeponides cf. lunata,Melonis affinis,Martinottiella nodulosa,Marginulina spp.,Lenticulina whitei,Lenticulina spp.,Laticarinina pauperata,Lagena sp.,Karreriella subglabra,Karreriella spp.,Karreriella chapapotensis,Karreriella bradyi,Hanzawaia spp.,Hanzawaia cushmani,Gyroidinoides spp.,Gyroidinoides soldanii,Gyroidina spp.,"Gyroidina sp. ""small""",Gyroidina lamarckiana,Glomospira charoides,Globocassidulina subglobosa,Gavelinella danica,Gaudryina cf. laevigata,Fursenkoina spp.,Fissurina spp.,Eponides sp. 31,Epistominella exigua,Eggerella sp.,Eggerella bradyi,Dentalina spp.,Coryphostoma midwayensis,Cibicidoides velascoensis,Cibicidoides subspiratus,Cibicidoides sp.,Cibicidoides praemundulus,Cibicidoides pachyderma,Cibicidoides mundulus,Cibicidoides micrus,Cibicidoides laurisae,Cibicidoides eocaenus,Cibicidoides bradyi,Cassidulina cf. havanense,Buliminella grata,Bulimina trinitatensis,Bulimina trihedra,Bulimina thanetensis,Bulimina striata,Bulimina spp.,Bulimina semicostata,Bulimina navarroensis,Bulimina macilenta,Bulimina jarvisi,Bulimina elongata,Bulimina bradburyi,Bulimina alazanensis,Bolivinoides delicatulus,Bolivina spp.,Astrononion pusillum,Aragonia velascoensis,Aragonia aragonensis,Anomalinoides spp.,Anomalinoides spissiformis,Anomalinoides semicribratus,Anomalinoides capitatus,Anomalina praeacuta,Alabamina dissonata,Alabamina creta,Abyssamina poagi,Nodosaria spp.,Neoflabellina semireticulata,Dorothia trochoides,Bulimina velascoensis,Bolivinoides sp. 4,Clinapertina complanata,Bulimina tuxpamensis,Heronallenina sp.,Cyclammina spp.,Karreriella sp.,Valvulineria laevigata,Sigmoilopsis sp.,Cibicidoides grimsdalei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 747,C,  2,R, 1,  82.00,    169.3200,Mackensen,Benthic Foraminifers                         ,               ,                  ,                      ,                        ,                   ,               ,                         ,                  ,                    ,.0%                      ,                      ,                     ,                 ,                   ,                            ,                 ,                    ,                       ,                     ,                ,                ,                      ,                  ,                      ,                ,                 ,                 ,                ,                     ,                      ,                   ,                 ,                    ,            ,                     ,              ,                          ,                           ,                  ,                   ,                               ,                      ,                        ,                          ,                 ,             ,.0%              ,.4%           ,.0%                     ,.0%                 ,.0%                    ,.0%               ,.0%                          ,.0%               ,.0%          ,3.8%         ,.0%                ,.0%               ,1.1%                        ,.0%                ,.0%                                                ,.0%                       ,.0%                ,.0%              ,1.5%                ,1.5%              ,.0%              ,.0%               ,.0%               ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.0%               ,.0%              ,8.4%                 ,6.5%                  ,.0%                 ,.0%         ,.0%              ,.4%          ,.0%                     ,.0%                   ,.0%            ,.0%                    ,.0%             ,.0%               ,.4%             ,2.3%                  ,1.9%      ,.0%                  ,.0%             ,2.3%                     ,.0%               ,.0%           ,.0%               ,13.4%             ,.0%                   ,.0%           ,.0%                  ,.0%                  ,.0%                 ,9.6%                       ,.0%               ,.0%                    ,.0%             ,1.1%          ,.0%            ,.0%                 ,.0%          ,.0%             ,.0%           ,.0%                     ,.0%                      ,.0%                     ,.0%             ,24.9%                    ,.0%                    ,.0%                  ,.0%                ,.8%                  ,5.4%                 ,.0%                ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,1.1%         ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,.0%                 ,.0%                     ,.0%          ,7.7%                ,.0%                  ,.0%                 ,.0%               ,1.9%                      ,1.5%                       ,.0%                    ,.0%                ,.0%                ,.0%            ,.0%             ,1             ,                            ,                   ,                     ,                  ,                       ,                    ,1                ,               ,               ,1                     ,1               ,2                      ,Indeterminant specimens = 0%; All others = 1.9%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 747,C,  2,R, 2,  69.00,    170.6900,Mackensen,Benthic Foraminifers                         ,               ,                  ,                      ,                        ,                   ,               ,                         ,                  ,                    ,.0%                      ,                      ,                     ,                 ,                   ,                            ,                 ,                    ,                       ,                     ,                ,                ,                      ,                  ,                      ,                ,                 ,                 ,                ,                     ,                      ,                   ,                 ,                    ,            ,                     ,              ,                          ,                           ,                  ,                   ,                               ,                      ,                        ,                          ,                 ,             ,.0%              ,.0%           ,.0%                     ,1.9%                ,.0%                    ,.0%               ,.9%                          ,.0%               ,.0%          ,.0%          ,.0%                ,3.8%              ,.3%                         ,.0%                ,.0%                                                ,.0%                       ,.0%                ,.0%              ,2.5%                ,6.9%              ,.0%              ,.0%               ,1.9%              ,.0%                    ,.0%              ,.0%                     ,2.5%                ,.0%               ,.0%              ,12.8%                ,2.5%                  ,1.3%                ,.0%         ,5.0%             ,.0%          ,.0%                     ,.0%                   ,.0%            ,.0%                    ,.0%             ,.0%               ,.6%             ,.3%                   ,2.5%      ,.0%                  ,.3%             ,.6%                      ,.0%               ,.0%           ,.6%               ,.0%               ,.0%                   ,6.9%          ,.0%                  ,.0%                  ,.0%                 ,1.3%                       ,.0%               ,.0%                    ,.0%             ,.3%           ,.9%            ,.0%                 ,.0%          ,.0%             ,.0%           ,.0%                     ,.0%                      ,.0%                     ,.0%             ,12.5%                    ,.0%                    ,.0%                  ,.0%                ,.3%                  ,8.8%                 ,.3%                ,.0%                      ,.0%              ,.0%                   ,.0%              ,.0%                 ,.0%             ,.0%          ,.0%                 ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,.0%                 ,.0%                     ,.0%          ,.0%                 ,.0%                  ,.0%                 ,.0%               ,2.2%                      ,.0%                        ,.6%                    ,.0%                ,17.5%              ,.0%            ,.0%             ,              ,                            ,                   ,                     ,                  ,                       ,                    ,1                ,               ,1              ,                      ,                ,                       ,Indeterminant specimens = 0.9%; All others = 0.3%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 747,C,  2,R, 3,  98.00,    172.4800,Mackensen,Benthic Foraminifers                         ,               ,                  ,                      ,                        ,                   ,               ,                         ,                  ,                    ,1.9%                     ,                      ,                     ,                 ,                   ,                            ,                 ,                    ,                       ,                     ,                ,                ,                      ,                  ,                      ,                ,                 ,                 ,                ,                     ,                      ,                   ,                 ,                    ,            ,                     ,              ,                          ,                           ,                  ,                   ,                               ,                      ,                        ,                          ,                 ,             ,.5%              ,.0%           ,.0%                     ,.0%                 ,.0%                    ,.0%               ,.9%                          ,.0%               ,.0%          ,.0%          ,.0%                ,9.7%              ,2.8%                        ,.0%                ,.0%                                                ,.0%                       ,.0%                ,.0%              ,.9%                 ,7.9%              ,.0%              ,.0%               ,.0%               ,.0%                    ,.0%              ,.0%                     ,.0%                 ,.0%               ,.0%              ,15.7%                ,.0%                   ,6.9%                ,.0%         ,1.4%             ,.0%          ,.0%                     ,.0%                   ,.0%            ,.0%                    ,.0%             ,.0%               ,.9%             ,.0%                   ,1.9%      ,.0%                  ,.0%             ,.0%                      ,.0%               ,.0%           ,.0%               ,.0%               ,.0%                   ,7.9%          ,.0%                  ,.0%                  ,.0%                 ,9.3%                       ,.0%               ,.0%                    ,.0%             ,.5%           ,.5%            ,.0%                 ,.0%          ,.0%             ,.0%           ,.0%                     ,.0%                      ,.0%                     ,.0%             ,4.2%                     ,.0%                    ,.0%                  ,1.4%               ,1.9%                 ,12.0%                ,.0%                ,.5%                      ,1.9%             ,.0%                   ,.0%              ,.0%                 ,.0%             ,.9%          ,1.9%                ,.0%                  ,.0%               ,.0%             ,.0%              ,1.9%              ,.0%                 ,.0%                     ,.0%          ,.5%                 ,.0%                  ,.0%                 ,.0%               ,.5%                       ,.5%                        ,.0%                    ,.0%                ,1.4%               ,.0%            ,.0%             ,              ,                            ,                   ,                     ,                  ,                       ,                    ,1                ,1              ,               ,                      ,                ,                       ,Indeterminant specimens = 0%; All others = 1.4%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 747,C,  2,R, 3, 139.00,    172.8900,Mackensen,Benthic Foraminifers                         ,               ,                  ,                      ,                        ,                   ,               ,                         ,                  ,                    ,.8%                      ,                      ,                     ,                 ,                   ,                            ,                 ,                    ,                       ,                     ,                ,                ,                      ,                  ,                      ,                ,                 ,                 ,                ,                     ,                      ,                   ,                 ,                    ,            ,                     ,              ,                          ,                           ,                  ,                   ,                               ,                      ,                        ,                          ,                 ,             ,.8%              ,.4%           ,.0%                     ,.0%                 ,.0%                    ,.0%               ,.8%                          ,.0%               ,.0%          ,.0%          ,.0%                ,7.2%              ,.8%                         ,.0%                ,.0%                                                ,.0%                       ,.0%                ,.0%              ,.8%                 ,10.0%             ,.0%              ,.0%               ,.8%               ,.0%                    ,.0%              ,.0%                     ,1.2%                ,.0%               ,.0%              ,12.0%                ,.0%                   ,16.4%               ,.0%         ,2.8%             ,.0%          ,.0%                     ,.0%                   ,.0%            ,.0%                    ,.0%             ,.0%               ,.8%             ,.0%                   ,.0%       ,.0%                  ,.0%             ,.8%                      ,.0%               ,.0%           ,.4%               ,.0%               ,.0%                   ,10.4%         ,.0%                  ,.0%                  ,.0%                 ,.0%                        ,.0%               ,.0%                    ,.0%             ,.4%           ,.0%            ,.0%                 ,.0%          ,.0%             ,.0%           ,.0%                     ,.0%                      ,1.6%                    ,.0%             ,11.6%                    ,.0%                    ,.0%                  ,.8%                ,.0%                  ,9.6%                 ,.0%                ,.0%                      ,.8%              ,1.2%                  ,.0%              ,.0%                 ,.0%             ,.0%          ,1.2%                ,.0%                  ,.0%               ,.0%             ,.0%              ,.0%               ,.0%                 ,.0%                     ,.4%          ,.0%                 ,.0%                  ,.0%                 ,.0%               ,2.4%                      ,.0%                        ,1.6%                   ,.0%                ,1.2%               ,.0%            ,.0%             ,              ,                            ,                   ,                     ,                  ,                       ,                    ,                 ,               ,               ,                      ,                ,                       ,Indeterminant specimens = 0%; All others = 0%; from ODP Leg 120 SR Vol 2 Chapter 34 Table 3 p 614-619
