Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tuberculodinium vancampoae	Tectatodinium sp. 3	Tectatodinium sp. 2	Tectatodinium psilatum	Systematophora placacantha	Sumatradinium? sp. C	Spiniferites spp.	Spiniferites ramosus brevifurcatus	Spiniferites ramosus	Spiniferites pseudofurcatus	Spiniferites cf. mirabilis	Spiniferites bentorii	Pyxidinopsis sp.1	Platycystidia (?) sp. II	Pentadinium laticinctum imaginatum	Palaeocystodinium sp. A	Palaeocystodinium golzowense	Operculodinium sp. 3	Operculodinium sp. 1	Operculodinium sp.	Operculodinium placitum	Operculodinium longispinigerum	Operculodinium israelianum	Operculodinium crassum	Operculodinium cf. giganteum 	Operculodinium centrocarpum	Nematosphaeropsis lemniscata	Nematosphaeropsis labyrinthea	Melitasphaeridium choanophorum	Litosphaeridium sp. 1	Lingulodinium sp. 1	Lingulodinium machaerophorum	Labyrinthodinium truncatum	Labyrinthodinium cf. truncatum	Invertocysta tabulata	Invertocysta lacrymosa	Impletosphaeridium spp.	Impagidinium velorum	Impagidinium spp.	Impagidinium sp.3	Impagidinium sp.2	Impagidinium patulum	Impagidinium paradoxum	Impagidinium pallidum	Impagidinium maculatum	Impagidinium aquaeductum	Hystrichostrogylon sp.	Hystrichostrogylon cf. membraniphorum	Hystrichosphaeropsis obscura	Hystrichosphaeridium latirictum	Hystrichokolpoma rigaudiae	Homotryblium vallum	Homotryblium floripes	Gen. et sp. indet	Filisphaera filifera	Evittosphaerula? sp. 2 	Distatodinium paradoxum	Dinocyst II	Dinocyst 7	Dinocyst 6	Dapsilidinium pseudocolligerum	Dapsilidinium pastielsii	Cordosphaeridium sp. I	Cleistosphaeridium sp. 1	Cannosphaeropsis utinensis	Cannosphaeropsis sp. A	Bitectatodinium tepikiense	Batiacasphaera sphaerica	Batiacasphaera sp. 2	Batiacasphaera sp. 1	Batiacasphaera hirsuta	Ascostomocystis granosa	Areosphaeridium actinocoronatum 	Apteodinium tectatum	Amiculosphaera umbracula	Amiculosphaera cf. umbracula	Achomosphaera ramulifera	Achomosphaera andalousiensis	Tectatodinium sp. III	Tectatodinium sp. II	Tectatodinium sp. I	Tectatodinium simplex	Tectatodinium pellitum	Spiniferites sp. "TS"	Spiniferites rubinus	Spiniferites elongatus	Selenopemphix quanta	Selenopemphix nephroides	Reticulatosphaera actinocoronata	Quinquecuspis spp.	Polysphaeridium zoharyi	Platycystidia sp. 1	Operculodinium wallii	Operculodinium sp.	Operculodinium echigoense	Nematosphaeropsis oblonga	Invertocysta spp.	Impagidinium spp.	Impagidinium sphaericum	Hystrichosphaeropsis pontiana	Hystrichokolpoma sp. 1	Hystrichokolpoma sp.	Dinocyst sp. 1	Cymatiosphaera sp. 1	Corrudinium harlandii	Brigantedinium sp. group A	Achomosphaera sp. A	?Pyxidiella sp. 1	Comment



  SR	                 	                 	                  	              	104	 642	C	 10	H	 1	  87.00	     64.3700	Manum    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	-                         	-                  	-                  	-                     	-                         	-                   	R                	-                                 	C                   	-                          	-                         	-                    	-                	-                       	-                                 	-                      	-                           	-                   	-                   	-                 	-                      	R                             	-                         	-                     	-                            	A                          	-                           	-                            	-                             	-                    	-                  	R                           	-                         	-                             	-                    	-                     	R                      	-                   	-                	-                	R                	-                   	-                     	-                    	-                     	-                       	-                     	-                                    	-                           	-                              	-                         	-                  	-                    	-                	R                   	-                      	-                      	-          	-         	-         	-                             	-                       	-                     	-                       	-                         	-                     	A                         	-                       	-                   	-                   	-                     	-                      	-                               	-                   	R                       	-                           	-                       	-                           	                     	                    	                   	                     	                      	                     	                    	                      	                    	                        	                                	                  	                       	                   	                     	                  	                         	                         	                 	                 	                       	                             	                      	                    	              	                    	                     	                          	                   	                 	from Odp 104 SR  Chapter 32 Figure 6  p 635

  SR	                 	                 	                  	              	104	 642	C	 10	H	 6	  41.00	     71.4100	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	B              	                  	                          	                   	                   	                      	                          	                    	-                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	-                     	                             	-                          	-                           	-                            	-                             	                     	                   	-                           	                          	                              	                     	                      	-                      	                    	                 	                 	                 	                    	                      	-                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	-                         	                        	                    	                    	                      	                       	                                	                    	-                       	                            	-                       	-                           	-                    	-                   	-                  	-                    	-                     	-                    	-                   	-                     	-                   	-                       	-                               	-                 	-                      	-                  	-                    	-                 	-                        	-                        	-                	-                	-                      	-                            	-                     	-                   	-             	-                   	-                    	-                         	-                  	-                	from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Early Pliocene   	                 	PM2 (Mudie1989)   	              	104	 642	C	 11	H	 1	  19.00	     73.1900	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	R                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	-                     	                             	R                          	-                           	R                            	R                             	                     	                   	R                           	                          	                              	                     	                      	R                      	                    	                 	                 	                 	                    	                      	R                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	R                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	R                         	                        	                    	                    	                      	                       	                                	                    	-                       	                            	R                       	R                           	R                    	C                   	-                  	R                    	R                     	-                    	-                   	-                     	-                   	-                       	-                               	-                 	-                      	-                  	-                    	-                 	-                        	-                        	-                	-                	-                      	-                            	R                     	R                   	R             	-                   	-                    	R                         	-                  	-                	Black spores =  C; from ODP 104 SR Chapter 31 Figure 6 p 594

  SR	Early Pliocene   	                 	PM2 (Mudie1989)   	              	104	 642	C	 11	H	 1	  38.00	     73.3800	Mudie    	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                   	                   	                      	                          	                    	R                	                                  	                    	                           	                          	                     	                 	                        	                                  	                       	                            	                    	                    	                  	                       	                              	-                         	-                     	                             	C                          	-                           	R                            	-                             	                     	                   	-                           	                          	                              	                     	                      	C                      	                    	                 	                 	                 	                    	                      	R                    	                      	                        	                      	                                     	                            	                               	                          	                   	                     	                 	-                   	                       	                       	           	          	          	                              	                        	                      	                        	                          	                      	R                         	                        	                    	                    	                      	                       	                                	                    	R                       	                            	R                       	-                           	R                    	-                   	-                  	-                    	-                     	-                    	-                   	-                     	R                   	R                       	-                               	-                 	-                      	C                  	R                    	-                 	R                        	-                        	R                	-                	-                      	-                            	-                     	-                   	R             	-                   	-                    	R                         	-                  	-                	Black spores =  A; from ODP 104 SR Chapter 31 Figure 6 p 594
