Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Theocorys redondoensis	Stylatractus universus	Stichocorys peregrina	Stichocorys delmontensis	Phormostichoartus fistula	Lychnocanoma nipponica nipponica	Lychnocanoma nipponica magnacornuta	Dictyophimus splendens	Anthocyrtella (?) callopisma	Amphymenium amphistylium	Actinomma popofskii	Sphaeropyle robusta	Prunopyle hayesi	Cyrtocapsella tetrapera	Cycladophora cosma cosma	Stylacontarium acquilonium	Cycladophora pliocenica	Eucyrtidium calvertense	Cyrtocapsella cornuta	Lamprocyrtis heteroporos	Sphaeropyle langii	Dictyophimus bullatus	Botryostrobus aquilonaris	Phormostichoartus crustula	Haliommetta miocenica	Lamprocyrtis neoheteroporos	Cycladophora davisiana davisiana	Phormostichoartus pitomorphus	Didymocyrtis tetrathalamus	Lychnocanoma nipponica sakaii	Eucyrtidium matuyamai	Lamprocyrtis nigriniae	Comment



  SR	                 	                 	                  	              	145	 886	C	  1	H	 1	  20.00	      0.2000	Morley   	Radiolarians                                 	A              	G                 	                      	                      	                     	                        	                         	                                	                                   	                      	                            	                        	                   	                   	                	                       	F                       	                          	                       	                       	                     	                        	R                 	                     	F                        	                          	                     	                           	C                               	                             	                          	                             	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  1	H	 1	 114.00	      1.1400	Morley   	Radiolarians                                 	A              	M-G               	                      	                      	                     	                        	                         	                                	                                   	                      	                            	                        	                   	                   	                	                       	F                       	                          	R                      	                       	                     	                        	                  	                     	                         	                          	R                    	                           	C                               	                             	                          	C                            	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  1	H	 2	 114.00	      2.6400	Morley   	Radiolarians                                 	A              	G                 	                      	                      	                     	                        	                         	                                	                                   	                      	-                           	                        	                   	                   	                	                       	F                       	R                         	F                      	                       	                     	                        	T                 	                     	F                        	                          	R                    	                           	C                               	                             	-                         	R                            	                     	                      	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  1	H	 3	 114.00	      4.1400	Morley   	Radiolarians                                 	A              	G                 	                      	R                     	                     	rT                      	                         	                                	                                   	                      	+                           	                        	                   	rT                 	                	                       	C                       	R                         	F                      	                       	                     	                        	F                 	                     	F                        	                          	R                    	                           	C                               	                             	-                         	F                            	                     	R                     	From Leg 145; Ch 4; Table 5; p. 61

  SR	                 	                 	                  	              	145	 886	C	  1	H	 4	 114.00	      5.6400	Morley   	Radiolarians                                 	C              	P-M               	                      	                      	                     	                        	                         	                                	                                   	                      	+                           	                        	                   	                   	                	rT                     	F                       	                          	R                      	                       	                     	                        	                  	                     	                         	rT                        	                     	T                          	F                               	T                            	-                         	T                            	                     	-                     	From Leg 145; Ch 4; Table 5; p. 61

