Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unilocular species,Unidentified benthic forams,Oridorsalis umbonatus,Nodosaria spp.,Lenticulina spp.,Guttulina spp.,Globocassidulina subglobosa,Elphidium saginatum,Discammina spp.,Cyclammina spp.,Cibicidoides spp.,Bolivinopsis spp.,Anomalinoides spp.,Vaginulinopsis spp.,Pleurostomella spp.,Ostracoda spp.,Gyroidinoides spp.,Bulimina spp.,Uvigerina peregrina,Spirillina spp.,Pullenia bulloides,Cribrostomoides spp.,Anomalinoides spissiformis,Uvigerina hispida,Plectofrondicularia spp.,Melonis barleeanus,Eggerelloides spp.,Dentalina spp.,Bathysiphon spp.,Quinqueloculina spp.,Pullenia spp.,Haplophragmoides spp.,Globobulimina spp.,Stilostomella spp.,Textularia spp.,Osangularia culter,Karreriella bradyi,Hoeglundina elegans,Parrelloides bradyi,Ceratobulimina spp.,Nonion spp.,Cassidulina spp.,Orthomorphina spp.,Nuttallides umbonifera,Laticarinina pauperata,Eggerella bradyi,Pyrulina spp.,Pullenia quinqueloba,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D,  1,R,CC,  11.00,    427.2700,benthics ,Benthic Foraminifers                         ,C              ,M                 ,R                 ,R                          ,F                    ,              ,R               ,              ,R                          ,                   ,               ,               ,                 ,R                ,                  ,                   ,R                  ,T             ,R                 ,             ,R                  ,               ,R                 ,                    ,                          ,                 ,                        ,T                 ,                  ,              ,                ,                    ,             ,                     ,                  ,R                 ,               ,                  ,R                 ,                   ,                   ,                   ,           ,T               ,T                 ,                      ,R                     ,T               ,T            ,T                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D,  2,R,CC,  14.00,    437.5000,benthics ,Benthic Foraminifers                         ,F              ,M                 ,R                 ,R                          ,R                    ,              ,T               ,              ,                           ,                   ,               ,               ,                 ,T                ,                  ,                   ,T                  ,R             ,                  ,             ,T                  ,               ,                  ,                    ,                          ,                 ,                        ,                  ,                  ,              ,                ,                    ,             ,                     ,                  ,R                 ,               ,                  ,                  ,                   ,                   ,                   ,F          ,                ,                  ,                      ,R                     ,R               ,             ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D,  3,R,CC,  15.00,    444.9500,benthics ,Benthic Foraminifers                         ,R              ,P                 ,R                 ,T                          ,R                    ,              ,                ,              ,                           ,                   ,               ,               ,                 ,                 ,                  ,                   ,T                  ,T             ,T                 ,             ,T                  ,               ,R                 ,                    ,                          ,                 ,                        ,                  ,                  ,T             ,                ,                    ,R            ,                     ,                  ,R                 ,               ,                  ,                  ,                   ,                   ,                   ,           ,                ,T                 ,R                     ,T                     ,                ,             ,                    ,very few planktics
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D,  4,R,CC,  19.00,    454.9900,benthics ,Benthic Foraminifers                         ,R              ,P                 ,                  ,T                          ,                     ,              ,                ,              ,T                          ,                   ,               ,               ,                 ,T                ,                  ,                   ,                   ,              ,                  ,T            ,                   ,               ,                  ,                    ,                          ,                 ,                        ,                  ,                  ,              ,                ,                    ,T            ,                     ,                  ,R                 ,               ,                  ,                  ,                   ,                   ,                   ,R          ,T               ,                  ,                      ,                      ,                ,             ,                    ,       
