Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globobulimina pacifica,Epistominella pacifica,Elphidiella hannai,Uvigerina senticosa,Sphaeroidina bulloides,Pyrgo sp.,Pullenia bulloides,Melonis pompilioides,Lagena sp.,Gyroidina soldanii rotundimargo,Gyroidina soldanii altiformis,Globobulimina affinis,Eponides healdi,Cibicidoides wuellerstorfi,Cibicidoides mckannai,Cibicides spp.,Cassidulina norcrossi,Calcareous sp. indeterminate,Agglutinated spp. (indeterminate),Triloculina sp.,Uvigerina hispida,Uvigerina dirupta,Reophax sp.,Bulimina striata mexicana,Bulimina exilis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,A,  1,H, 1,   4.00,      0.0400,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,R                     ,                      ,                  ,                   ,R                     ,S        ,                  ,R                   ,          ,                               ,R                            ,                     ,               ,                          ,                     ,              ,                     ,                            ,S                                ,S              ,S                ,R                ,R          ,S                        ,R              ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,A,  1,H,CC,  29.00,      4.6500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                      ,S                     ,                  ,                   ,                      ,         ,                  ,                    ,          ,                               ,                             ,                     ,               ,                          ,                     ,              ,                     ,                            ,                                 ,               ,                 ,                 ,           ,                         ,               ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,A,  2,H,CC,  24.00,      7.3000,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,R                     ,                      ,                  ,S                  ,                      ,         ,                  ,R                   ,          ,                               ,                             ,                     ,S              ,                          ,R                    ,S             ,                     ,                            ,                                 ,S              ,                 ,                 ,           ,                         ,               ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,A,  3,H, 1,  39.00,      7.6900,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,R                     ,                      ,                  ,F                  ,R                     ,R        ,R                 ,R                   ,S         ,S                              ,S                            ,S                    ,S              ,S                         ,R                    ,S             ,S                    ,S                           ,S                                ,               ,                 ,                 ,           ,                         ,               ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 891,A,  3,H,CC,   5.00,      9.4700,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                     ,R                     ,S                 ,                   ,                      ,         ,                  ,                    ,          ,                               ,                             ,                     ,               ,                          ,                     ,              ,                     ,                            ,                                 ,               ,                 ,                 ,           ,                         ,               ,from Leg 146SR; Ch 5; Table 4; pp. 98-99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
