Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiosira torokina	Thalassiosira striata	Thalassiosira oliverana	Thalassiosira oestrupii	Nitzschia interfrigidaria	Nitzschia barronii	Thalassiosira fasciculata	Nitzschia ritscherii	Thalassiosira inura	Thalassiosira insigna	Paralia sulcata	Actinocyclus maccollumii	Actinocyclus karstenii	Thalassiosira vulnifica	Odontella aurita	Denticulopsis simonsenii	Nitzschia kerguelenis	Thalassiosira elliptipora	Thalassiosira complicata	Rouxia antarctica	Thalassiosira lentiginosa	Thalassiosira antarctica	Eucampia antarctica	Actinocyclus actinochilus	Nitzschia obliquecostata	Nitzschia curta	Comment



  IR	                 	                 	                  	              	178	1101	A	  1	H	CC	  28.00	      8.6000	Winter   	Diatoms                                      	A              	MG                	                      	                     	+                      	                       	                         	                  	                         	                    	                   	                     	R              	                        	                      	                       	                	                        	F                    	                         	                        	                 	F                        	                        	                   	F                        	+                       	R              	       

  IR	                 	                 	                  	              	178	1101	A	  2	H	CC	  28.00	     18.4800	Winter   	Diatoms                                      	F              	P                 	                      	                     	                       	                       	                         	                  	                         	                    	                   	                     	               	                        	                      	                       	                	                        	F                    	                         	                        	                 	                         	                        	                   	+                        	                        	               	       

  IR	                 	                 	                  	              	178	1101	A	  3	H	CC	  16.00	     27.8300	Winter   	Diatoms                                      	F              	P                 	+                     	                     	                       	                       	                         	                  	                         	                    	                   	                     	               	                        	                      	                       	                	                        	F                    	                         	                        	                 	R                        	+                       	R                  	+                        	                        	               	       

  IR	                 	                 	                  	              	178	1101	A	  4	H	CC	  39.00	     37.9800	Winter   	Diatoms                                      	T              	P                 	                      	                     	T                      	                       	                         	                  	                         	                    	                   	                     	               	                        	                      	                       	T               	                        	                     	                         	T                       	T                	                         	                        	                   	                         	                        	               	       

  IR	                 	                 	                  	              	178	1101	A	  7	H	CC	   8.00	     57.4900	Winter   	Diatoms                                      	R              	P                 	                      	                     	                       	                       	                         	T                 	                         	                    	T                  	T                    	               	                        	                      	                       	                	                        	T                    	T                        	                        	                 	                         	                        	                   	                         	                        	               	       

  IR	                 	                 	                  	              	178	1101	A	  8	H	CC	   0.00	     66.7200	Winter   	Diatoms                                      	T              	P                 	                      	                     	                       	                       	                         	                  	                         	                    	                   	                     	               	                        	                      	                       	T               	                        	                     	                         	                        	                 	                         	                        	                   	                         	                        	               	       

  IR	                 	                 	                  	              	178	1101	A	  9	H	CC	   6.00	     76.0700	Winter   	Diatoms                                      	F              	MP                	                      	                     	T                      	                       	                         	                  	R                        	                    	R                  	                     	               	                        	R                     	                       	R               	                        	F                    	                         	                        	                 	                         	                        	                   	                         	                        	               	       

  IR	                 	                 	                  	              	178	1101	A	 10	H	CC	   9.00	     85.0300	Winter   	Diatoms                                      	F              	P                 	                      	                     	R                      	T                      	                         	R                 	                         	                    	                   	                     	               	                        	T                     	                       	                	                        	T                    	                         	                        	                 	                         	                        	                   	                         	                        	               	       

