Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocotylissa ficus,Podocyrtis sinuosa,Lychnocanoma babylonis group,Lithochytris vespertilio,Eusyringium lagena,Thyrsocyrtis tensa,Theocotyle conica,Theocotyle cryptocephala,Spongatractus pachystylus,Podocyrtis papalis,Lithocyclia ocellus,Eusyringium fistuligerum,Dictyoprora mongolfieri,Rhopalocanium ornatum,Phormocyrtis striata striata,Lophocyrtis biaurita,Dictyophimus craticula,Ceratospyris articulata,Calocyclas hispida,Lychnocanoma bellum,Podocyrtis  ampla,Podocyrtis mitra,Calocycloma ampulla,Podocyrtis fasciolata,Anthocyrtoma sp.,Sethochytris triconiscus,Podocyrtis trachodes,Podocyrtis chalara,Lithocyclia aristotelis group,Thyrsocyrtis  tetracantha,Theocorys anapographa,Podocyrtis goetheana,Dictyoprora armadillo,Calocyclas turris,Calocyclas bandyca,Lychnocanoma amphitrite,Dictyoprora pirum,Cryptocarpium azyx,Theocyrtis tuberosa,Lophocyrtis milowi,Lithocyclia angusta,Centrobotrys petrushevskayae,Artophormis gracilis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,165, 998,B,  1,R, 1,  38.00,    558.6800,Nigrini  ,Radiolarians                                 ,VR             ,M                 ,                   ,                  ,                            ,                        ,                  ,                  ,                 ,                        ,                         ,                  ,                   ,                        ,                       ,                     ,                            ,                    ,                      ,                       ,                  ,                   ,                 ,                ,                   ,                     ,                ,                        ,                    ,                  ,                             ,                         ,                     ,                    ,                     ,                 ,                  ,                       ,                 ,                  ,?                  ,                  ,                   ,                            ,                    ,From 165SR. Chapter 3. Table 2.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,RP20              ,              ,165, 998,B,  1,R, 5,  33.00,    564.6300,Nigrini  ,Radiolarians                                 ,F              ,M                 ,                   ,                  ,                            ,                        ,                  ,                  ,                 ,                        ,                         ,                  ,                   ,                        ,                       ,                     ,                            ,                    ,                      ,                       ,                  ,                   ,                 ,                ,                   ,                     ,                ,                        ,                    ,                  ,                             ,                         ,                     ,                    ,                     ,                 ,                  ,                       ,                 ,                  ,R                  ,?                 ,S                  ,S                           ,S                   ,From 165SR. Chapter 3. Table 2.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,165, 998,B,  2,R, 3,  33.00,    571.2300,Nigrini  ,Radiolarians                                 ,F              ,M                 ,                   ,                  ,                            ,                        ,                  ,                  ,                 ,                        ,                         ,                  ,                   ,                        ,+                      ,                     ,                            ,                    ,                      ,                       ,                  ,                   ,                 ,                ,                   ,                     ,                ,                        ,                    ,                  ,                             ,                         ,                     ,                    ,                     ,                 ,                  ,                       ,+                ,                  ,+                  ,                  ,                   ,                            ,                    ,From 165SR. Chapter 3. Table 2.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,165, 998,B,  2,R, 5,  20.00,    574.1000,Nigrini  ,Radiolarians                                 ,R              ,M                 ,                   ,                  ,+                           ,                        ,                  ,                  ,                 ,                        ,                         ,                  ,                   ,                        ,+                      ,                     ,                            ,                    ,                      ,                       ,                  ,                   ,                 ,+               ,                   ,                     ,                ,                        ,                    ,+                 ,                             ,                         ,                     ,                    ,                     ,                 ,                  ,                       ,                 ,                  ,+                  ,                  ,                   ,                            ,                    ,From 165SR. Chapter 3. Table 2.
