Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globigerinoides sacculifer	Globigerinoides ruber	Globigerina bulloides	Neogloboquadrina humerosa	Neogloboquadrina asanoi	Globorotalia crassula	Neogloboquadrina sp. "rounded"	Neogloboquadrina pachyderma (dextral)	Globorotalia tumida	Sphaeroidinella dehiscens	Globorotalia inflata	Globorotalia crassaformis	Globorotalia puncticulata	Neogloboquadrina pachyderma (sinistral)	Globigerina umbilicata	Globorotalia truncatulinoides	Globorotalia tosaensis	Globigerinoides obliquus	Neogloboquadrina dutertrei	Comment



  IR	                 	                 	                  	              	167	1011	C	  1	H	CC	  17.00	      3.3000	Kennett  	Planktonic Foraminifers                      	A              	G                 	                          	R                    	A                    	                         	                       	                     	                              	R                                    	                   	                         	C                   	                         	                         	A                                      	C                     	                             	                      	                        	                          	from IR. Ch 5. Tables 3 and 4.

  IR	                 	                 	                  	              	167	1011	C	  2	H	CC	  32.00	     13.3700	Kennett  	Planktonic Foraminifers                      	A              	G                 	                          	                     	A                    	                         	                       	C                    	                              	R                                    	                   	                         	R                   	                         	                         	A                                      	                      	                             	                      	                        	                          	from IR. Ch 5. Tables 3 and 4.

  IR	                 	                 	                  	              	167	1011	C	  3	H	CC	   6.00	     22.2900	Kennett  	Planktonic Foraminifers                      	A              	M                 	                          	C                    	C                    	                         	                       	                     	                              	                                     	R                  	                         	C                   	C                        	                         	                                       	                      	                             	                      	                        	A                         	from IR. Ch 5. Tables 3 and 4.

  IR	                 	                 	                  	              	167	1011	C	  4	H	CC	  28.00	     32.4100	Kennett  	Planktonic Foraminifers                      	A              	G                 	                          	R                    	A                    	C                        	                       	                     	                              	A                                    	R                  	                         	A                   	                         	                         	                                       	                      	                             	                      	                        	C                         	from IR. Ch 5. Tables 3 and 4.

  IR	                 	                 	                  	              	167	1011	C	  5	H	CC	  19.00	     41.6400	Kennett  	Planktonic Foraminifers                      	A              	G                 	                          	                     	C                    	R                        	                       	                     	                              	C                                    	                   	                         	C                   	                         	                         	C                                      	                      	                             	                      	                        	C                         	from IR. Ch 5. Tables 3 and 4.

  IR	                 	                 	                  	              	167	1011	C	  6	H	CC	  33.00	     51.3700	Kennett  	Planktonic Foraminifers                      	A              	G                 	                          	                     	A                    	C                        	                       	                     	                              	C                                    	R                  	                         	C                   	F                        	                         	                                       	                      	F                            	F                     	R                       	                          	from IR. Ch 5. Tables 3 and 4.

  IR	                 	                 	                  	              	167	1011	C	  7	H	CC	  31.00	     60.6600	Kennett  	Planktonic Foraminifers                      	A              	G                 	                          	R                    	A                    	C                        	                       	                     	                              	A                                    	                   	R                        	C                   	                         	                         	                                       	                      	                             	                      	                        	                          	from IR. Ch 5. Tables 3 and 4.

  IR	                 	                 	                  	              	167	1011	C	  8	H	CC	  38.00	     70.2700	Kennett  	Planktonic Foraminifers                      	A              	G                 	                          	                     	A                    	A                        	A                      	                     	                              	A                                    	                   	                         	C                   	                         	                         	A                                      	C                     	                             	                      	                        	                          	from IR. Ch 5. Tables 3 and 4.

