Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Helicosphaera carteri,Calcidiscus leptoporus,Discoaster brouweri,Coccolithus pelagicus,Dictyococcites productus,Helicosphaera sellii,Calcidiscus macintyrei,Thoracosphaera saxea,Scyphosphaera apsteinii,Reticulofenestra minutula,Pseudoemiliania lacunosa,Thoracosphaera heimii,Umbilicosphaera sibogae,Zeugrhabdotus acanthus,Watznaueria supracretacea,Watznaueria biporta,Watznaueria barnesae,Vekshinella stradnerii,Tranolithus phacelosus,Tranolithus exiguus,Stradneria crenulata,Stoverius asymmetricus,Rhagodiscus angustus,Reinhardtites anthophorus,Quadrum gartneri,Prediscosphaera intercisa,Prediscosphaera honjoi,Placozygus fibuliformis,Micula decussata 2,Micula decussata 1,Micula concava,Microrhabdulus belgicus,Marthasterites furcatus,Manivitella pemmatoidea,Lithraphidites carniolensis,Lithastrinus grillii,Glaukolithus diplogrammus,Glaukolithus bicrescenticus,Gephyrorhabdus coronadventis,Gartnerago obliquum,Gartnerago diversum,Flabellites oblongus,Eiffellithus turriseiffelii,Eiffellithus gorkae,Eiffellithus eximius,Discorhabdus ignotus,Cribrosphaerella ehrenbergii,Corollithion signum,Chiastozygus litterarius,Aspidolithus bevieri,Ahmuellerella octoradiata,Gephyrocapsa caribbeanica,Tranolithus gabalus,Stoverius coronatus,Stoverius biarcus,Rotelapillus crenulatus,Rhagodiscus splendens,Prediscosphaera spinosa,Prediscosphaera cretacea,Microrhabdulus decoratus,Helicolithus trabeculatus,Chiastozygus platyrhethus,Pontosphaera indooceanica,Gephyrocapsa oceanica,Scyphosphaera pulcherrima,Pontosphaera japonica,Braarudosphaera bigelowii,Ceratolithus cristatus,Reticulofenestra pseudoumbilicus,Gephyrocapsa omega,Emiliania huxleyi,Sphenolithus abies,Gephyrocapsa aperta,Rhabdosphaera clavigera,Scapholithus fossilis,Helicosphaera carteri var. hyalina,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NN21          ,180,1108,B,  1,R, 1,   4.00,      0.0400,Siesser  ,Nannofossils                                 ,A              ,G                 ,F                    ,F                     ,                   ,                     ,                        ,                    ,                      ,                    ,                       ,C                        ,                        ,                     ,F                      ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,                         ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,C                    ,                         ,                     ,                         ,                      ,                                ,R                 ,C                ,                  ,                   ,R                      ,F                    ,                                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,NN21          ,180,1108,B,  1,R, 1,  30.00,      0.3000,Siesser  ,Nannofossils                                 ,A              ,G                 ,F                    ,F                     ,                   ,                     ,                        ,                    ,                      ,                    ,                       ,                         ,                        ,                     ,F                      ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,                         ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,A                    ,                         ,                     ,                         ,R                     ,                                ,F                 ,C                ,                  ,                   ,R                      ,R                    ,                                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,NN21          ,180,1108,B,  1,R,CC,  10.00,      1.7500,Siesser  ,Nannofossils                                 ,C              ,G                 ,                     ,F                     ,                   ,                     ,                        ,                    ,                      ,                    ,                       ,C                        ,                        ,R                    ,F                      ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,                         ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,C                    ,                         ,                     ,                         ,R                     ,                                ,                  ,C                ,                  ,                   ,R                      ,F                    ,F                                 ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,NN19B             ,NN19F         ,180,1108,B,  3,R,CC,   4.00,     14.5400,Siesser  ,Nannofossils                                 ,F              ,M                 ,F                    ,F                     ,r1                 ,                     ,                        ,                    ,rR1                   ,                    ,                       ,R                        ,R                       ,                     ,                       ,                      ,                         ,                   ,                    ,                      ,                      ,                   ,                    ,                      ,                    ,                         ,                ,                         ,                      ,                       ,                  ,                  ,              ,                       ,                       ,                       ,                           ,                    ,                         ,                           ,                            ,                   ,                   ,                    ,                           ,                   ,                    ,                    ,                            ,                   ,                        ,                    ,                         ,                         ,                   ,                   ,                 ,                       ,                     ,                       ,                        ,                        ,                         ,                         ,                         ,R                    ,                         ,                     ,                         ,R                     ,                                ,                  ,                 ,r1                ,                   ,R                      ,                     ,                                  ,       
