Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira zabellinae	Thalassiosira trifulta	Thalassiosira oestrupii	Thalassiosira jacksonii	Thalassiosira hyalina	Thalassionema nitzschioides	Stephanopyxis turris	Stephanopyxis spp.	Rhizosolenia styliformis	Rhizosolenia hebetata	Odontella aurita	Nitzschia sp. 1	Neodenticula kamtschatica	Melosira albicans	Grammatophora spp.	Delphineis ischaboensis	Coscinodiscus marginatus	Cocconeis scutellum	Cocconeis costata	Chaetoceros spp.	Actinoptychus senarius	Thalassiosira nidulus	Thalassiosira marujamica	Thalassiosira leptopus	Thalassiosira gravida	Thalassiosira antiqua	Rhizosolenia barboi	Paralia sulcata	Navicula sp. 1	Melosira polaris	Denticulopsis dimorpha	Delphineis surirella	Cymatosira debyi	Coscinodiscus obscurus	Calloneis bacillum	Thalassiosira manifesta	Rouxia californica	Rossiella tatsunokuchiensis	Pseudopodosira elegans	Denticulopsis hustedtii	Cocconeis pseudomarginatus	Cocconeis californica	Bacillaria paradoxa	Rhizosolenia setigera	Rhizosolenia alata	Rhaphoneis amphiceros	Nitzschia cylindrica	Coscinodiscus stellaris	Cocconeis placentula var. euglypta	Thalassiosira nordenskioeldii	Navicula directa	Lithodesmium undulatum	Coscinodiscus oculus-iridis	Thalassiosira pacifica	Thalassiosira eccentrica	Thalassionema schraderi	Hemidiscus cuneiformis	Asteromphalus darwinii	Thalassiosira temperei	Rhabdonema japonicum	Gomphonema lanceolata	Thalassiosira lineata	Pinnularia borealis	Delphineis angustata	Asteromphalus flabellatus	Actinocyclus ochotensis	Thalassiosira glacilis	Nitzschia rolandii	Actinocyclus curvatulus	Nitzschia fossilis	Cocconeis disculus	Actinocyclus ingens	Coscinodiscus elegans	Aulacoseira granulata	Thalassionema nitzschioides var. nitzschioides	Opephora martyi	Coscinodiscus marginatus (girdles)	Coscinodiscus radiatus	Neodenticula koizumii	Bacterosira fragilis	Asteromphalus robustus	Rhizosolenia curvirostris	Chaetoceros spores	Azpeitia endoi	Thalassiosira sp. 1	Nitzschia reinholdii	Thalassiothrix frauenfeldii	Synedra jouseana	Nitzschia extincta	Denticulopsis hyalina	Actinocyclus sp.	Goniothecium tenue	Actinocyclus oculatus	Actinocyclus octonarius	Thalassiosira yabei	Thalassiosira convexa	Diploneis bombus	Diploneis smithii	Trachyneis aspera	Plagiogramma staurophorum	Nitzschia granulata	Navicula pygmaea	Mediaria splendida	Cocconeis antiqua	Stephanodiscus niagarae	Porosira glacialis	Diploneis suborbicularis	Coscinodiscus symbolophorus	Cocconeis decipiens	Thalassiosira plicata	Neodenticula seminae	Denticulopsis katayamae	Cyclotella striata	Coscinodiscus subtilis	Cyclotella kutzingiana	Azpeitia nodulifer	Thalassiosira lacustris	Tetracyclus lacustris	Epithemia argus	Rhizosolenia bergonii	Thalassionema hirosakiensis	Thalassionema bacillaris	Pinnularia alphina	Achnanthes brevipes	Thalassiosira sp.	Synedra ulna	Gomphonema angustatum	Fragilaria construens	Diploneis coffeiformis	Pseudoeunotia doliolus	Nitzschia marina	Nitzschia grunowii	Amphora ovalis	Stephanodiscus astraea	Cyclotella chaetoceras	Diploneis interrupta	Rhizosolenia  semispina	Rhizosolenia imbricata	Nitzschia sicula	Diploneis oculata	Azpeitia tabularis	Actinoptychus splendens	Comment



  SR	Quaternary       	                 	NPD 12            	              	127	 795	A	  1	H	 1	  30.00	      0.3000	Koizumi  	Diatoms                                      	               	                  	5                        	                        	19                    	4                      	                       	                     	49                         	4                   	3                 	6                       	8                    	                	               	r3                       	                 	                  	                       	18                      	                   	2                	109             	6                     	                     	                        	                      	2                    	                     	                   	1              	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	2                      	                                  	                             	                	                      	2                          	2                     	4                       	                       	1                     	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	2                                             	               	                                  	                      	                     	                    	2                     	                         	                  	              	                   	                    	9                          	                	                  	                     	                	                  	                     	2                      	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	1                       	                           	                   	                     	29                  	                       	1                 	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	2                     	1               	                  	              	                      	                      	                    	2                      	1                     	1               	2                	3                 	1                      	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Quaternary       	                 	NPD 12            	              	127	 795	A	  1	H	 5	  29.00	      6.2900	Koizumi  	Diatoms                                      	               	                  	1                        	                        	14                    	3                      	                       	                     	26                         	8                   	2                 	4                       	33                   	                	               	r39                      	                 	                  	                       	5                       	4                  	1                	70              	                      	r1                   	r1                      	                      	7                    	                     	                   	3              	              	                	                      	3                   	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	2                    	                  	                     	                    	                       	                                  	                             	                	                      	                           	2                     	3                       	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	1                      	                      	                  	9                      	                  	                  	                   	                     	1                    	                                              	               	                                  	                      	r4                   	                    	                      	                         	                  	              	                   	                    	1                          	                	                  	                     	                	                  	                     	2                      	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	17                  	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	1                   	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Quaternary       	                 	NPD 12            	              	127	 795	A	  2	H	 3	  29.00	     12.5900	Koizumi  	Diatoms                                      	               	                  	3                        	                        	24                    	2                      	                       	                     	24                         	27                  	2                 	1                       	8                    	                	               	r1                       	                 	                  	                       	3                       	                   	                 	137             	                      	                     	                        	                      	2                    	r3                   	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	1                     	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	3                      	                  	                  	                   	                     	                     	                                              	               	                                  	                      	                     	                    	1                     	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	83                  	                       	                  	                      	                      	                  	                       	                     	               	1                    	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	2                 	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Quaternary       	                 	R. curvirostris   	              	127	 795	A	  3	H	 1	  29.00	     19.0900	Koizumi  	Diatoms                                      	               	                  	2                        	                        	5                     	6                      	                       	                     	10                         	43                  	6                 	1                       	2                    	                	               	r4                       	9                	                  	                       	2                       	1                  	                 	27              	                      	r1                   	r1                      	                      	2                    	r1                   	2                  	2              	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	r1                     	                          	                     	                   	                     	                  	                     	                    	1                      	                                  	                             	                	                      	1                          	                      	2                       	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	6                      	                  	                  	                   	                     	3                    	                                              	               	                                  	                      	                     	                    	                      	2                        	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	1                      	                   	                     	1               	                 	                 	                         	                   	                	                  	                 	                       	                  	1                       	                           	                   	                     	2                   	                       	                  	                      	                      	1                 	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	1                     	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281
