Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygodiscus xenotus,Watznaueria barnesae,Tranolithus phacelosus,Staurolithus sp.,Reinhardtites levis,Prediscosphaera spinosa,Prediscosphaera grandis,Prediscosphaera cretacea,Phanulithus obscurus,Micula decussata,Microrhabdulus decoratus,Lucianorhabdus cayeuxii,Kamptnerius magnificus,Gartnerago obliquum,Eiffellithus turriseiffelii,Eiffellithus gorkae,Cribrosphaerella ehrenbergii,Biscutum magnum,Biscutum dissimilis,Biscutum constans,Aspidolithus parcus constrictus,Arkhangelskiella specillata,Arkhangelskiella cymbiformis,Ahmuellerella octoradiata,Vekshinella parma,Thoracosphaera sp.,Stradneria crenulata,Rhagodiscus angustus,Reinhardtites anthophorus,Prediscosphaera stoveri,Misceomarginatus pleniporus,Chiastozygus garrisonii,Broinsonia enormis,Placozygus fibuliformis,Lucianorhabdus arcuatus,Chiastozygus sp.,Chiastozygus amphipons,Cretarhabdus conicus,Broinsonia furtiva,Biscutum castrorum,Corollithion signum,Biscutum coronum,Manivitella pemmatoidea,Repagalum parvidentatum,Glaukolithus compactus,Lithraphidites carniolensis,Prediscosphaera bukryi,Monomarginatus pectinatus,Markalius inversus,Prediscosphaera arkhangelskyi,Nephrolithus corystus,Thoracosphaera operculata,Quadrum sissinghii,Monomarginatus quaternarius,Placozygus sigmoides,Prediscosphaera honjoi,Quadrum trifidum,Biscutum notaculum,Nephrolithus frequens,Cribrosphaerella daniae,Comment
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,B,  6,R, 1,  47.00,    161.7700,Resiwati ,Nannofossils                                 ,C              ,M                 ,F                 ,                    ,                      ,                ,C                  ,F                      ,                       ,C                       ,C                   ,C               ,F                       ,C                      ,C                     ,                   ,R                          ,                   ,R                           ,F              ,R                  ,C                ,                               ,                           ,                            ,F                        ,                 ,                  ,F                   ,                    ,                         ,                       ,R                          ,R                      ,C                 ,                       ,                       ,                ,                      ,R                   ,                  ,                  ,                   ,                ,                       ,R                      ,C                     ,R                          ,                      ,                         ,                  ,F                            ,R                    ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,B,  6,R, 3,  47.00,    164.7700,Resiwati ,Nannofossils                                 ,C              ,M                 ,F                 ,C                   ,                      ,                ,F                  ,F                      ,R                      ,C                       ,C                   ,A               ,C                       ,C                      ,F                     ,R                  ,F                          ,                   ,C                           ,F              ,F                  ,C                ,                               ,F                          ,R                           ,F                        ,                 ,                  ,                    ,                    ,                         ,                       ,C                          ,R                      ,R                 ,                       ,                       ,                ,                      ,R                   ,R                 ,                  ,                   ,                ,                       ,                       ,C                     ,R                          ,                      ,                         ,                  ,R                            ,C                    ,                         ,                  ,R                          ,                    ,                      ,                ,                  ,R                    ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,B,  6,R,CC,  13.00,    165.8200,Resiwati ,Nannofossils                                 ,A              ,P/M               ,R                 ,F                   ,                      ,                ,C                  ,                       ,                       ,                        ,C                   ,A               ,                        ,A                      ,F                     ,                   ,F                          ,                   ,F                           ,C              ,R                  ,                 ,                               ,F                          ,C                           ,                         ,                 ,                  ,R                   ,                    ,                         ,                       ,C                          ,                       ,C                 ,                       ,                       ,                ,                      ,F                   ,C                 ,                  ,                   ,                ,                       ,                       ,C                     ,F                          ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,B,  7,R, 1,  46.00,    171.4600,Resiwati ,Nannofossils                                 ,C              ,M                 ,F                 ,                    ,                      ,                ,C                  ,R                      ,                       ,R                       ,C                   ,C               ,                        ,C                      ,C                     ,R                  ,F                          ,R                  ,R                           ,C              ,C                  ,                 ,                               ,R                          ,R                           ,F                        ,                 ,                  ,R                   ,                    ,                         ,R                      ,                           ,F                      ,C                 ,R                      ,                       ,                ,                      ,R                   ,R                 ,                  ,                   ,                ,                       ,                       ,C                     ,R                          ,                      ,R                        ,R                 ,                             ,R                    ,                         ,                  ,                           ,                    ,                      ,                ,                  ,R                    ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,B,  7,R, 3,  46.00,    174.4600,Resiwati ,Nannofossils                                 ,C              ,M                 ,                  ,                    ,                      ,                ,C                  ,                       ,                       ,F                       ,C                   ,C               ,                        ,C                      ,F                     ,C                  ,R                          ,                   ,                            ,C              ,F                  ,                 ,                               ,R                          ,R                           ,C                        ,                 ,R                 ,R                   ,                    ,                         ,                       ,C                          ,R                      ,C                 ,R                      ,                       ,                ,                      ,R                   ,                  ,                  ,                   ,                ,                       ,R                      ,                      ,                           ,                      ,                         ,                  ,                             ,R                    ,                         ,                  ,                           ,                    ,                      ,                ,                  ,F                    ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,B,  7,R, 5,  46.00,    177.4600,Resiwati ,Nannofossils                                 ,C              ,P/M               ,F                 ,A                   ,                      ,                ,C                  ,R                      ,                       ,R                       ,C                   ,A               ,R                       ,C                      ,C                     ,                   ,R                          ,                   ,C                           ,R              ,R                  ,C                ,                               ,R                          ,R                           ,C                        ,                 ,                  ,                    ,R                   ,                         ,F                      ,C                          ,R                      ,R                 ,R                      ,                       ,                ,                      ,R                   ,                  ,                  ,                   ,                ,                       ,R                      ,                      ,                           ,                      ,R                        ,R                 ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,C                    ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,B,  7,R,CC,   0.00,    179.7500,Resiwati ,Nannofossils                                 ,C              ,P/M               ,                  ,C                   ,                      ,                ,C                  ,R                      ,                       ,                        ,R                   ,A               ,                        ,A                      ,F                     ,C                  ,R                          ,                   ,C                           ,F              ,                   ,C                ,                               ,R                          ,F                           ,C                        ,                 ,                  ,R                   ,                    ,R                        ,F                      ,F                          ,R                      ,R                 ,F                      ,                       ,                ,                      ,R                   ,                  ,                  ,                   ,                ,                       ,                       ,                      ,R                          ,                      ,R                        ,                  ,                             ,R                    ,                         ,                  ,R                          ,                    ,                      ,                ,?                 ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,B,  8,R, 1, 113.00,    181.7300,Resiwati ,Nannofossils                                 ,C              ,M                 ,                  ,F                   ,                      ,                ,A                  ,                       ,                       ,                        ,C                   ,A               ,                        ,A                      ,?                     ,R                  ,                           ,                   ,R                           ,F              ,                   ,F                ,                               ,C                          ,                            ,C                        ,                 ,F                 ,R                   ,                    ,                         ,                       ,F                          ,R                      ,R                 ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,                       ,                      ,                           ,?                     ,R                        ,                  ,                             ,R                    ,                         ,                  ,                           ,                    ,                      ,                ,R                 ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,B,  8,R,CC,  22.00,    182.9300,Resiwati ,Nannofossils                                 ,C              ,M                 ,                  ,                    ,                      ,                ,C                  ,                       ,                       ,R                       ,C                   ,A               ,                        ,C                      ,                      ,F                  ,R                          ,                   ,R                           ,R              ,                   ,R                ,                               ,R                          ,                            ,F                        ,                 ,R                 ,                    ,                    ,R                        ,                       ,F                          ,                       ,F                 ,                       ,                       ,                ,                      ,R                   ,R                 ,                  ,                   ,                ,                       ,                       ,                      ,R                          ,                      ,                         ,                  ,                             ,R                    ,                         ,                  ,                           ,                    ,                      ,?               ,R                 ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,B,  9,R, 1, 133.00,    191.6300,Resiwati ,Nannofossils                                 ,F              ,P/M               ,                  ,R                   ,                      ,                ,C                  ,F                      ,                       ,                        ,R                   ,A               ,C                       ,A                      ,                      ,R                  ,R                          ,                   ,R                           ,R              ,                   ,C                ,                               ,R                          ,                            ,F                        ,                 ,R                 ,                    ,                    ,                         ,                       ,R                          ,                       ,R                 ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,                       ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,B,  9,R, 3,  94.00,    194.2400,Resiwati ,Nannofossils                                 ,F              ,M                 ,                  ,                    ,                      ,                ,C                  ,                       ,                       ,                        ,                    ,A               ,                        ,A                      ,                      ,F                  ,R                          ,                   ,                            ,R              ,                   ,                 ,                               ,                           ,                            ,F                        ,R                ,                  ,                    ,                    ,                         ,                       ,                           ,                       ,R                 ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,                       ,R                     ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,B,  9,R, 5, 118.00,    197.4800,Resiwati ,Nannofossils                                 ,C              ,M                 ,R                 ,C                   ,                      ,                ,C                  ,R                      ,                       ,R                       ,R                   ,A               ,F                       ,A                      ,R                     ,F                  ,R                          ,                   ,F                           ,R              ,                   ,                 ,                               ,R                          ,R                           ,C                        ,                 ,R                 ,                    ,                    ,R                        ,                       ,                           ,R                      ,F                 ,R                      ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,R                      ,A                     ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
