Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygodiscus xenotus,Watznaueria barnesae,Tranolithus phacelosus,Staurolithus sp.,Reinhardtites levis,Prediscosphaera spinosa,Prediscosphaera grandis,Prediscosphaera cretacea,Phanulithus obscurus,Micula decussata,Microrhabdulus decoratus,Lucianorhabdus cayeuxii,Kamptnerius magnificus,Gartnerago obliquum,Eiffellithus turriseiffelii,Eiffellithus gorkae,Cribrosphaerella ehrenbergii,Biscutum magnum,Biscutum dissimilis,Biscutum constans,Aspidolithus parcus constrictus,Arkhangelskiella specillata,Arkhangelskiella cymbiformis,Ahmuellerella octoradiata,Vekshinella parma,Thoracosphaera sp.,Stradneria crenulata,Rhagodiscus angustus,Reinhardtites anthophorus,Prediscosphaera stoveri,Misceomarginatus pleniporus,Chiastozygus garrisonii,Broinsonia enormis,Placozygus fibuliformis,Lucianorhabdus arcuatus,Chiastozygus sp.,Chiastozygus amphipons,Cretarhabdus conicus,Broinsonia furtiva,Biscutum castrorum,Corollithion signum,Biscutum coronum,Manivitella pemmatoidea,Repagalum parvidentatum,Glaukolithus compactus,Lithraphidites carniolensis,Prediscosphaera bukryi,Monomarginatus pectinatus,Markalius inversus,Prediscosphaera arkhangelskyi,Nephrolithus corystus,Thoracosphaera operculata,Quadrum sissinghii,Monomarginatus quaternarius,Placozygus sigmoides,Prediscosphaera honjoi,Quadrum trifidum,Biscutum notaculum,Nephrolithus frequens,Cribrosphaerella daniae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 11,R,CC,  18.00,    213.0100,Resiwati ,Nannofossils                                 ,C              ,P/M               ,                  ,A                   ,R                     ,                ,R                  ,                       ,?                      ,R                       ,R                   ,A               ,                        ,A                      ,F                     ,                   ,C                          ,                   ,F                           ,F              ,                   ,R                ,                               ,F                          ,                            ,C                        ,F                ,R                 ,C                   ,                    ,                         ,                       ,F                          ,F                      ,F                 ,                       ,                       ,                ,                      ,R                   ,                  ,                  ,                   ,F               ,                       ,                       ,C                     ,R                          ,                      ,R                        ,                  ,R                            ,                     ,R                        ,R                 ,R                          ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 12,R, 1,  42.00,    219.6200,Resiwati ,Nannofossils                                 ,C              ,M                 ,                  ,                    ,F                     ,                ,C                  ,                       ,                       ,F                       ,                    ,R               ,C                       ,C                      ,                      ,R                  ,C                          ,                   ,R                           ,F              ,                   ,                 ,                               ,R                          ,                            ,C                        ,                 ,R                 ,C                   ,                    ,                         ,                       ,                           ,                       ,C                 ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,                       ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 12,R,CC,  12.00,    221.1400,Resiwati ,Nannofossils                                 ,C              ,P/M               ,                  ,                    ,R                     ,                ,C                  ,                       ,                       ,R                       ,C                   ,C               ,                        ,C                      ,C                     ,                   ,C                          ,                   ,R                           ,               ,                   ,F                ,                               ,R                          ,                            ,R                        ,                 ,R                 ,                    ,                    ,R                        ,                       ,R                          ,                       ,R                 ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,                       ,                      ,R                          ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 13,R, 1,  37.00,    229.2700,Resiwati ,Nannofossils                                 ,C              ,M                 ,R                 ,C                   ,                      ,C               ,C                  ,F                      ,                       ,                        ,C                   ,C               ,                        ,C                      ,F                     ,F                  ,C                          ,                   ,C                           ,C              ,                   ,F                ,                               ,                           ,F                           ,F                        ,                 ,                  ,F                   ,                    ,                         ,R                      ,R                          ,                       ,F                 ,                       ,                       ,R               ,                      ,R                   ,                  ,                  ,                   ,F               ,                       ,R                      ,                      ,R                          ,                      ,                         ,                  ,R                            ,R                    ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 13,R, 3,  41.00,    231.2700,Resiwati ,Nannofossils                                 ,C              ,M                 ,F                 ,C                   ,R                     ,R               ,C                  ,R                      ,?                      ,F                       ,R                   ,C               ,C                       ,C                      ,F                     ,F                  ,F                          ,F                  ,C                           ,R              ,                   ,R                ,                               ,F                          ,                            ,C                        ,                 ,                  ,R                   ,                    ,R                        ,F                      ,R                          ,F                      ,R                 ,C                      ,                       ,R               ,                      ,F                   ,                  ,                  ,                   ,R               ,                       ,C                      ,                      ,R                          ,R                     ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 13,R, 5,  47.00,    234.3300,Resiwati ,Nannofossils                                 ,F              ,P/M               ,R                 ,                    ,                      ,                ,C                  ,R                      ,A                      ,                        ,F                   ,C               ,F                       ,C                      ,                      ,F                  ,F                          ,F                  ,R                           ,R              ,R                  ,                 ,                               ,                           ,F                           ,R                        ,                 ,                  ,                    ,                    ,                         ,                       ,R                          ,F                      ,F                 ,                       ,                       ,                ,                      ,R                   ,                  ,                  ,                   ,R               ,R                      ,                       ,C                     ,F                          ,                      ,                         ,                  ,R                            ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 13,R,CC,  15.00,    237.0100,Resiwati ,Nannofossils                                 ,C              ,P/M               ,F                 ,A                   ,?                     ,R               ,C                  ,F                      ,                       ,F                       ,F                   ,A               ,C                       ,C                      ,C                     ,C                  ,C                          ,F                  ,?                           ,C              ,R                  ,F                ,                               ,R                          ,R                           ,C                        ,R                ,                  ,F                   ,                    ,                         ,F                      ,R                          ,R                      ,                  ,C                      ,                       ,R               ,                      ,R                   ,                  ,                  ,                   ,F               ,                       ,R                      ,C                     ,C                          ,R                     ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 14,R, 1,  53.00,    239.0300,Resiwati ,Nannofossils                                 ,F              ,P/M               ,                  ,                    ,                      ,R               ,C                  ,R                      ,                       ,R                       ,                    ,C               ,C                       ,C                      ,F                     ,                   ,F                          ,                   ,R                           ,F              ,                   ,R                ,                               ,                           ,                            ,R                        ,                 ,                  ,R                   ,                    ,F                        ,                       ,                           ,                       ,                  ,R                      ,                       ,                ,                      ,                    ,R                 ,                  ,                   ,R               ,                       ,                       ,C                     ,F                          ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 14,R, 3,  53.00,    241.9300,Resiwati ,Nannofossils                                 ,C              ,P/M               ,                  ,C                   ,                      ,                ,F                  ,                       ,?                      ,F                       ,                    ,A               ,F                       ,C                      ,F                     ,                   ,                           ,                   ,F                           ,               ,                   ,R                ,                               ,?                          ,                            ,R                        ,F                ,                  ,?                   ,                    ,F                        ,F                      ,                           ,                       ,C                 ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,F               ,                       ,                       ,                      ,R                          ,F                     ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 14,R, 5,  16.00,    244.5600,Resiwati ,Nannofossils                                 ,R              ,P/M               ,                  ,C                   ,R                     ,C               ,F                  ,F                      ,                       ,R                       ,                    ,C               ,R                       ,C                      ,                      ,R                  ,F                          ,                   ,                            ,F              ,                   ,F                ,                               ,                           ,                            ,                         ,F                ,R                 ,                    ,                    ,R                        ,                       ,                           ,R                      ,                  ,R                      ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,F                      ,F                     ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 14,R, 6,  23.00,    246.1300,Resiwati ,Nannofossils                                 ,F              ,P/M               ,                  ,C                   ,                      ,F               ,F                  ,                       ,                       ,                        ,                    ,A               ,R                       ,F                      ,F                     ,R                  ,R                          ,                   ,R                           ,R              ,                   ,R                ,                               ,                           ,                            ,                         ,C                ,                  ,                    ,                    ,F                        ,R                      ,R                          ,                       ,F                 ,R                      ,                       ,                ,                      ,                    ,                  ,                  ,                   ,R               ,                       ,C                      ,F                     ,R                          ,F                     ,R                        ,R                 ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 14,R,CC,  16.00,    248.4400,Resiwati ,Nannofossils                                 ,C              ,P/M               ,                  ,C                   ,F                     ,                ,R                  ,                       ,                       ,C                       ,R                   ,F               ,                        ,F                      ,                      ,R                  ,F                          ,R                  ,                            ,               ,                   ,F                ,                               ,                           ,R                           ,R                        ,                 ,                  ,R                   ,                    ,R                        ,?                      ,                           ,R                      ,?                 ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,F               ,                       ,C                      ,C                     ,                           ,F                     ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 15,R, 1, 117.00,    249.3700,Resiwati ,Nannofossils                                 ,F              ,P/M               ,R                 ,C                   ,                      ,R               ,R                  ,R                      ,                       ,R                       ,                    ,C               ,F                       ,C                      ,C                     ,R                  ,                           ,R                  ,                            ,               ,                   ,C                ,                               ,                           ,                            ,F                        ,F                ,                  ,                    ,                    ,R                        ,R                      ,F                          ,                       ,R                 ,R                      ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,C                      ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 15,R, 2,  64.00,    250.3400,Resiwati ,Nannofossils                                 ,R              ,P/M               ,                  ,C                   ,                      ,                ,F                  ,                       ,                       ,R                       ,                    ,A               ,R                       ,C                      ,R                     ,R                  ,                           ,                   ,                            ,               ,                   ,R                ,                               ,                           ,                            ,C                        ,R                ,                  ,                    ,                    ,R                        ,                       ,                           ,                       ,                  ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,C                      ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 15,R, 3,  53.00,    251.7300,Resiwati ,Nannofossils                                 ,F              ,P/M               ,                  ,                    ,                      ,                ,R                  ,R                      ,                       ,R                       ,                    ,C               ,                        ,C                      ,R                     ,                   ,                           ,                   ,                            ,               ,                   ,R                ,                               ,?                          ,                            ,                         ,                 ,                  ,                    ,                    ,                         ,                       ,                           ,R                      ,R                 ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,                       ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 15,R, 5,  48.00,    254.6800,Resiwati ,Nannofossils                                 ,F              ,P/M               ,                  ,C                   ,                      ,                ,                   ,                       ,                       ,                        ,                    ,C               ,                        ,R                      ,?                     ,                   ,                           ,                   ,                            ,R              ,                   ,                 ,                               ,                           ,                            ,                         ,                 ,R                 ,                    ,                    ,F                        ,                       ,                           ,                       ,                  ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,R               ,                       ,                       ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 15,R,CC,   0.00,    257.3000,Resiwati ,Nannofossils                                 ,F              ,P/M               ,                  ,C                   ,R                     ,                ,F                  ,                       ,                       ,                        ,                    ,C               ,R                       ,F                      ,R                     ,                   ,R                          ,                   ,R                           ,               ,                   ,                 ,                               ,?                          ,R                           ,R                        ,R                ,R                 ,                    ,                    ,F                        ,                       ,                           ,                       ,                  ,                       ,                       ,                ,                      ,                    ,R                 ,                  ,                   ,                ,                       ,                       ,                      ,F                          ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 16,R, 1,  29.00,    258.1900,Resiwati ,Nannofossils                                 ,C              ,P/M               ,                  ,                    ,                      ,                ,?                  ,                       ,                       ,                        ,                    ,A               ,R                       ,F                      ,                      ,                   ,                           ,                   ,                            ,               ,                   ,                 ,                               ,                           ,                            ,                         ,R                ,                  ,                    ,                    ,                         ,                       ,                           ,                       ,                  ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,                       ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 16,R, 2, 122.00,    260.6200,Resiwati ,Nannofossils                                 ,C              ,P/M               ,                  ,                    ,                      ,                ,                   ,                       ,                       ,                        ,                    ,A               ,                        ,R                      ,F                     ,                   ,                           ,                   ,                            ,               ,                   ,                 ,                               ,                           ,                            ,                         ,                 ,                  ,                    ,                    ,                         ,                       ,                           ,                       ,                  ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,                       ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 16,R, 3,   9.00,    260.9900,Resiwati ,Nannofossils                                 ,F              ,P/M               ,                  ,F                   ,                      ,                ,C                  ,                       ,                       ,                        ,                    ,C               ,                        ,                       ,F                     ,                   ,R                          ,                   ,                            ,               ,                   ,                 ,                               ,                           ,                            ,                         ,R                ,R                 ,                    ,                    ,R                        ,                       ,                           ,                       ,                  ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,                       ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 16,R,CC,  14.00,    262.6800,Resiwati ,Nannofossils                                 ,A              ,P/M               ,                  ,F                   ,                      ,                ,A                  ,                       ,                       ,                        ,                    ,A               ,R                       ,F                      ,C                     ,C                  ,F                          ,                   ,                            ,               ,                   ,                 ,                               ,F                          ,                            ,                         ,                 ,                  ,                    ,                    ,                         ,                       ,                           ,                       ,                  ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,                       ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 17,R, 1,  84.00,    268.4400,Resiwati ,Nannofossils                                 ,F              ,P/M               ,                  ,C                   ,R                     ,C               ,C                  ,C                      ,                       ,C                       ,                    ,                ,C                       ,C                      ,F                     ,F                  ,F                          ,R                  ,R                           ,C              ,                   ,                 ,                               ,F                          ,                            ,F                        ,                 ,R                 ,R                   ,C                   ,C                        ,                       ,                           ,F                      ,R                 ,                       ,                       ,                ,                      ,F                   ,                  ,                  ,                   ,R               ,                       ,C                      ,R                     ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 17,R, 2,  84.00,    269.9400,Resiwati ,Nannofossils                                 ,F              ,P/M               ,                  ,R                   ,                      ,                ,R                  ,R                      ,R                      ,R                       ,                    ,C               ,                        ,                       ,R                     ,                   ,R                          ,                   ,                            ,               ,                   ,R                ,                               ,R                          ,                            ,R                        ,                 ,                  ,R                   ,                    ,R                        ,                       ,                           ,                       ,                  ,                       ,                       ,                ,                      ,R                   ,                  ,                  ,                   ,                ,                       ,                       ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 17,R,CC,  13.00,    270.7300,Resiwati ,Nannofossils                                 ,R              ,P/M               ,                  ,F                   ,                      ,                ,R                  ,                       ,                       ,R                       ,                    ,F               ,                        ,F                      ,R                     ,R                  ,                           ,                   ,                            ,R              ,                   ,                 ,                               ,                           ,F                           ,                         ,                 ,R                 ,                    ,                    ,                         ,                       ,                           ,                       ,                  ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,                       ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 18,R,CC,  14.00,    279.3800,Resiwati ,Nannofossils                                 ,R              ,P                 ,                  ,                    ,                      ,                ,R                  ,                       ,                       ,                        ,                    ,C               ,                        ,F                      ,                      ,                   ,                           ,                   ,                            ,               ,R                  ,                 ,                               ,                           ,R                           ,                         ,                 ,                  ,                    ,                    ,R                        ,                       ,                           ,                       ,                  ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,                       ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 19,R, 1,  81.00,    287.8100,Resiwati ,Nannofossils                                 ,R              ,P                 ,                  ,                    ,                      ,                ,R                  ,                       ,                       ,                        ,                    ,C               ,                        ,R                      ,                      ,                   ,                           ,                   ,                            ,               ,F                  ,                 ,                               ,                           ,                            ,                         ,                 ,                  ,                    ,                    ,                         ,                       ,                           ,                       ,                  ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,                       ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 20,R, 1,  74.00,    297.4400,Resiwati ,Nannofossils                                 ,R              ,P/M               ,                  ,C                   ,R                     ,                ,F                  ,R                      ,                       ,                        ,                    ,                ,                        ,R                      ,F                     ,R                  ,                           ,                   ,                            ,               ,                   ,R                ,                               ,                           ,                            ,R                        ,R                ,                  ,                    ,                    ,R                        ,                       ,R                          ,                       ,                  ,                       ,                       ,                ,                      ,R                   ,                  ,                  ,                   ,                ,A                      ,                       ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 20,R, 2,  52.00,    298.2100,Resiwati ,Nannofossils                                 ,R              ,P/M               ,                  ,F                   ,F                     ,R               ,                   ,                       ,                       ,R                       ,                    ,                ,                        ,                       ,R                     ,                   ,                           ,                   ,                            ,               ,                   ,                 ,                               ,                           ,                            ,R                        ,                 ,                  ,                    ,R                   ,R                        ,                       ,                           ,                       ,                  ,R                      ,                       ,                ,                      ,                    ,                  ,                  ,                   ,                ,                       ,                       ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 20,R,CC,   0.00,    298.3300,Resiwati ,Nannofossils                                 ,F              ,P/M               ,                  ,C                   ,F                     ,R               ,F                  ,                       ,                       ,F                       ,                    ,C               ,                        ,                       ,F                     ,F                  ,                           ,                   ,                            ,R              ,                   ,                 ,                               ,                           ,?                           ,R                        ,                 ,R                 ,                    ,                    ,F                        ,                       ,                           ,                       ,R                 ,                       ,                       ,                ,                      ,                    ,                  ,                  ,                   ,R               ,                       ,                       ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC23              ,              ,121, 754,B, 21,R, 1,  29.00,    306.5900,Resiwati ,Nannofossils                                 ,R              ,P/M               ,                  ,F                   ,R                     ,                ,                   ,                       ,                       ,                        ,                    ,C               ,                        ,                       ,F                     ,                   ,R                          ,                   ,                            ,               ,                   ,                 ,                               ,R                          ,                            ,                         ,                 ,R                 ,                    ,                    ,R                        ,                       ,                           ,                       ,                  ,                       ,                       ,                ,                      ,                    ,                  ,                  ,?                  ,                ,                       ,                       ,                      ,                           ,                      ,                         ,                  ,                             ,                     ,                         ,                  ,                           ,                    ,                      ,                ,                  ,                     ,                       ,from ODP Leg 121 SR Chapter 5 Table 3 p 150-153
