Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globorotalia siakensis	Globorotalia obesa	Globorotalia mayeri	Globorotalia fohsi peripheroronda	Globorotalia acrostoma	Globoquadrina venezuelana	Globoquadrina spp.	Globoquadrina dehiscens dehiscens	Globoquadrina altispira conica	Globigerinita naparimaensis	Globigerina praebulloides	Catapsydrax unicavus	Catapsydrax dissimilis	Globorotalia continuosa	Globoquadrina baroemoenensis	Globoquadrina altispira globosa	Globoquadrina altispira altispira	Globigerinoides trilobus/immaturus	Globigerinoides subquadratus	Globigerinoides sacculifer	Globigerina woodi woodi	Catapsydrax stainforthi	Globorotalia scitula	Globorotalia miozea	Cassigerinella chipolensis	Globorotalia praemenardii	Globorotalia conoidea	Globorotalia archeomenardii	Globigerinoides spp.	Globigerinoides ruber (white)	Globigerina venezuelana	Sphaeroidinellopsis seminulina	Orbulina suturalis	Orbulina bilobata	Globorotalia menardii	Sphaeroidinellopsis disjuncta	Globorotalia spp.	Globigerina nepenthes	Neogloboquadrina acostaensis	Globigerina bulloides	Orbulina universa	Globorotalia merotumida	Neogloboquadrina pachyderma	Sphaeroidinellopsis paenedehiscens	Neogloboquadrina humerosa	Neogloboquadrina dutertrei	Morozovella spinulosa	Morozovella aragonensis	Marginotruncana spp.	Hastigerina siphonifera	Globorotalia plesiotumida	Globorotalia opima opima	Globigerinoides obliquus obliquus	Globigerina eocaena	Globigerina decoraperta	Acarinina bullbrooki	Globorotalia margaritae margaritae	Globorotalia crassaformis ronda	Globorotalia crassaformis crassaformis	Globigerinoides elongatus/obliquus extremus	Globotruncana spp.	Globorotalia puncticulata	Globorotalia crassaformis	Globorotalia cf. Gr. hirsuta	Globorotalia bononiensis	Globoquadrina altispira	Globigerina apertura	Beella praedigitata	Globorotalia triangula	Globigerinelloides spp.	Neogloboquadrina atlantica	Hastigerina aequilateralis	Candeina nitida	Truncorotaloides topilensis	Globorotaloides spp.	Globorotalia pseudomiocenica	Globigerina megastoma cariacoensis	Globigerina falconensis	Globorotalia inflata	Globigerinoides conglobatus	Comment



  SR	Late Pliocene    	                 	N20               	N21           	149	 899	A	  1	R	CC	   7.00	     86.2200	Gervais  	Planktonic Foraminifers                      	A              	G                 	                      	                  	                   	                                 	                      	                         	                  	                                 	                              	                           	                         	                    	                      	                       	                            	                               	                                 	                                  	                            	                          	                       	                       	R                   	                   	                          	                         	                     	                           	                    	F                            	                       	                              	                  	                 	                     	                             	                 	                     	R                           	                     	C                	                       	F                          	                                  	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	R                                     	F                                          	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	C                   	R                          	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Pliocene         	                 	                  	              	149	 899	A	  2	R	CC	   7.00	     93.9100	Gervais  	Planktonic Foraminifers                      	R              	M                 	                      	                  	                   	                                 	                      	                         	                  	                                 	                              	                           	                         	                    	                      	                       	                            	                               	                                 	                                  	                            	                          	                       	                       	                    	                   	                          	                         	                     	                           	                    	                             	                       	                              	                  	                 	                     	                             	                 	                     	R                           	                     	                 	                       	R                          	                                  	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	                                      	                                           	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	Zonal assignment uncertain. from 149 SR. Chapter 6. Table 7. page 176.

  SR	Early Pliocene   	Late Pliocene    	N19               	N20           	149	 899	A	  3	R	 3	 113.00	    104.9300	Gervais  	Planktonic Foraminifers                      	A              	M                 	r                     	R                 	r                  	                                 	                      	R                        	                  	                                 	                              	R                          	                         	                    	                      	                       	                            	                               	R                                	R                                 	                            	                          	                       	                       	F                   	                   	                          	                         	                     	                           	                    	F                            	                       	                              	F                 	R                	                     	                             	                 	                     	R                           	C                    	F                	                       	C                          	                                  	                         	R                         	r                    	                       	r                   	R                      	                         	                        	                                 	r                  	R                      	                    	                                  	                               	F                                     	                                           	                  	F                        	R                        	                            	                        	                       	                    	R                  	                      	r                      	R                         	                          	               	r                          	R                   	R                           	R                                 	R                      	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.

  SR	Early Pliocene   	Late Pliocene    	N19               	N20           	149	 899	A	  3	R	CC	  15.00	    105.4500	Gervais  	Planktonic Foraminifers                      	C              	M                 	                      	                  	                   	                                 	                      	                         	                  	                                 	                              	                           	                         	                    	                      	                       	                            	                               	                                 	                                  	                            	                          	                       	                       	                    	                   	                          	                         	                     	                           	                    	                             	                       	                              	                  	                 	                     	                             	                 	                     	R                           	                     	R                	                       	C                          	                                  	                         	                          	                     	                       	                    	                       	                         	                        	                                 	                   	                       	                    	                                  	                               	                                      	                                           	                  	                         	                         	                            	                        	                       	                    	                   	                      	                       	                          	                          	               	                           	                    	                            	                                  	                       	                    	                           	from 149 SR. Chapter 6. Table 7. page 176.
