Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus spp.	Reticulofenestra pseudoumbilica	Reticulofenestra minutula	Reticulofenestra minuta	Reticulofenestra gelida	Discoaster pentaradiatus	Discoaster brouweri	Dictyococcites productus	Dictyococcites perplexus	Coccolithus pelagicus	Calcidiscus leptoporus	Amaurolithus delicatus	Discoaster triradiatus	Discoaster surculus	Calcidiscus macintyrei	Amaurolithus tricorniculatus	Helicosphaera carteri	Geminilithella rotula	Discoaster variabilis	Discoaster intercalaris	Discoaster challengeri	Pseudoemiliania lacunosa	Helicosphaera sellii	Discoaster tamalis	Discoaster asymmetricus	Gephyrocapsa sp.	Gephyrocapsa spp. (<3 microns)	Reticulofenestra doronicoides	Oolithotus fragilis	Thoracosphaera sp.	Ceratolithus cristatus	Pontosphaera discopora	Helicosphaera acuta	Rhabdosphaera clavigera	Pontosphaera japonica	Helicosphaera wallichii	Syracosphaera pulchra	Pontosphaera anisotrema	Gephyrocapsa caribbeanica	Comment



  SR	Late Pliocene    	                 	NN19a             	              	149	 899	A	  1	R	 1	  23.00	     81.7300	Liu      	Nannofossils                                 	V              	G                 	                 	                               	A                        	A                      	R                      	                        	                   	C                       	                        	C                    	C                     	                      	                      	                   	C                     	                            	F                    	                     	                     	                       	                      	A                       	F                   	                  	r                      	                	F                             	A                            	                   	R                 	                      	                      	F                  	                       	                     	                       	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Late Pliocene    	                 	NN19a             	              	149	 899	A	  1	R	 2	  19.00	     83.1900	Liu      	Nannofossils                                 	V              	G                 	                 	                               	C                        	C                      	                       	                        	                   	A                       	                        	C                    	F                     	                      	                      	                   	C                     	                            	F                    	                     	                     	                       	                      	A                       	F                   	                  	                       	                	R                             	A                            	                   	                  	                      	R                     	F                  	                       	R                    	R                      	                     	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Late Pliocene    	                 	NN18              	              	149	 899	A	  1	R	 3	 135.00	     85.8500	Liu      	Nannofossils                                 	A              	G                 	                 	                               	C                        	A                      	R                      	                        	R                  	A                       	                        	C                    	F                     	                      	F                     	                   	C                     	                            	F                    	                     	                     	                       	                      	A                       	C                   	                  	                       	                	R                             	A                            	                   	                  	                      	                      	C                  	                       	F                    	R                      	                     	                       	R                        	from 149 SR. Chapter 5. Table 7. page 156.

  SR	Late Pliocene    	                 	NN18              	              	149	 899	A	  1	R	CC	   7.00	     86.2200	Liu      	Nannofossils                                 	A              	G                 	                 	r                              	C                        	C                      	                       	                        	R                  	F                       	                        	F                    	C                     	                      	F                     	                   	C                     	                            	                     	R                    	                     	                       	                      	C                       	C                   	                  	                       	                	                              	C                            	                   	                  	                      	                      	C                  	                       	F                    	                       	F                    	                       	                         	from 149 SR. Chapter 5. Table 7. page 156.

