Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys peregrina,Phormostichoartus doliolum,Lychnodictyum audax,Didymocyrtis penultima,Theocorythium vetulum,Theocalyptra davisiana,Stylatractus universus,Spongaster tetras,Pterocanium prismatium,Lamprocyrtis neoheteroporos,Lamprocyrtis heteroporos,Anthocyrtidium jenghisi,Amphirhopalum ypsilon,Anthocyrtidium angulare,Theocorythium trachelium trachelium,Pterocorys minythorax,Lamprocyrtis nigriniae,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 846,C,  4,H,CC,  22.00,     41.0600,Moore    ,Radiolarians                                 ,A              ,M                 ,                     ,                          ,                   ,                      ,-                    ,R                     ,R                     ,R                ,                      ,R                          ,                        ,                       ,R                    ,R                      ,-                                  ,R                    ,R                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 846,C,  5,H,CC,  22.00,     50.5700,Moore    ,Radiolarians                                 ,A              ,M                 ,                     ,                          ,                   ,                      ,F                    ,R                     ,R                     ,R                ,                      ,R                          ,                        ,                       ,R                    ,R                      ,R                                  ,-                    ,-                     ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 846,C,  6,H,CC,  19.00,     58.6100,Moore    ,Radiolarians                                 ,A              ,M                 ,                     ,                          ,                   ,                      ,F                    ,R                     ,R                     ,R                ,R                     ,R                          ,-                       ,                       ,R                    ,-                      ,                                   ,                     ,                      ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 846,C,  7,H,CC,  27.00,     69.6500,Moore    ,Radiolarians                                 ,C/A            ,P                 ,                     ,                          ,                   ,                      ,F                    ,R                     ,R                     ,R                ,R                     ,R                          ,-                       ,                       ,R                    ,                       ,                                   ,                     ,                      ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 846,C, 10,H,CC,  23.00,     97.9500,Moore    ,Radiolarians                                 ,A              ,M                 ,R                    ,                          ,                   ,                      ,F                    ,-                     ,R                     ,R                ,R                     ,-                          ,-                       ,R                      ,-                    ,                       ,                                   ,                     ,                      ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,S peregrina(RN9)M95,              ,138, 846,C, 15,H,CC,  18.00,    145.1900,Moore    ,Radiolarians                                 ,A              ,M                 ,C                    ,-                         ,R                  ,R                     ,                     ,                      ,                      ,                 ,                      ,                           ,                        ,                       ,                     ,                       ,                                   ,                     ,                      ,from ODP Leg 138 Chapter 11 Fig 3 pp 200-202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
