Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Subbotina linaperta,Subbotina angiporoides,Globigerinatheka index,Chiloguembelina cubensis,Globigerina euapertura,Catapsydrax unicavus,Catapsydrax dissimilis,Globorotaloides suteri,Globoconella nana,Zeaglobigerina brazieri,Globorotalia zealandica,Globorotalia praescitula,Globorotalia incognita,Globoconella miozea,Globorotalia miozea,Neogloboquadrina pachyderma,Globorotalia scitula,Neogloboquadrina pachyderma (sinistral),Globigerina bulloides,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Pleistocene      ,                  ,NK7           ,183,1137,A,  1,R,CC,   0.00,      9.5200,Coxall   ,Planktonic Foraminifers                      ,A              ,VG                ,                   ,                      ,                      ,                        ,                      ,                    ,                      ,                      ,                 ,                       ,                       ,                        ,                      ,                   ,                   ,                           ,                    ,A                                      ,A                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Middle Miocene   ,AN6               ,NK5           ,183,1137,A,  2,R,CC,   5.00,     14.3600,Coxall   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                      ,                        ,                      ,                    ,                      ,                      ,                 ,                       ,                       ,                        ,                      ,                   ,                   ,-                          ,+                   ,                                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Late Miocene     ,                  ,NK5           ,183,1137,A,  3,R,CC,   0.00,     28.2300,Coxall   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                      ,                        ,                      ,                    ,                      ,                      ,                 ,                       ,                       ,                        ,                      ,                   ,-                  ,                           ,                    ,                                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Middle Miocene   ,                  ,NK4           ,183,1137,A,  5,R,CC,   0.00,     46.4600,Coxall   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                      ,                        ,                      ,                    ,                      ,                      ,                 ,                       ,                       ,                        ,                      ,                   ,+                  ,                           ,                    ,                                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Miocene    ,                  ,NK3           ,183,1137,A,  7,R,CC,  14.00,     61.3400,Coxall   ,Planktonic Foraminifers                      ,A              ,G                 ,                   ,                      ,                      ,                        ,                      ,                    ,                      ,                      ,                 ,                       ,                       ,+                       ,                      ,-                  ,                   ,                           ,                    ,                                       ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
