Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group,Group Abundance,Group Preservation,Patellina corrugata,Nonionellina flemingi,Nonionella sp.,Lenticulina spp.,Globocassidulina spp.,Evolvocassidulina orientalis,Epistominella exigua,Discorbinella bertheloti,Cassidulina spp.,Bulimina exilis,Bolivina spp.,Astrononion novozealandicum,Plectofrondicularia advena,Oridorsalis umbonatus,Notorotalia spp.,Lenticulina calcar,Buliminella elegantissima,Bolivinita quadrilatera,Bolivinita pliozea,Anomalinoides sphericus,Sphaeroidina bulloides,Quinqueloculina spp.,Pullenia quinqueloba,Plectofrondicularia pellucida,Bulimina marginata,Trifarina angulosa,Lagena spp.,Elphidium excavatum f. clavatum,Notorotalia zelandica,Karreriella spp.,Uvigerina spp.,Planulina wuellerstorfi,Bolivina barbata,Rosalina spp.,Cornuspira involvens,Cibicidoides spp.,Vaginulina spp.,Sigmoilopsis crs. sp.,Pyrgo spp.,Pullenia bulloides,Nonionella magnalingua,Globocassidulina subglobosa,Gavelinopsis praegeri,Fissurina spp.,Discanomalina semipunctata,Comment
IR,,,,,181,1119,B,1,H,CC,10.00,4.6800,forams,Benthic Foraminifers,C,VG,,F,T,,,,T,,F,,T,R,,,F,,,,,R,R,,T,,,T,T,,,,,R,F,,T,F,T,T,T,R,T,R,T,T,T,
IR,,,,,181,1119,B,3,H,CC,51.00,24.2400,forams,Benthic Foraminifers,C,VG,,R,,,R,,,,,,,R,,,R,,,,,,R,R,,,,R,,,,,,T,R,R,T,R,,,,,,,,,,
IR,,,,,181,1119,B,5,H,CC,25.00,43.5300,forams,Benthic Foraminifers,C,VG,T,,,T,,,,,,T,R,R,,T,R,,,,R,,R,,,,,,T,,,,R,T,R,,,,,,,,,,,,,
IR,,,,,181,1119,B,7,H,CC,65.00,62.5200,forams,Benthic Foraminifers,C,VG,,R,,,R,,,,,,R,,,T,,,,,,R,,,,,,,,,R,T,,,,,,,,,,,,,,,,
IR,,,,,181,1119,B,9,H,CC,33.00,81.4500,forams,Benthic Foraminifers,C,VG,,R,,,,,,,R,,F,,,,,,,,,,,T,,,,,,T,R,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,B,11,H,CC,25.00,100.3900,forams,Benthic Foraminifers,C,VG,,R,,,,,,,R,,R,R,T,,R,,,,,T,,,,,T,R,T,T,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,B,13,H,CC,48.00,119.6600,forams,Benthic Foraminifers,C,VG,,R,,,,T,,,,,,,T,T,R,,,,R,,R,T,T,T,T,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,B,15,H,CC,25.00,138.5000,forams,Benthic Foraminifers,C,VG,,R,,,,,,T,,R,,R,T,T,R,T,T,R,R,T,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,181,1119,B,17,H,CC,26.00,155.8000,forams,Benthic Foraminifers,R,VG,T,R,R,R,R,T,R,F,F,T,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
