Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeaglobigerina woodi	Orbulina universa	Neogloboquadrina continuosa	Globorotalia praemenardii	Globoquadrina dehiscens	Globigerinoides trilobus	Fohsella peripheroronda	Zeaglobigerina nepenthes	Neogloboquadrina nympha	Jenkinsella mayeri	Globorotalia cibaoensis	Globoconella conoidea	Globigerinita glutinata	Sphaeroidinellopsis seminulina	Orbulina suturalis	Globorotalia scitula	Globorotalia plesiotumida	Globoquadrina venezuelana	Globoconella miozea	Globoconella conomiozea	Globigerinella siphonifera	Dentoglobigerina altispira	Neogloboquadrina pachyderma (dextral)	Globorotalia puncticulata	Globorotalia crassula	Globorotalia crassaformis	Globigerinoides ruber	Globigerina quinqueloba	Globigerina falconensis	Globigerina bulloides	Globorotalia inflata	Neogloboquadrina dutertrei	Globigerinella obesa	Globorotalia truncatulinoides	Globigerinoides quadrilobatus	Globorotalia ungulata	Globorotalia sp. cf. tosaensis	Globorotalia tosaensis	Globorotalia menardii	Beella digitata	Globorotalia hirsuta	Comment



  IR	                 	Quaternary       	                  	Pl1b          	182	1132	B	  1	H	CC	   9.00	      6.7500	Li       	Planktonic Foraminifers                      	F              	VG                	                    	P                	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	                       	                              	                  	P                   	                         	                         	                   	                       	                          	                          	F                                    	                         	                     	                         	A                    	F                      	F                      	                     	A                   	                          	                    	P                            	                             	                     	                              	                      	                     	               	                    	bryozoans, ben. forams, gastropods

  IR	                 	Quaternary       	                  	Pl1b          	182	1132	B	  2	H	CC	  12.00	     16.1900	Li       	Planktonic Foraminifers                      	F              	G                 	                    	                 	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	F                      	                              	                  	                    	                         	                         	                   	                       	                          	                          	F                                    	                         	                     	                         	                     	F                      	                       	F                    	A                   	                          	                    	P                            	                             	                     	                              	                      	                     	               	P                   	bryozoans, ben. forams, gastropods

  IR	                 	Quaternary       	                  	Pl1b          	182	1132	B	  3	H	CC	   0.00	     25.2200	Li       	Planktonic Foraminifers                      	F              	G                 	                    	P                	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	F                      	                              	                  	                    	                         	                         	                   	                       	                          	                          	F                                    	                         	                     	                         	A                    	                       	                       	                     	A                   	                          	                    	P                            	                             	                     	                              	                      	                     	               	P                   	bryozoans, ben. forams, gastropods

  IR	                 	Quaternary       	                  	Pl1b          	182	1132	B	  4	H	CC	  35.00	     35.3500	Li       	Planktonic Foraminifers                      	F              	G                 	                    	P                	                           	                         	                       	                        	                       	                        	                       	                  	                       	                     	                       	                              	                  	                    	                         	                         	                   	                       	P                         	                          	F                                    	                         	                     	                         	F                    	F                      	                       	F                    	A                   	                          	                    	P                            	                             	                     	                              	                      	                     	               	                    	bryozoans, ben. forams, gastropods

