Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tenuitella clemenciae	Globorotalia peripheroronda	Globigerinoides trilobus	Globigerinoides immaturus	Sphaeroidinellopsis seminulina	Neogloboquadrina continuosa	Globigerinoides obliquus	Globorotalia menardii	Neogloboquadrina acostaensis	Globoconella conoidea	Globorotalia plesiotumida	Globoquadrina venezuelana	Globigerinoides sacculifer	Globigerinoides extremus	Dentoglobigerina altispira	Pulleniatina primalis	Dentoglobigerina globosa	Neogloboquadrina humerosa	Globoquadrina dehiscens	Globorotalia margaritae	Comment



  IR	                 	Early Pliocene   	N19               	N18           	170	1041	B	  1	R	CC	   0.00	    161.0500	Ibaraki  	Planktonic Foraminifers                      	R              	P                 	                     	                           	                        	                         	R                             	                           	R                       	R                    	                            	                     	                         	R                        	                          	                        	R                         	R                    	                        	                         	                       	R                      	       

  IR	                 	Early Pliocene   	N19               	N18           	170	1041	B	  2	R	CC	   0.00	    170.7600	Ibaraki  	Planktonic Foraminifers                      	R              	P                 	                     	                           	                        	                         	R                             	                           	R                       	R                    	R                           	                     	                         	R                        	                          	                        	                          	R                    	                        	R                        	P                      	                       	       

  IR	Early Pliocene   	Late Miocene     	N19               	N17           	170	1041	B	  3	R	CC	   6.00	    181.5900	Ibaraki  	Planktonic Foraminifers                      	R              	P                 	                     	                           	                        	                         	                              	                           	R                       	R                    	                            	                     	                         	                         	                          	                        	                          	R                    	R                       	                         	                       	                       	       

  IR	Early Pliocene   	Late Miocene     	N19               	N17           	170	1041	B	  4	R	CC	  12.00	    193.3800	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	                     	                           	                        	                         	                              	                           	                        	R                    	                            	                     	                         	                         	R                         	                        	                          	R                    	R                       	                         	                       	                       	       

  IR	Late Pliocene    	Late Miocene     	N21               	N16           	170	1041	B	  5	R	CC	  19.00	    200.4400	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	                     	                           	                        	                         	                              	                           	                        	                     	R                           	                     	                         	                         	                          	                        	                          	                     	                        	                         	                       	                       	       

  IR	Early Pliocene   	Late Miocene     	N18               	N17           	170	1041	B	  6	R	CC	  12.00	    208.6700	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	                     	                           	R                       	                         	R                             	                           	R                       	                     	R                           	                     	R                        	R                        	R                         	R                       	R                         	                     	                        	                         	                       	                       	       

  IR	Late Pliocene    	Late Miocene     	N18               	N16           	170	1041	B	 11	R	CC	  38.00	    258.0300	Ibaraki  	Planktonic Foraminifers                      	T              	M                 	                     	                           	                        	                         	                              	                           	                        	                     	                            	R                    	                         	                         	                          	                        	                          	                     	                        	                         	                       	                       	       

  IR	Early Pliocene   	Late Miocene     	N18               	N16           	170	1041	B	 12	R	CC	  86.00	    268.0800	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	                     	                           	                        	                         	R                             	                           	R                       	                     	R                           	R                    	                         	                         	                          	                        	                          	                     	                        	                         	                       	                       	       

  IR	Late Pliocene    	Late Miocene     	N18               	N16           	170	1041	B	 13	R	CC	  21.00	    275.2100	Ibaraki  	Planktonic Foraminifers                      	R              	P                 	                     	                           	                        	R                        	                              	                           	R                       	R                    	                            	                     	                         	                         	                          	                        	                          	                     	                        	                         	                       	                       	       

  IR	Early Pliocene   	Late Miocene     	N18               	N16           	170	1041	B	 16	R	CC	  18.00	    304.8800	Ibaraki  	Planktonic Foraminifers                      	T              	M                 	                     	                           	R                       	                         	                              	                           	                        	                     	                            	                     	                         	                         	                          	                        	                          	                     	                        	                         	                       	                       	       

  IR	Early Pliocene   	Late Miocene     	N18               	N16           	170	1041	B	 20	R	CC	  20.00	    344.4700	Ibaraki  	Planktonic Foraminifers                      	R              	M                 	                     	                           	                        	                         	R                             	P                          	R                       	                     	                            	                     	                         	                         	                          	                        	                          	                     	                        	                         	                       	                       	       

  IR	Early Pliocene   	Late Miocene     	N18               	N16           	170	1041	B	 21	R	CC	   0.00	    351.6500	Ibaraki  	Planktonic Foraminifers                      	T              	P                 	                     	                           	R                       	P                        	                              	                           	                        	                     	                            	                     	                         	                         	                          	                        	                          	                     	                        	                         	                       	                       	       

  IR	                 	Middle Miocene   	                  	N10           	170	1041	B	 25	R	CC	  15.00	    388.2200	Ibaraki  	Planktonic Foraminifers                      	R              	P                 	R                    	R                          	                        	                         	                              	                           	                        	                     	                            	                     	                         	                         	                          	                        	                          	                     	                        	                         	                       	                       	       

