Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stellarima sp.	Rhizosolenia oligocaenica	Rhizosolenia hebetata	Pyxilla (all generic taxa)	Hemiaulus polycystinorum	Hemiaulus insignis	Coscinodiscus rhombicus	Coscinodiscus marginatus	Coscinodiscus hajosiae	Cestodiscus pulchellus	Azpeitia oligocenica	Asterolampra vugaris var. hyalina	Trinacria excavata	Stephanopyxis grunowii	Rouxia granda	Rhizosolenia antarctica	Rouxia obesa	Cestodiscus parmula	Bogorovia veniamini	Asterolampra schmidtii	Hemiaulus pungens	Coscinodiscus lewisianus	Cestodiscus convexus	Cestodiscus antarcticus	Asterolampra acutiloba	Azpeitia oligocenica var. nodosa	Stephanopyxis turris	Sceptroneis pesplanus	Sceptroneis grunowii	Cestodiscus sp.	Cestodiscus robustus	Pseudotriceratium radiosoreticulatum	Navicula udintsevii	Cestodiscus reticulatus	Actinoptychus thumii	Triceratium unguiculatum	Rocella praenitida	Paralia sulcata	Synedra jouseana	Melosira architecturalis	Rocella vigilans	Pseudotriceratium chenevieri	Rocella gelida	Lisitzinia ornata	Paralia clavigera	Stephanopyxis marginata	Coscinodiscus sp.	Nitzschia maleinterpretaria	Rocella schraderi	Hemiaulus taurus	Thalassiosira primalabiata	Rossiella symmetrica	Rossiella paleacea	Azpeitia praenodulifera	Thalassiosira spinosa	Asteromphalus oligocenicus	Raphidodiscus marylandicus	Coscinodiscus blysmos	Thalassiosira spumellaroides	Thalassiosira fraga	Denticulopsis maccollumii	Crucidenticula paranicobarica	Crucidenticula nicobarica	Azpeitia tabularis	Rhizosolenia praebarboi	Nitzschia barronii	Denticulopsis lauta	Denticulopsis hyalina	Azpeitia salisburyana	Actinocyclus ingens  var. nodus	Actinocyclus ingens	Coscinodiscus vulnificus	Denticulopsis hustedtii	Rhizosolenia barboi	Denticulopsis praedimorpha	Denticulopsis dimorpha	Azpeitia nodulifer	Rouxia californica	Denticulopsis dimorpha var. areolata	Rouxia naviculoides	Nitzschia praeinterfrigidaria	Nitzschia porteri	Hemidiscus karstenii	Eucampia antarctica	Thalassiosira oestrupii	Thalassiosira inura	Rhizosolenia styliformis	Nitzschia kerguelenis	Nitzschia denticuloides	Nitzschia cylindrus	Cosmiodiscus insignis	Coscinodiscus elliptopora	Diatoms (unspecified pennate taxa)	Diatoms (unspecified centric taxa)	Chaetoceros spp. (resting spores)	Comment



  SR	                 	                 	                  	              	119	 744	A	  1	H	 1	   1.00	      0.0100	Stockwell	Diatoms                                      	               	                  	              	                         	                     	                          	                        	                  	                       	                        	                      	                      	                    	                                 	                  	                      	             	                       	            	                   	                   	                      	                 	                        	                    	                       	                      	                                	                    	                     	                    	               	                    	                                    	                   	                       	                    	                        	                  	               	                	                        	                	                            	              	                 	                 	                       	                 	                           	                 	                	                          	                    	                  	                       	                     	                          	                          	                     	                            	                   	                         	                             	                         	                  	                       	                  	                   	                     	                     	                               	                   	                        	                       	                   	                          	                      	                  	                  	                                    	                   	                             	                 	                    	                   	                       	                   	                        	                     	                       	                   	                     	                         	80200                             	11680                             	0                                	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.

  SR	                 	                 	                  	              	119	 744	A	  1	H	 1	  35.00	      0.3500	Stockwell	Diatoms                                      	               	                  	              	                         	                     	                          	                        	                  	                       	                        	                      	                      	                    	                                 	                  	                      	             	                       	            	                   	                   	                      	                 	                        	                    	                       	                      	                                	                    	                     	                    	               	                    	                                    	                   	                       	                    	                        	                  	               	                	                        	                	                            	              	                 	                 	                       	                 	                           	                 	                	                          	                    	                  	                       	                     	                          	                          	                     	                            	                   	                         	                             	                         	                  	                       	                  	                   	                     	                     	                               	                   	                        	                       	                   	                          	                      	                  	                  	                                    	                   	                             	                 	                    	                   	                       	                   	                        	                     	                       	                   	                     	                         	28820                             	4483                              	366                              	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.

  SR	                 	                 	                  	              	119	 744	A	  1	H	 1	  85.00	      0.8500	Stockwell	Diatoms                                      	               	                  	              	                         	                     	                          	                        	                  	                       	                        	                      	                      	                    	                                 	                  	                      	             	                       	            	                   	                   	                      	                 	                        	                    	                       	                      	                                	                    	                     	                    	               	                    	                                    	                   	                       	                    	                        	                  	               	                	                        	                	                            	              	                 	                 	                       	                 	                           	                 	                	                          	                    	                  	                       	                     	                          	                          	                     	                            	                   	                         	                             	                         	                  	                       	                  	                   	                     	                     	                               	                   	                        	                       	                   	                          	                      	                  	                  	                                    	                   	                             	                 	                    	                   	                       	                   	                        	                     	                       	                   	                     	                         	54535                             	4854                              	571                              	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.

  SR	                 	                 	                  	              	119	 744	A	  1	H	 1	 135.00	      1.3500	Stockwell	Diatoms                                      	               	                  	              	                         	                     	                          	                        	                  	                       	                        	                      	                      	                    	                                 	                  	                      	             	                       	            	                   	                   	                      	                 	                        	                    	                       	                      	                                	                    	                     	                    	               	                    	                                    	                   	                       	                    	                        	                  	               	                	                        	                	                            	              	                 	                 	                       	                 	                           	                 	                	                          	                    	                  	                       	                     	                          	                          	                     	                            	                   	                         	                             	                         	                  	                       	                  	                   	                     	                     	                               	                   	                        	                       	                   	                          	                      	                  	                  	                                    	                   	                             	                 	                    	                   	                       	                   	                        	                     	                       	                   	                     	                         	50995                             	3877                              	298                              	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.
