Exp,original_header,taxon_group,abundance_code,preservation in andance column,harmonized_code,abundance_preservation_definition,file
320,% Planktic Foraminifera within whole sample,planktic_forams,0,,0,% Planktic Foraminifera within whole sample,320_U1331B_Planktic_Forams.csv; 320_U1331B_Planktic_Forams.csv; 320_U1331B_Planktic_Forams.csv; 320_U1331B_Planktic_Forams.csv; 320_U1331B_Planktic_Forams.csv; 320_U1331B_Planktic_Forams.csv; 320_U1331B_Planktic_Forams.csv; 320_U1331B_Planktic_Forams.csv; 320_U1331B_Planktic_Forams.csv; 320_U1331B_Planktic_Forams.csv; 320_U1331B_Planktic_Forams.csv; 320_U1331B_Planktic_Forams.csv; 320_U1331B_Planktic_Forams.csv; 320_U1331B_Planktic_Forams.csv; 320_U1331B_Planktic_Forams.csv; 320_U1331C_Planktic_Forams.csv; 320_U1331C_Planktic_Forams.csv; 320_U1331C_Planktic_Forams.csv; 320_U1331C_Planktic_Forams.csv; 320_U1331C_Planktic_Forams.csv; 320_U1331C_Planktic_Forams.csv; 320_U1331C_Planktic_Forams.csv; 320_U1331C_Planktic_Forams.csv; 320_U1331C_Planktic_Forams.csv; 320_U1331C_Planktic_Forams.csv; 320_U1331C_Planktic_Forams.csv; 320_U1331A_Planktic_Forams.csv; 320_U1331A_Planktic_Forams.csv; 320_U1331A_Planktic_Forams.csv; 320_U1331A_Planktic_Forams.csv; 320_U1331A_Planktic_Forams.csv; 320_U1331A_Planktic_Forams.csv; 320_U1331A_Planktic_Forams.csv; 320_U1331A_Planktic_Forams.csv; 320_U1331A_Planktic_Forams.csv; 320_U1331A_Planktic_Forams.csv; 320_U1331A_Planktic_Forams.csv; 320_U1331A_Planktic_Forams.csv; 320_U1331A_Planktic_Forams.csv; 320_U1331A_Planktic_Forams.csv; 320_U1331A_Planktic_Forams.csv; 320_U1331A_Planktic_Forams.csv; 320_U1332A_Planktic_Forams.csv; 320_U1332A_Planktic_Forams.csv; 320_U1332A_Planktic_Forams.csv; 320_U1332A_Planktic_Forams.csv; 320_U1332A_Planktic_Forams.csv
321,% Planktic Foraminifera within whole sample,planktic_forams,0,,0,% Planktic Foraminifera within whole sample,321_U1338A_Planktic_forams.csv; 321_U1338A_Planktic_forams.csv; 321_U1338A_Planktic_forams.csv; 321_U1338A_Planktic_forams.csv; 321_U1338A_Planktic_forams.csv; 321_U1338A_Planktic_forams.csv; 321_U1338A_Planktic_forams.csv; 321_U1338A_Planktic_forams.csv
321,% Planktic Foraminifera within whole sample,planktic_forams,0,,0,% Planktic Foraminifera within whole sample,321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv
321,% Planktic Foraminifera within whole sample,planktic_forams,0.5,,0.5,% Planktic Foraminifera within whole sample,321_U1337A_Planktic_forams.csv
320,% Planktic Foraminifera within whole sample,planktic_forams,1,,1,% Planktic Foraminifera within whole sample,320_U1332A_Planktic_Forams.csv
321,% Planktic Foraminifera within whole sample,planktic_forams,1,,1,% Planktic Foraminifera within whole sample,321_U1338A_Planktic_forams.csv
321,% Planktic Foraminifera within whole sample,planktic_forams,1.9,,1.9,% Planktic Foraminifera within whole sample,321_U1337A_Planktic_forams.csv
320,% Planktic Foraminifera within whole sample,planktic_forams,2,,2,% Planktic Foraminifera within whole sample,320_U1332A_Planktic_Forams.csv
321,% Planktic Foraminifera within whole sample,planktic_forams,2,,2,% Planktic Foraminifera within whole sample,321_U1338A_Planktic_forams.csv
321,% Planktic Foraminifera within whole sample,planktic_forams,2,,2,% Planktic Foraminifera within whole sample,321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv; 321_U1337A_Planktic_forams.csv
