Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Orbulina universa	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma	Neogloboquadrina humerosa	Neogloboquadrina acostaensis	Globorotalia inflata	Globorotalia crassaformis	Globigerinoides sacculifer	Globigerinoides ruber	Globigerina bulloides	Globorotalia hirsuta	Globigerinoides obliquus	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Menardella menardii	Globorotalia tosaensis	Globigerinoides conglobatus	Hastigerina siphonifera	Globorotalia truncatulinoides	Globorotalia scitula	Globorotalia puncticulata	Globorotalia conglomerata	Globigerina quinqueloba	Globigerinella siphonifera	Globigerinella calida	Globorotalia tumida	Globigerinoides ruber (pink)	Globigerina umbilicata	Globigerina falconensis	Beella digitata	Comment



  IR	                 	                 	                  	              	175	1083	A	  1	H	CC	  24.00	      1.7400	Christensen	Planktonic Foraminifers                      	A              	VG                	P                	P                                      	P                          	                         	                            	A                   	P                        	P                         	P                    	D                    	                    	                        	                            	                          	                   	                      	                           	P                      	P                            	P                   	                         	                         	                       	                          	                     	                   	P                           	A                     	P                      	P              	       

  IR	                 	                 	                  	              	175	1083	A	  2	H	CC	  22.00	      9.2200	Christensen	Planktonic Foraminifers                      	A              	VG                	P                	P                                      	P                          	                         	                            	D                   	P                        	                          	P                    	A                    	                    	                        	                            	P                         	P                  	                      	P                          	P                      	P                            	                    	                         	                         	                       	                          	                     	P                  	P                           	                      	                       	               	stagge 5?

  IR	                 	                 	                  	              	175	1083	A	  3	H	CC	  19.00	     20.9400	Christensen	Planktonic Foraminifers                      	A              	VG                	P                	                                       	P                          	                         	                            	D                   	                         	                          	                     	D                    	                    	                        	                            	P                         	                   	                      	                           	                       	P                            	                    	                         	P                        	                       	                          	                     	                   	                            	                      	                       	               	       

  IR	                 	Pleistocene      	                  	              	175	1083	A	  5	H	 3	  64.00	     33.9400	Christensen	Planktonic Foraminifers                      	A              	VG                	+                	                                       	+                          	                         	                            	R                   	+                        	                          	                     	+                    	                    	                        	+                           	+                         	+                  	                      	                           	                       	+                            	                    	                         	                         	                       	+                         	                     	+                  	1                           	                      	                       	               	rare ruber! Only 1 pink ruber in >250 and rare in 150 - 250

  IR	                 	Pleistocene      	                  	              	175	1083	A	  5	H	 4	 127.00	     35.9700	Christensen	Planktonic Foraminifers                      	A              	VG                	+                	                                       	+                          	                         	                            	                    	+                        	P                         	P                    	A                    	                    	                        	                            	+                         	                   	                      	P                          	                       	P                            	                    	                         	                         	                       	+                         	P                    	                   	                            	                      	                       	               	       

  IR	                 	Pleistocene      	                  	              	175	1083	A	  5	H	CC	  21.00	     40.1900	Christensen	Planktonic Foraminifers                      	C              	G                 	                 	+                                      	+                          	                         	                            	A                   	                         	P                         	                     	D                    	P                   	                        	                            	                          	                   	                      	                           	P                      	P                            	                    	                         	A                        	+                      	                          	                     	                   	                            	                      	                       	               	slight recrystallization

