Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Syracosphaera pulchra,Gephyrocapsa caribbeanica,Gephyrocapsa (small),Emiliania huxleyi,Coccolithus pelagicus,Calcidiscus leptoporus,Pontosphaera japonica,Helicosphaera wallichii,Helicosphaera kamptneri,Gephyrocapsa Group 3,Gephyrocapsa Group 2,Gephyrocapsa Group 1,Crenalithus doronicoides,Coccolithus crassipons,Gephyrocapsa Group 4,Braarudosphaera bigelowii,Pontosphaera sp.,Emiliania pujosae,Coccolithus streckerii,Umbilicosphaera mirabilis,Thoracosphaera sp.,Comment
  SR,Late Pleistocene ,                 ,NN21B             ,              ,139, 855,A,  2,R, 5,  98.00,     14.5800,Mao      ,Nannofossils                                 ,A              ,P                 ,                     ,                         ,                    ,F                ,C                    ,R                     ,                     ,                       ,                       ,                    ,F                   ,C                   ,                        ,                      ,                    ,R                        ,                ,                 ,                      ,                         ,                  ,from ODP Leg 139 SR; Chapter 5; Table 3; p 62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 855,A,  2,R,CC,  14.00,     14.7700,Mao      ,Nannofossils                                 ,C              ,P                 ,                     ,F                        ,C                   ,F                ,C                    ,                      ,                     ,                       ,                       ,                    ,                    ,                    ,                        ,                      ,                    ,R                        ,                ,F                ,                      ,                         ,                  ,from ODP Leg 139 IR; Chapter 5; Tables 5 & 6; pp. 118-19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,A,  3,R, 1,  19.00,     16.7900,Mao      ,Nannofossils                                 ,C              ,P                 ,                     ,                         ,                    ,                 ,C                    ,R                     ,                     ,                       ,                       ,                    ,F                   ,C                   ,                        ,R                     ,R                   ,R                        ,F               ,                 ,                      ,                         ,                  ,from ODP Leg 139 SR; Chapter 5; Table 3; p 62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,A,  3,R, 2,  19.00,     18.2900,Mao      ,Nannofossils                                 ,F              ,P                 ,                     ,                         ,                    ,R                ,F                    ,                      ,                     ,                       ,                       ,                    ,                    ,F                   ,                        ,                      ,                    ,                         ,                ,                 ,                      ,                         ,                  ,from ODP Leg 139 SR; Chapter 5; Table 3; p 62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 855,A,  3,R, 3,  23.00,     19.8300,Mao      ,Nannofossils                                 ,F              ,P                 ,                     ,                         ,                    ,R                ,F                    ,                      ,                     ,                       ,                       ,                    ,                    ,F                   ,                        ,                      ,                    ,                         ,                ,                 ,                      ,                         ,                  ,from ODP Leg 139 SR; Chapter 5; Table 3; p 62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
