Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Jenkinsella siakensis	Globoquadrina binaiensis	Catapsydrax dissimilis	Globorotalia praescitula	Globorotalia peripheroronda	Globorotalia birnageae	Praeorbulina glomerosa	Globigerinatella insueta	Praeorbulina sicana	Paragloborotalia mayeri	Orbulina universa	Globorotalia peripheroacuta	Globoquadrina dehiscens	Globigerinoides ruber	Fohsella praefohsi	Fohsella fohsi fohsi	Sphaeroidinellopsis kochi	Dentoglobigerina altispira	Globigerinoides obliquus	Zeaglobigerina nepenthes	Neogloboquadrina acostaensis	Globorotalia merotumida	Globorotalia lenguaensis	Sphaeroidinellopsis seminulina	Globorotalia plesiotumida	Globigerinoides extremus	Globigerinoides conglobatus	Globorotalia tumida	Sphaeroidinella dehiscens	Globorotalia multicamerata	Globorotalia margaritae	Pulleniatina (S)	Pulleniatina (D)	Pulleniatina obliquiloculata	Globorotalia menardii	Globorotalia tosaensis	Globigerinoides fistulosus	Neogloboquadrina dutertrei	Globorotalia truncatulinoides	Globorotalia inflata	Globorotalia crassaformis	Globigerinoides ruber (pink)	Comment



  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1146	A	  1	H	CC	   8.00	      3.7800	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	A                    	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	R                          	                   	                         	                          	                       	                	                	F                           	F                    	                      	                          	A                         	                             	R                   	                         	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1146	A	  2	H	CC	  12.00	     13.2600	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	A                    	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	R                          	                   	                         	                          	                       	                	                	F                           	F                    	                      	                          	F                         	                             	R                   	F                        	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1146	A	  3	H	CC	  13.00	     23.1000	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	A                    	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	R                          	                   	P                        	                          	                       	                	                	A                           	R                    	                      	                          	F                         	P                            	R                   	                         	                            	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	184	1146	A	  4	H	CC	  21.00	     32.4900	forams   	Planktonic Foraminifers                      	A              	VG                	                     	                        	                      	                        	                           	                      	                      	                        	                   	                       	                 	                           	                       	A                    	                  	                    	                         	                          	                        	                        	                            	                       	                        	                              	                         	                        	R                          	R                  	P                        	                          	                       	                	                	F                           	A                    	                      	                          	F                         	R                            	R                   	                         	                            	<0.12 Ma

