Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ventilabrella eggeri,Schackoina cenomana,Pseudotextularia nuttalli,Laeviheterohelix pulchra,Heterohelix planata,Heterohelix globulosa,Heterohelix dentata,Heterohelix carinata,Hedbergella holmdelensis,Globotruncanita stuartiformis,Globotruncanita elevata,Globotruncanita atlantica,Globotruncana orientalis,Globotruncana morozovae,Globotruncana mariei,Globotruncana linneiana,Globotruncana bulloides,Globotruncana arca,Globigerinelloides ultramicrus,Globigerinelloides subcarinatus,Globigerinelloides prairiehillensis,Globigerinelloides messinae,Contusotruncana fornicata,Archaeoglobigerina cretacea,Schackoina multispinata,Rugoglobigerina rugosa,Globotruncana rosetta,Radotruncana subspinosa,Heterohelix labellosa,Globigerinelloides bollii,Contusotruncana patelliformis,Hedbergella monmouthensis,Globotruncanita subspinosa,Fohsella peripheroronda,Globigerinelloides ferreolensis,Sphaeroidinellopsis disjuncta,Praeorbulina glomerosa,Orbulina universa,Globorotalia praemenardii,Globorotalia miozea,Globigerinatella insueta,Globorotalia panda,Globorotalia birnageae,Globoquadrina dehiscens,Fohsella peripheroacuta,Orbulina suturalis,Globorotalia lenguaensis,Globorotalia juanai,Globigerina bulloides,Fohsella praefohsi,Dentoglobigerina altispira,Globoturborotalita druryi,Globoquadrina venezuelana,Sphaeroidinellopsis seminulina,Globoturborotalita woodi,Globoturborotalita nepenthes,Catapsydrax parvulus,Neogloboquadrina continuosa,Globorotalia merotumida,Globorotalia menardii,Globorotalia conoidea,Globigerinoides sacculifer,Globigerinita glutinata,Neogloboquadrina acostaensis,Globigerinoides obliquus,Globigerinoides bollii,Sphaeroidinellopsis subdehiscens,Neogloboquadrina pachyderma (dextral),Globorotalia scitula,Globigerinoides subquadratus,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina humerosa,Globorotalia challengeri,Neogloboquadrina dutertrei,Globorotalia margaritae,Globorotalia tumida,Globorotalia plesiotumida,Globigerinoides conglobatus,Globorotalia puncticulata,Globigerinoides extremus,Globorotalia crassula,Sphaeroidinellopsis kochi,Globigerinella aequilateralis,Globorotalia conomiozea,Truncorotalia crassaformis,Globigerinoides trilobus,Globigerinoides ruber,Sphaeroidinella dehiscens s.l.,Truncorotalia tosaensis,Globorotalia inflata,Pulleniatina obliquiloculata,Truncorotalia truncatulinoides,Pulleniatina primalis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,198,1207,A,  1,H,CC,  15.00,      4.7200,planks   ,Planktonic Foraminifers                      ,               ,P                 ,                    ,                   ,                         ,                        ,                   ,                     ,                   ,                    ,                        ,                             ,                       ,                         ,                        ,                       ,                    ,                       ,                       ,                  ,                              ,                               ,                                   ,                           ,                         ,                           ,                       ,                      ,                     ,                       ,                     ,                         ,                             ,                         ,                          ,                       ,                               ,                             ,                      ,F                ,                         ,                   ,                        ,                  ,                      ,                       ,                       ,                  ,                        ,                   ,A                    ,                  ,                          ,                         ,                         ,                              ,                        ,                            ,                    ,                           ,                       ,R                    ,                     ,                          ,                       ,                            ,                        ,                      ,                                ,F                                    ,R                   ,                            ,                                       ,                         ,                        ,F                         ,                       ,F                  ,                         ,                           ,                         ,                        ,                     ,                         ,                             ,                       ,R                         ,R                       ,                     ,                              ,                       ,                    ,                            ,F                             ,                     ,Rads
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,198,1207,A,  2,H,CC,  27.00,     14.6100,planks   ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                   ,                         ,                        ,                   ,                     ,                   ,                    ,                        ,                             ,                       ,                         ,                        ,                       ,                    ,                       ,                       ,                  ,                              ,                               ,                                   ,                           ,                         ,                           ,                       ,                      ,                     ,                       ,                     ,                         ,                             ,                         ,                          ,                       ,                               ,                             ,                      ,F                ,                         ,                   ,                        ,                  ,                      ,                       ,                       ,                  ,                        ,                   ,A                    ,                  ,                          ,                         ,                         ,                              ,                        ,                            ,                    ,                           ,                       ,                     ,                     ,R                         ,                       ,                            ,                        ,                      ,                                ,F                                    ,R                   ,                            ,                                       ,                         ,                        ,F                         ,                       ,F                  ,                         ,                           ,                         ,                        ,                     ,                         ,                             ,                       ,                          ,F                       ,R                    ,                              ,F                      ,                    ,                            ,F                             ,R                    ,Rads
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,198,1207,A,  3,H,CC,  13.00,     24.0300,planks   ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                   ,                         ,                        ,                   ,                     ,                   ,                    ,                        ,                             ,                       ,                         ,                        ,                       ,                    ,                       ,                       ,                  ,                              ,                               ,                                   ,                           ,                         ,                           ,                       ,                      ,                     ,                       ,                     ,                         ,                             ,                         ,                          ,                       ,                               ,                             ,                      ,R                ,+                        ,                   ,                        ,                  ,                      ,                       ,                       ,                  ,                        ,                   ,A                    ,                  ,                          ,                         ,                         ,                              ,                        ,                            ,                    ,                           ,                       ,                     ,                     ,R                         ,                       ,                            ,                        ,                      ,                                ,F                                    ,R                   ,                            ,                                       ,                         ,                        ,A                         ,                       ,F                  ,                         ,R                          ,                         ,                        ,                     ,                         ,                             ,                       ,F                         ,R                       ,F                    ,R                             ,R                      ,                    ,R                           ,                              ,                     ,Rads+ Diatom
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,N22               ,N22           ,198,1207,A,  4,H,CC,  11.00,     33.7900,planks   ,Planktonic Foraminifers                      ,               ,M                 ,                    ,                   ,                         ,                        ,                   ,                     ,                   ,                    ,                        ,                             ,                       ,                         ,                        ,                       ,                    ,                       ,                       ,                  ,                              ,                               ,                                   ,                           ,                         ,                           ,                       ,                      ,                     ,                       ,                     ,                         ,                             ,                         ,                          ,                       ,                               ,                             ,                      ,F                ,                         ,                   ,                        ,                  ,                      ,                       ,                       ,                  ,                        ,                   ,A                    ,                  ,                          ,                         ,                         ,                              ,                        ,                            ,                    ,                           ,                       ,R                    ,                     ,                          ,                       ,                            ,R                       ,                      ,                                ,                                     ,R                   ,                            ,                                       ,                         ,                        ,A                         ,                       ,                   ,                         ,F                          ,                         ,                        ,                     ,                         ,                             ,                       ,F                         ,F                       ,F                    ,F                             ,P                      ,                    ,                            ,                              ,                     ,increasing Rads and Diatom
