Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Heterohelix sp.	Hedbergella sp.	Globotruncana ventricosa	Archaeoglobigerina sp.	Tenuitella sp.	Praeorbulina sicana	Paragloborotalia mayeri	Paragloborotalia continuosa	Globoquadrina venezuelana	Globoquadrina dehiscens	Globigerinoides trilobus s.l.	Globigerinoides ruber  s. I. (white)	Globigerinoides bisphericus	Globigerinoides altiapertura	Globigerinita uvula	Globigerinita glutinata s. I	Globigerinella praesiphonifera	Globigerinatella sp.	Globigerinatella insueta	Globigerina woodi s. 1.	Dentoglobigerina larmeui	Dentoglobigerina baroemoenensis	Dentoglobigerina altispira	Globigerinoides mitra	Fohsella peripheroronda	Globoquadrina binaiensis	Globigerinoides obliquus	Catapsydrax unicavus	Sphaeroidinellopsis disjuncta	Sphaeroidinellopsis kochi	Praeorbulina glomerosa	Praeorbulina curva	Praeorbulina circularis	Orbulina universa	Orbulina suturalis	Fohsella robusta	Fohsella praefohsi	Fohsella peripheroacuta	Fohsella lobata	Fohsella fohsi	Clavatorella bermudezi	Sphaeroidinellopsis seminulina	Sphaeroidinella dehiscens	Candeina nitida	Globorotalia archeomenardii	Globigerinella siphonifera	Globoturborotalita nepenthes	Globorotalia praemenardii	Streptochilus spp.	Sphaeroidinella paenedehiscens	Pulleniatina primalis	Neogloboquadrina acostaensis	Globorotalia tumida	Globorotalia plesiotumida	Globorotalia limbata	Globigerinoides sacculifer	Globigerinoides conglobatus	Pulleniatina obliquiloculata	Globoturborotalita rubescens	Sphaeroidinella excavata	Pulleniatina praespectabilis	Neogloboquadrina dutertrei	Globorotalia scitula	Globorotalia hexagonus	Globigerinoides extremus	Globorotalia multicamerata	Globorotalia flexuosa	Pulleniatina spectabilis	Neogloboquadrina humerosa	Globorotalia margaritae	Pulleniatina praecursor	Pulleniatina finalis	Globorotalia ungulata	Tenuitella iota	Globorotalia menardii s.l.	Globorotalia crassaformis	Clavatorella nicobarensis	Globigerinoides fistulosus	Globoquadrina sp.	Globorotalia tosaensis	Globigerina bulloides s. I.	Globorotalia truncatulinoides	Globorotalia inflata	Globorotalia hirsuta	Globoturborotalita tenella	Globigerinoides ruber (pink)	Comment



  SR	Pleistocene      	                 	N22               	              	144	 873	B	  1	H	 1	  36.00	      0.3600	Pearson  	Planktonic Foraminifers                      	               	                  	               	               	                        	                      	              	                   	                       	                           	                         	                       	C                            	F                                   	                           	                            	                   	R                           	                              	                    	                        	                       	                        	                               	                          	                     	                       	                        	                        	                    	                             	                         	                      	                  	                       	R                	                  	                	                  	                       	               	              	                      	                              	R                        	R              	                           	R                         	                            	                         	R                 	                              	                     	                            	R                  	                         	                    	R                         	F                          	R                           	R                           	R                       	                            	F                         	R                   	R                     	                        	                          	R                    	                        	R                        	                       	R                      	R                   	R                    	R              	R                         	R                        	                         	                          	                 	                      	R                          	R                            	                    	R                   	R                         	R                           	from Leg 144 SR; Ch 2; Table 7; p 40-41

  SR	Pleistocene      	                 	N22               	              	144	 873	B	  1	H	 2	  36.00	      1.5500	Pearson  	Planktonic Foraminifers                      	               	                  	               	               	                        	                      	              	                   	                       	                           	                         	                       	C                            	R                                   	                           	                            	                   	R                           	                              	                    	                        	                       	                        	                               	                          	                     	                       	                        	                        	                    	                             	                         	                      	                  	                       	R                	                  	                	                  	                       	               	              	                      	                              	R                        	R              	                           	R                         	                            	                         	R                 	                              	                     	                            	F                  	                         	                    	R                         	F                          	R                           	R                           	R                       	                            	F                         	R                   	R                     	                        	                          	                     	                        	                         	                       	R                      	R                   	R                    	R              	R                         	R                        	                         	R                         	                 	R                     	R                          	R                            	                    	                    	R                         	                            	from Leg 144 SR; Ch 2; Table 7; p 40-41

  SR	Pleistocene      	                 	N22               	              	144	 873	B	  1	H	 3	  36.00	      2.9300	Pearson  	Planktonic Foraminifers                      	               	                  	               	               	                        	                      	              	                   	                       	                           	                         	                       	F                            	R                                   	                           	                            	                   	R                           	                              	                    	                        	                       	                        	                               	                          	                     	                       	                        	                        	                    	                             	                         	                      	                  	                       	R                	                  	                	                  	                       	               	              	                      	                              	C                        	R              	                           	R                         	                            	                         	R                 	R                             	                     	                            	F                  	                         	                    	R                         	R                          	R                           	R                           	R                       	                            	R                         	R                   	                      	                        	                          	R                    	                        	                         	                       	R                      	R                   	R                    	R              	R                         	R                        	                         	                          	                 	R                     	R                          	R                            	R                   	R                   	                          	                            	from Leg 144 SR; Ch 2; Table 7; p 40-41

  SR	Pliocene         	                 	N22               	              	144	 873	B	  1	H	 4	  36.00	      4.3300	Pearson  	Planktonic Foraminifers                      	               	                  	               	               	                        	                      	              	                   	                       	                           	                         	                       	F                            	R                                   	                           	                            	                   	R                           	                              	                    	                        	                       	                        	                               	                          	                     	                       	                        	                        	                    	                             	                         	                      	                  	                       	R                	                  	                	                  	                       	               	              	                      	                              	R                        	R              	                           	F                         	                            	                         	R                 	                              	                     	                            	F                  	                         	                    	R                         	R                          	R                           	R                           	                        	                            	R                         	R                   	R                     	                        	                          	                     	                        	                         	                       	F                      	                    	R                    	R              	R                         	R                        	                         	F                         	                 	R                     	                           	R                            	R                   	                    	                          	                            	from Leg 144 SR; Ch 2; Table 7; p 40-41
