Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sulcoperculina vermunti	Sulcoperculina sp.	Sulcoperculina globosa	Sulcoperculina dickersoni	Rotaliid taxa	Pseudocyclammina sp.	Foraminifers (agglutinated taxa)	Asterorbis rooki	Planoglobulina sp.	Nubeculariid taxa	Planktonics sp.	Omphalocyclus macroporus	Marssonella oxycona	Foraminifers (planispiral taxa)	Discorbid taxa	Miliolids species	Vidalina sp. cf. V. hispanica	Acervulinid taxa	Comment



  SR	Maestrichtian    	                 	                  	              	144	 873	B	  8	N	 1	   4.00	     58.0400	Premoli Silva	Benthic Foraminifers                         	               	                  	F                      	C                 	                      	F                        	R            	                    	                                	F               	                  	                 	               	2                       	                   	2                              	              	F                	1                            	F               	from ODP Leg 144 SR; Ch 9; Table 1; p 174

  SR	Maestrichtian    	                 	                  	              	144	 873	B	  8	N	 1	  56.00	     58.5600	Premoli Silva	Benthic Foraminifers                         	               	                  	C                      	A                 	                      	C                        	R            	                    	                                	F               	                  	VR               	VR             	?                       	                   	                               	              	R                	                             	                	from ODP Leg 144 SR; Ch 9; Table 1; p 174

  SR	Maestrichtian    	                 	                  	              	144	 873	B	  8	N	 1	 130.00	     59.3000	Premoli Silva	Benthic Foraminifers                         	               	                  	C                      	C                 	                      	C                        	F            	                    	                                	F               	                  	VR               	VR             	2                       	                   	                               	R             	F                	                             	                	from ODP Leg 144 SR; Ch 9; Table 1; p 174

  SR	Maestrichtian    	                 	                  	              	144	 873	B	  8	N	 2	  71.00	     60.0800	Premoli Silva	Benthic Foraminifers                         	               	                  	                       	F                 	                      	F                        	             	                    	R                               	                	                  	                 	1              	VA                      	                   	1                              	R             	1                	                             	                	from ODP Leg 144 SR; Ch 9; Table 1; p 174

  SR	Maestrichtian    	                 	                  	              	144	 873	B	  8	N	 2	  77.00	     60.1400	Premoli Silva	Benthic Foraminifers                         	               	                  	                       	C                 	                      	C                        	C            	                    	1                               	                	                  	                 	VR             	A                       	                   	                               	R             	VR               	                             	                	from ODP Leg 144 SR; Ch 9; Table 1; p 174

  SR	Maestrichtian    	                 	                  	              	144	 873	B	  8	N	 2	 105.00	     60.4200	Premoli Silva	Benthic Foraminifers                         	               	                  	                       	F                 	                      	                         	             	                    	                                	                	                  	                 	1              	C                       	                   	                               	              	                 	                             	                	from ODP Leg 144 SR; Ch 9; Table 1; p 174

  SR	Maestrichtian    	                 	                  	              	144	 873	B	  9	N	 1	 130.00	     63.8000	Premoli Silva	Benthic Foraminifers                         	               	                  	                       	C                 	                      	C                        	F            	                    	                                	R               	                  	                 	VR             	A                       	1                  	1                              	A             	                 	                             	                	from ODP Leg 144 SR; Ch 9; Table 1; p 174

  SR	Maestrichtian    	                 	                  	              	144	 873	B	  9	N	 2	  19.00	     64.0400	Premoli Silva	Benthic Foraminifers                         	               	                  	                       	C                 	                      	                         	             	                    	                                	                	                  	                 	               	                        	                   	                               	              	                 	                             	                	from ODP Leg 144 SR; Ch 9; Table 1; p 174

  SR	Maestrichtian    	                 	                  	              	144	 873	B	 10	N	 1	   0.00	     67.0000	Premoli Silva	Benthic Foraminifers                         	               	                  	                       	C                 	                      	                         	             	                    	                                	                	                  	                 	               	                        	                   	                               	              	                 	                             	                	from ODP Leg 144 SR; Ch 9; Table 1; p 174

  SR	Maestrichtian    	                 	                  	              	144	 873	B	 10	N	 1	  62.00	     67.6200	Premoli Silva	Benthic Foraminifers                         	               	                  	C                      	A                 	F                     	F                        	             	                    	                                	F               	1                 	1                	               	                        	                   	                               	              	                 	                             	                	from ODP Leg 144 SR; Ch 9; Table 1; p 174

  SR	Maestrichtian    	                 	                  	              	144	 873	B	 10	N	 1	 106.00	     68.0600	Premoli Silva	Benthic Foraminifers                         	               	                  	C                      	A                 	F                     	F                        	F            	R                   	r                               	F               	                  	                 	               	                        	                   	                               	              	                 	                             	                	from ODP Leg 144 SR; Ch 9; Table 1; p 174

