Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina proboscidea,Trifarina angulosa,Sphaeroidina bulloides,Pyrgo spp.,Pullenia salisburyi,Pullenia bulloides,Oridorsalis spp.,Nuttallides umbonifera,Nodosariidae (taxa),Melonis barleeanus,Laticarinina pauperata,Laryngosigma hyalascidia,Gyroidina soldanii,Globocassidulina subglobosa,Fontbotia wuellerstorfi,Epistominella exigua,Ehrenbergina trigona,Eggerella bradyi,Bolivina decussata,Stilostomella lepidula,Pullenia quinqueloba,Pleurostomella acuta,Nonionella sp.,Gyroidina lamarckiana,Cibicidoides kullenbergi,Chilostomella argentae,Anomalina sp.,Melonis pompilioides,Karreriella bradyi,Gyroidina zealandica,Cibicidoides cicatricosus,Stainforthia complanata,Cassidulina laevigata,Hyperammina sp,Anomalinoides sp.,Valvulineria sp.,Quinqueloculina venusta,Osangularia sp.,Lenticulina sp.,Bulimina alazanensis,Cassidulina sp.,Textularia abbreviata,Species 1,Bolivina pseudopunctata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 12,H, 1, 105.00,     94.3500,Ishman   ,Benthic Foraminifers                         ,               ,M                 ,11                   ,                  ,                      ,          ,2                  ,14                ,3               ,47                    ,9                  ,20                ,1                     ,                        ,                  ,5                          ,14                     ,7                   ,                    ,12              ,1                 ,3                     ,                    ,                    ,              ,                     ,9                       ,                      ,             ,1                   ,                  ,                    ,                         ,1                      ,                     ,              ,                 ,                ,                       ,               ,1              ,2                   ,               ,                     ,         ,                       ,Total count = 163; from Leg 145 SR; Ch 8; Table 7; p. 150-151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 12,H, 1, 125.00,     94.5500,Ishman   ,Benthic Foraminifers                         ,               ,M                 ,22                   ,                  ,                      ,          ,                   ,16                ,29              ,92                    ,15                 ,25                ,7                     ,                        ,                  ,3                          ,33                     ,5                   ,                    ,15              ,3                 ,                      ,1                   ,                    ,              ,5                    ,                        ,                      ,             ,                    ,                  ,1                   ,                         ,                       ,                     ,              ,                 ,2               ,2                      ,               ,               ,                    ,               ,                     ,         ,                       ,Total count = 276; from Leg 145 SR; Ch 8; Table 7; p. 150-151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 12,H, 1, 145.00,     94.7500,Ishman   ,Benthic Foraminifers                         ,               ,M                 ,25                   ,                  ,                      ,2         ,                   ,8                 ,12              ,42                    ,9                  ,41                ,7                     ,                        ,                  ,                           ,9                      ,5                   ,2                   ,7               ,5                 ,3                     ,                    ,4                   ,              ,                     ,5                       ,                      ,             ,                    ,                  ,4                   ,1                        ,                       ,                     ,              ,                 ,3               ,1                      ,1              ,               ,                    ,               ,                     ,         ,                       ,Total count = 196; from Leg 145 SR; Ch 8; Table 7; p. 150-151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 13,H, 1,   5.00,    102.8500,Ishman   ,Benthic Foraminifers                         ,               ,M                 ,                     ,                  ,2                     ,1         ,2                  ,18                ,15              ,15                    ,5                  ,6                 ,1                     ,                        ,                  ,17                         ,1                      ,7                   ,                    ,3               ,                  ,                      ,                    ,                    ,              ,2                    ,                        ,                      ,             ,                    ,                  ,                    ,2                        ,1                      ,                     ,1             ,1                ,                ,                       ,               ,               ,                    ,               ,                     ,         ,                       ,Total count = 100; from Leg 145 SR; Ch 8; Table 7; p. 150-151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 13,H, 1,  25.00,    103.0500,Ishman   ,Benthic Foraminifers                         ,               ,M                 ,1                    ,1                 ,2                     ,4         ,                   ,14                ,15              ,22                    ,3                  ,19                ,1                     ,                        ,5                 ,25                         ,6                      ,10                  ,2                   ,1               ,1                 ,                      ,                    ,1                   ,              ,                     ,                        ,                      ,             ,                    ,                  ,2                   ,                         ,                       ,                     ,              ,                 ,                ,                       ,               ,               ,                    ,               ,                     ,         ,                       ,Total count = 135; from Leg 145 SR; Ch 8; Table 7; p. 150-151
