Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina atlantica (sinistral),Neogloboquadrina atlantica (dextral),Globigerina umbilicata,Globigerina bulloides,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globorotalia scitula,Orbulina spp.,Globigerinita glutinata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 12,H, 1,  45.00,     93.7500,Ishman   ,Planktonic Foraminifers                      ,               ,G                 ,19                                    ,10                                  ,13                    ,262                  ,6                                      ,5                                    ,                    ,             ,                       ,"Not identified = 1; Total count = 316; from Leg 145 SR; Ch 8; Table 5; p 146,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 12,H, 1,  65.00,     93.9500,Ishman   ,Planktonic Foraminifers                      ,               ,G                 ,2                                     ,                                    ,1                     ,                     ,                                       ,                                     ,                    ,             ,                       ,"Not identified = 0; Total count = 3; from Leg 145 SR; Ch 8; Table 5; p 146,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 12,H, 1, 125.00,     94.5500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,29                                    ,52                                  ,3                     ,195                  ,                                       ,11                                   ,                    ,             ,                       ,"Not identified = 1; Total count = 291; from Leg 145 SR; Ch 8; Table 5; p 146,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 12,H, 1, 145.00,     94.7500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,22                                    ,115                                 ,14                    ,143                  ,5                                      ,38                                   ,1                   ,             ,                       ,"Not identified = 2; Total count = 340; from Leg 145 SR; Ch 8; Table 5; p 146,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 13,H, 1,   5.00,    102.8500,Ishman   ,Planktonic Foraminifers                      ,               ,G                 ,27                                    ,19                                  ,2                     ,170                  ,                                       ,                                     ,2                   ,             ,                       ,"Not identified = 0; Total count = 220; from Leg 145 SR; Ch 8; Table 5; p 146,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 13,H, 1,  25.00,    103.0500,Ishman   ,Planktonic Foraminifers                      ,               ,G                 ,29                                    ,29                                  ,29                    ,45                   ,3                                      ,                                     ,                    ,             ,1                      ,"Not identified = 3; Total count = 139; from Leg 145 SR; Ch 8; Table 5; p 146,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 13,H, 1,  45.00,    103.2500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,8                                     ,6                                   ,9                     ,3                    ,                                       ,                                     ,                    ,             ,                       ,"Not identified = 0; Total count = 26; from Leg 145 SR; Ch 8; Table 5; p 146,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 13,H, 1,  65.00,    103.4500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,10                                    ,8                                   ,22                    ,18                   ,                                       ,                                     ,                    ,1            ,                       ,"Not identified = 0; Total count = 59; from Leg 145 SR; Ch 8; Table 5; p 146,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 13,H, 1,  85.00,    103.6500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,40                                    ,25                                  ,23                    ,127                  ,5                                      ,1                                    ,1                   ,             ,                       ,"Not identified = 7; Total count = 229; from Leg 145 SR; Ch 8; Table 5; p 146,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 13,H, 1, 105.00,    103.8500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,8                                     ,6                                   ,16                    ,110                  ,2                                      ,2                                    ,                    ,             ,                       ,"Not identified = 2; Total count = 146; from Leg 145 SR; Ch 8; Table 5; p 146,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,C, 13,H, 1, 145.00,    104.2500,Ishman   ,Planktonic Foraminifers                      ,               ,M                 ,19                                    ,4                                   ,45                    ,118                  ,                                       ,                                     ,                    ,             ,                       ,"Not identified = 3; Total count = 189; from Leg 145 SR; Ch 8; Table 5; p 146,,"
,,,,,,,,,,,,,,,,,,,,,,,,,,
