Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeugrhabdotus embergeri	Watznaueria supracretacea	Watznaueria ovata	Watznaueria barnesae	Tranolithus exiguus	Tegumentum stradneri	Stradneria crenulata	Stoverius baldiae	Stoverius achylosus	Radiolithus undosus	Radiolithus orbiculatus	Quadrum eneabrachium	Prediscosphaera columnata (>5 microns)	Prediscosphaera avitus	Percivillia hauxtonensis	Parhabdolithus melanoarachnion	Manivitella pemmatoidea	Glaukolithus diplogrammus	Gartnerago theta	Gartnerago praeobliquum	Gartnerago obliquum	Eprolithus floralis	Ellipsagelosphaera britannica	Eiffellithus turriseiffelii	Eiffellithus collis	Cribrosphaerella ehrenbergii	Corollithion signum	Corollithion kennedyi	Chiastozygus platyrhethus	Broinsonia enormis	Biscutum constans	Axopodorhabdus albianus	Aspidolithus bevieri	Sphenolithus abies	Reticulofenestra pseudoumbilicus	Pseudoemiliania lacunosa (small)	Helicosphaera sellii	Helicosphaera kamptneri/carteri	Geminilithella rotula	Discoaster variabilis	Discoaster triradiatus	Discoaster surculus	Discoaster quadramus	Discoaster pentaradiatus	Discoaster challengeri	Discoaster brouweri	Coccolithus pelagicus	Ceratolithus rugosus	Calcidiscus macintyrei	Calcidiscus leptoporus	Sphenolithus neoabies	Discoaster asymmetricus	Coccolithus pelagicus (w/ bar)	Triquetrorhabdulus rugosus	Reticulofenestra minutula	Reticulofenestra minuta	Pontosphaera japonica	Discoaster calcaris	Rhabdosphaera clavigera	Pontosphaera multipora	Ceratolithus cristatus	Pseudoemiliania lacunosa	Discoaster tamalis	Umbilicosphaera sibogae	Gephyrocapsa caribbeanica	Gephyrocapsa aperta	Helicosphaera neogranulata	Helicosphaera inversa	Gephyrocapsa oceanica	Florisphaera profunda	Gephyrocapsa spp. (small)	Reticulofenestra astoni	Gephyrocapsa omega	Helicosphaera intermedia	Gephyrocapsa margerelii	Emiliania huxleyi	Comment



  SR	Pleistocene      	                 	CN14b             	CN15          	159	 962	B	  1	H	 1	   1.00	      0.0100	Shafik   	Nannofossils                                 	F              	P                 	                       	                         	                 	                    	                   	                    	                    	                 	                   	                   	                       	                    	                                      	                      	                        	                              	                       	                         	                	                       	                   	                   	                             	                           	                   	                            	                   	                     	                         	                  	                 	                       	                    	                  	                                	                                	                    	R                              	                     	                     	                      	                   	                    	                        	                      	                   	                     	                    	+                     	R                     	                     	                       	                              	                          	                         	                       	                     	                   	                       	                      	+                     	                        	                  	R                      	                         	                   	                          	                     	F                    	A                    	                         	                       	F                 	                        	C                      	C                	From Leg 159 Ch 37 Table 6

  SR	Pleistocene      	                 	CN14b             	CN15          	159	 962	B	  1	H	 2	  25.00	      1.7500	Shafik   	Nannofossils                                 	R              	P                 	                       	                         	                 	                    	                   	                    	                    	                 	                   	                   	                       	                    	                                      	                      	                        	                              	                       	                         	                	                       	                   	                   	                             	                           	                   	                            	                   	                     	                         	                  	                 	                       	                    	                  	                                	                                	                    	                               	                     	                     	                      	                   	                    	                        	                      	                   	                     	                    	                      	                      	                     	                       	                              	                          	                         	                       	                     	                   	                       	                      	                      	                        	                  	                       	                         	F                  	                          	                     	                     	C                    	                         	                       	F                 	                        	                       	                 	From Leg 159 Ch 37 Table 6

  SR	Pleistocene      	                 	CN14b             	CN15          	159	 962	B	  1	H	 3	  50.00	      3.5000	Shafik   	Nannofossils                                 	C              	M                 	                       	                         	                 	                    	                   	                    	                    	                 	                   	                   	                       	                    	                                      	                      	                        	                              	                       	                         	                	                       	                   	                   	                             	                           	                   	                            	                   	                     	                         	                  	                 	                       	                    	                  	                                	                                	                    	                               	                     	                     	                      	                   	                    	                        	                      	                   	                     	                    	                      	                      	                     	                       	                              	                          	                         	                       	                     	                   	                       	                      	                      	                        	                  	                       	                         	                   	                          	                     	F                    	                     	                         	                       	F                 	F                       	                       	                 	From Leg 159 Ch 37 Table 6

  SR	Pleistocene      	                 	CN14b             	CN15          	159	 962	B	  1	H	 3	  96.00	      3.9600	Shafik   	Nannofossils                                 	C              	P                 	                       	                         	                 	                    	                   	                    	                    	                 	                   	                   	                       	                    	                                      	                      	                        	                              	                       	                         	                	                       	                   	                   	                             	                           	                   	                            	                   	                     	                         	                  	                 	                       	                    	                  	                                	                                	                    	R                              	                     	                     	                      	                   	                    	                        	                      	                   	                     	                    	                      	+                     	                     	                       	                              	                          	                         	                       	                     	                   	                       	                      	                      	                        	                  	                       	C                        	                   	                          	                     	                     	                     	                         	                       	C                 	                        	                       	                 	From Leg 159 Ch 37 Table 6
