Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stilostomella spp.	Pleurostomella spp.	Plectofrondicularia spp.	Orthomorphina spp.	Comment
  SR	                 	                 	                  	              	108	 658	A	 17	H	 5	  70.00	    154.9000	Weinholz 	Benthic Foraminifers                         	               	                  	1                 	                   	2                       	1                 	Total account = 160; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 19	X	 1	  70.00	    158.6000	Weinholz 	Benthic Foraminifers                         	               	                  	4                 	                   	3                       	2                 	Total account = 195; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 19	X	 5	  66.00	    164.5600	Weinholz 	Benthic Foraminifers                         	               	                  	3                 	                   	4                       	1                 	Total account = 92; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 19	X	 7	  66.00	    167.5600	Weinholz 	Benthic Foraminifers                         	               	                  	                  	                   	2                       	                  	Total account = 266; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 20	X	 1	  61.00	    168.0100	Weinholz 	Benthic Foraminifers                         	               	                  	1                 	                   	4                       	3                 	Total account = 186; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 20	X	 3	  70.00	    171.1000	Weinholz 	Benthic Foraminifers                         	               	                  	                  	                   	2                       	10                	Total account = 216; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 20	X	 7	  70.00	    176.7500	Weinholz 	Benthic Foraminifers                         	               	                  	1                 	                   	                        	1                 	Total account = 198; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 21	X	 1	  70.00	    177.6000	Weinholz 	Benthic Foraminifers                         	               	                  	                  	                   	                        	4                 	Total account = 98; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 21	X	 4	  66.00	    181.5900	Weinholz 	Benthic Foraminifers                         	               	                  	1                 	1                  	2                       	                  	Total account = 232; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 21	X	 8	  65.00	    187.4800	Weinholz 	Benthic Foraminifers                         	               	                  	                  	                   	9                       	                  	Total account = 52; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 22	X	 3	  50.00	    189.9000	Weinholz 	Benthic Foraminifers                         	               	                  	1                 	                   	1                       	3                 	Total account = 151; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 22	X	 5	  60.00	    193.0000	Weinholz 	Benthic Foraminifers                         	               	                  	1                 	1                  	3                       	                  	Total account = 214; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

  SR	                 	                 	                  	              	108	 658	A	 22	X	 7	  56.00	    195.9600	Weinholz 	Benthic Foraminifers                         	               	                  	                  	2                  	7                       	2                 	Total account = 152; from ODP Leg 108 SR Chapter 7 Table 2 p 115-116

