Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera sp. A,Triquetrorhabdulus farnsworthii,Syracosphaera spp.,Sphenolithus neoabies,Sphenolithus abies,Rhabdosphaera clavigera,Reticulofenestra pseudoumbilica,Reticulofenestra producta,Reticulofenestra minutula,Reticulofenestra minuta,Reticulofenestra gelida,Reticulofenestra bisecta,Pontosphaera spp.,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Neosphaera coccolithomorpha,Helicosphaera carteri,Florisphaera profunda,Discoaster variabilis,Discoaster surculus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster intercalaris,Discoaster brouweri,Discoaster berggrenii,Coccolithus pelagicus,Calcidiscus leptoporus,Amaurolithus delicatus,Amaurolithus amplificus,Schyphosphaera sp.,Reticulofenestra perplexa,Chiasmolithus solitus,Coccolithus streckerii,Triquetrorhabdulus rugosus,Helicosphaera euphratis,Calciosolenia murrayi,Amaurolithus primus,Micula decussata,Sphenolithus grandis,Helicosphaera intermedia,Cyclicargolithus floridanus,Calcidiscus macintyrei,Braarudosphaera bigelowii,Reticulofenestra umbilica,Prediscosphaera cretacea,Discoaster barbadiensis,Discoaster prepentaradiatus,Chiasmolithus altus,Amaurolithus tricorniculatus,Zygrhablithus bijugatus,Tetralithoides quadrilaminata,Umbilicosphaera sibogae var. foliosa,Placozygus sigmoides,Lithostromation perdurum,Ceratolithus atlanticus,Ceratolithus separatus,Discoaster blackstockae,Ceratolithus acutus,Ceratolithus armatus,Gephyrocapsa spp. (small),Sphenolithus moriformis,Ceratolithus rugosus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,CN10c             ,CN10d         ,164, 997,B,  4,X, 1,   0.00,    414.2000,Okada    ,Nannofossils                                 ,A              ,M                 ,A                    ,                               ,F                 ,F                    ,C                 ,R                      ,C                              ,C                        ,A                        ,A                      ,C                      ,                        ,F                ,R                     ,R                    ,R                     ,F                          ,C                    ,A                    ,F                    ,C                  ,                       ,C                       ,F                      ,C                  ,                     ,C                    ,C                     ,R                     ,                       ,R                 ,F                        ,                     ,R                     ,                          ,                       ,                     ,                   ,                ,                    ,                        ,                           ,R                     ,                         ,                         ,                        ,                       ,                           ,                   ,R                           ,                       ,                             ,                                    ,                    ,                        ,                       ,R                     ,                       ,                   ,R                   ,                         ,                       ,R                   ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,CN10b             ,              ,164, 997,B,  4,X,CC,   0.00,    416.1600,Okada    ,Nannofossils                                 ,A              ,M                 ,F                    ,                               ,F                 ,C                    ,A                 ,R                      ,C                              ,C                        ,A                        ,A                      ,F                      ,                        ,F                ,R                     ,R                    ,R                     ,F                          ,C                    ,A                    ,F                    ,C                  ,                       ,C                       ,F                      ,F                  ,                     ,C                    ,C                     ,R                     ,                       ,                  ,F                        ,                     ,R                     ,                          ,                       ,                     ,                   ,                ,                    ,                        ,                           ,R                     ,                         ,                         ,                        ,                       ,                           ,                   ,R                           ,                       ,                             ,                                    ,                    ,                        ,                       ,                      ,                       ,R                  ,R                   ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,CN10b             ,              ,164, 997,B,  5,X,CC,   0.00,    428.0600,Okada    ,Nannofossils                                 ,A              ,M                 ,F                    ,                               ,F                 ,F                    ,C                 ,R                      ,C                              ,C                        ,A                        ,A                      ,F                      ,                        ,F                ,R                     ,R                    ,R                     ,F                          ,C                    ,A                    ,F                    ,C                  ,                       ,C                       ,F                      ,C                  ,                     ,F                    ,C                     ,R                     ,                       ,R                 ,C                        ,                     ,R                     ,                          ,                       ,                     ,                   ,                ,                    ,                        ,                           ,R                     ,                         ,rR                       ,                        ,                       ,                           ,                   ,R                           ,                       ,                             ,                                    ,                    ,                        ,                       ,                      ,                       ,R                  ,R                   ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,CN10b             ,              ,164, 997,B,  8,X,CC,   0.00,    452.1000,Okada    ,Nannofossils                                 ,A              ,M                 ,F                    ,                               ,F                 ,F                    ,F                 ,R                      ,C                              ,C                        ,A                        ,A                      ,F                      ,                        ,R                ,R                     ,                     ,                      ,F                          ,F                    ,A                    ,F                    ,C                  ,                       ,C                       ,F                      ,C                  ,                     ,F                    ,F                     ,                      ,                       ,                  ,A                        ,                     ,                      ,                          ,                       ,                     ,                   ,                ,                    ,                        ,                           ,                      ,                         ,                         ,                        ,                       ,                           ,                   ,R                           ,                       ,                             ,                                    ,                    ,                        ,                       ,                      ,                       ,R                  ,R                   ,                         ,                       ,                    ,from shipboard Excel file of H. Okada(1767); Leg 164 file Paleo Data997B
