Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria barnesae,Quadrum trifidum,Quadrum sissinghii,Quadrum gothicum,Prediscosphaera cretacea,Pervilithus varius,Micula decussata,Micula concava,Marthasterites inconspicuus,Eiffellithus turriseiffelii,Cribrosphaerella ehrenbergii,Cretarhabdus crenulatus,Ceratolithoides aculeus,Aspidolithus parcus parcus,Tranolithus orionatus,Micula murus,Cretarhabdus conicus,Tegumentum stradneri,Micula swastica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,CC26              ,CC25          ,197,1204,B,  1,R, 1,   5.00,    810.7500,Siesser  ,Nannofossils                                 ,C              ,P                 ,C                   ,                ,                  ,                ,R                       ,                  ,C               ,C             ,                           ,                           ,F                           ,F                      ,C                      ,                          ,                     ,R           ,R                   ,R                   ,R              ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,CC26              ,CC25          ,197,1204,B,  1,R, 1,  10.00,    810.8000,Siesser  ,Nannofossils                                 ,C              ,P                 ,C                   ,                ,                  ,                ,R                       ,                  ,C               ,F             ,                           ,                           ,F                           ,R                      ,C                      ,                          ,                     ,R           ,R                   ,R                   ,               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,CC26              ,CC25          ,197,1204,B,  1,R, 1,  15.00,    810.8500,Siesser  ,Nannofossils                                 ,C              ,P                 ,C                   ,                ,                  ,                ,                        ,                  ,C               ,F             ,                           ,                           ,R                           ,                       ,C                      ,                          ,                     ,            ,                    ,                    ,               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,CC26              ,CC25          ,197,1204,B,  1,R, 1,  31.00,    811.0100,Siesser  ,Nannofossils                                 ,C              ,P                 ,C                   ,                ,                  ,                ,R                       ,                  ,C               ,F             ,                           ,                           ,F                           ,R                      ,C                      ,                          ,                     ,R           ,R                   ,R                   ,               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Maestrichtian    ,CC26              ,CC25          ,197,1204,B,  1,R, 1,  60.00,    811.3000,Siesser  ,Nannofossils                                 ,C              ,P                 ,C                   ,                ,                  ,                ,R                       ,                  ,C               ,F             ,                           ,                           ,F                           ,R                      ,C                      ,                          ,                     ,R           ,R                   ,                    ,               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Campanian        ,CC23              ,CC22(Perch-Nielsen),197,1204,B,  1,R, 2,  89.00,    813.0900,Siesser  ,Nannofossils                                 ,F              ,M                 ,R                   ,R               ,                  ,                ,                        ,                  ,R               ,R             ,                           ,                           ,                            ,R                      ,                       ,R                         ,                     ,            ,                    ,                    ,               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Campanian        ,CC23              ,CC22(Perch-Nielsen),197,1204,B,  1,R, 3,  19.00,    813.8900,Siesser  ,Nannofossils                                 ,F              ,M                 ,R                   ,R               ,R                 ,                ,                        ,                  ,R               ,R             ,                           ,R                          ,R                           ,R                      ,R                      ,                          ,R                    ,            ,                    ,                    ,               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Campanian        ,CC23              ,CC22(Perch-Nielsen),197,1204,B, 17,R, 3,  80.00,    948.0100,Siesser  ,Nannofossils                                 ,F              ,M                 ,F                   ,R               ,R                 ,R               ,R                       ,R                 ,R               ,R             ,R                          ,R                          ,R                           ,R                      ,R                      ,R                         ,                     ,            ,                    ,                    ,               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
