Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Neogloboquadrina pachyderma (sinistral),Globorotaloides hexagona,Globorotalia merotumida,Globorotalia limbata,Globoquadrina altispira,Globigerinoides trilobus,Globigerinoides obliquus obliquus,Globigerina nepenthes,Sphaeroidinellopsis kochi,Orbulina universa,Neogloboquadrina humerosa,Neogloboquadrina continuosa (dextral),Neogloboquadrina acostaensis (sinistral),Globorotalia scitula,Globoquadrina dehiscens,Globigerinita glutinata,Globoquadrina venezuelana,Sphaeroidinellopsis paenedehiscens,Neogloboquadrina acostaensis (dextral),Globigerinoides sacculifer,Neogloboquadrina pachyderma (dextral),Pulleniatina primalis,Globorotalia menardii,Globorotalia cibaoensis,Globorotalia miocenica,Globorotalia exilis,Globigerinoides obliquus extremus,Globorotalia margaritae,Globigerina decoraperta,Beella digitata,Globorotalia crassula,Pulleniatina praecursor,Neogloboquadrina continuosa (sinistral),Globorotalia tumida tumida,Globigerinella aequilateralis,Globigerina bulloides,Globorotalia puncticulata,Globigerina falconensis,Globorotalia crassaformis crassaformis,Globigerinoides conglobatus,Globorotalia tumida flexuosa,Globigerinoides ruber (white),Sphaeroidinella dehiscens,Globorotalia multicamerata,Neogloboquadrina pseudopima,Globigerinoides fistulosus,Globigerinoides sp. cf. G. fistulosus,Globigerinoides tenellus,Globorotalia crassaformis hessi,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Globorotalia truncatulinoides,Globorotalia triangula,Globorotalia inflata,Globigerinella calida,Globorotalia ungulata,Globigerinoides ruber (pink),Globigerina quinqueloba,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. truncatulinoides,              ,108, 664,D,  1,H,CC,   7.00,      2.2200,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                                       ,                        ,                       ,                    ,                       ,F                       ,                                 ,                     ,                         ,R                ,                         ,                                     ,                                        ,R                   ,                       ,R                      ,                         ,                                  ,                                      ,R                         ,C                                    ,                     ,                     ,                       ,                      ,                   ,                                 ,                       ,                       ,               ,R                    ,                       ,                                       ,                          ,R                            ,R                    ,                         ,                       ,                                      ,                           ,R                           ,C                            ,                         ,                          ,                           ,                          ,                                     ,                        ,R                              ,                            ,C                         ,R                            ,                      ,R                   ,R                    ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. truncatulinoides,              ,108, 664,D,  2,H,CC,  16.00,     12.1000,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                                       ,R                       ,                       ,                    ,                       ,R                       ,                                 ,                     ,                         ,R                ,                         ,                                     ,                                        ,R                   ,                       ,R                      ,                         ,                                  ,                                      ,R                         ,F                                    ,                     ,F                    ,                       ,                      ,                   ,R                                ,                       ,                       ,               ,                     ,                       ,                                       ,                          ,R                            ,                     ,                         ,                       ,                                      ,                           ,                            ,C                            ,                         ,                          ,                           ,                          ,                                     ,                        ,R                              ,R                           ,F                         ,R                            ,                      ,R                   ,R                    ,                     ,R                           ,R                      ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. truncatulinoides,              ,108, 664,D,  3,H,CC,  12.00,     21.4400,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                                       ,                        ,                       ,                    ,                       ,C                       ,                                 ,                     ,                         ,R                ,                         ,                                     ,                                        ,                    ,                       ,R                      ,                         ,                                  ,                                      ,                          ,C                                    ,                     ,                     ,                       ,                      ,                   ,                                 ,                       ,                       ,               ,                     ,                       ,                                       ,                          ,R                            ,                     ,                         ,                       ,                                      ,                           ,                            ,R                            ,                         ,                          ,                           ,                          ,                                     ,                        ,R                              ,C                           ,C                         ,R                            ,                      ,R                   ,                     ,                     ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. truncatulinoides,              ,108, 664,D,  4,H,CC,   9.00,     30.7600,Weaver   ,Planktonic Foraminifers                      ,A              ,G                 ,                              ,                                       ,                        ,                       ,                    ,                       ,C                       ,                                 ,                     ,                         ,R                ,                         ,                                     ,                                        ,                    ,                       ,R                      ,                         ,                                  ,                                      ,R                         ,                                     ,                     ,R                    ,                       ,                      ,                   ,                                 ,                       ,                       ,               ,                     ,                       ,                                       ,                          ,R                            ,                     ,                         ,                       ,                                      ,R                          ,                            ,C                            ,R                        ,                          ,                           ,                          ,P                                    ,                        ,R                              ,C                           ,C                         ,R                            ,                      ,R                   ,R                    ,R                    ,                            ,                       ,from ODP Leg 108 SR Chapter 5 Table 12 p 86
