Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Trinovantedinium capitatum,Tectatodinium sp. III,Tectatodinium sp. II,Tectatodinium sp. I,Tectatodinium sp.,Tectatodinium simplex,Tectatodinium pellitum,Systematophora placacantha,Stelladinium reidii,Spiniferites spp.,"Spiniferites sp. ""TS""",Spiniferites scabratus,Spiniferites rubinus,Spiniferites pachyderma,Spiniferites elongatus,Spiniferites bentorii,Selenopemphix nephroides,Reticulatosphaera actinocoronata,Polysphaeridium zoharyi,Platycystidia sp. 1,Peridinium faeroense,Pentadinium laticinctum,Pediastrum sp.,Palaeostomocystis spp.,Operculodinium wallii,Operculodinium sp.,Operculodinium sp.,Operculodinium longispinigerum,Operculodinium israelianum,Operculodinium echigoense,Operculodinium crassum,Operculodinium centrocarpum,Nematosphaeropsis oblonga,Nematosphaeropsis lemniscata,Nematosphaeropsis labyrinthea,Multispinula minuta,Melitasphaeridium choanophorum,Lingulodinium machaerophorum,Labyrinthodinium truncatum,Impletosphaeridium spp.,Impagidinium spp.,Impagidinium sphaericum,Impagidinium pallidum,Impagidinium multiplexum,Impagidinium aquaeductum,Hystrichosphaeropsis pontiana,Hystrichokolpoma sp.,Hystrichokolpoma rigaudiae,Filisphaera filifera,Dinocyst sp. 1,Dapsilidinium pastielsii,Cymatiosphaera sp. 1,Cyclopsiella elliptica,Corrudinium harlandii,Brigantedinium sp. group B,Brigantedinium sp. group A,Brigantedinium simplex,Bitectatodinium tepikiense,Batiacasphaera sphaerica,Batiacasphaera sp. II,Ataxiodinium choanum,Amiculosphaera umbracula,Achomosphaera sp. A,Achomosphaera ramulifera,Achomosphaera andalousiensis,?Pyxidiella sp. 1,?Labyrinthodinium sp. 1,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,104, 642,A,  1,H, 2, 100.00,      3.8000,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,R                     ,-                         ,-                  ,R                ,-                    ,-                     ,-                   ,-                      ,R                     ,R                    ,-                       ,-                               ,-                      ,-                  ,R                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,A                          ,-                        ,-                           ,R                            ,R                  ,-                             ,-                           ,-                         ,-                      ,R                ,-                      ,R                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,R                         ,R                     ,C                         ,-                       ,-                    ,R                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,104, 642,A,  1,H, 3, 100.00,      5.3000,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,A                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,R             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,-                            ,-                  ,-                             ,R                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,R                     ,C                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,104, 642,A,  1,H, 4, 100.00,      6.8000,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,-                     ,-                         ,-                  ,C                ,-                    ,-                     ,-                   ,-                      ,-                     ,-                    ,-                       ,-                               ,-                      ,-                  ,R                   ,-                      ,-             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,C                          ,-                        ,-                           ,-                            ,R                  ,-                             ,R                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,-                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,-                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,104, 642,A,  1,H, 5, 100.00,      8.3000,Mudie    ,Dinoflagellates/Acritarchs/Prasinophytes     ,               ,                  ,-                         ,-                    ,-                   ,-                  ,-                ,-                    ,R                     ,-                         ,-                  ,C                ,-                    ,-                     ,-                   ,-                      ,R                     ,-                    ,-                       ,-                               ,-                      ,-                  ,-                   ,-                      ,R             ,-                     ,-                    ,-                 ,-                 ,-                             ,-                         ,-                        ,-                     ,A                          ,-                        ,-                           ,-                            ,C                  ,-                             ,R                           ,-                         ,-                      ,-                ,-                      ,-                    ,-                       ,-                       ,-                            ,-                   ,-                         ,-                   ,-             ,-                       ,-                   ,-                     ,-                    ,-                         ,-                         ,-                     ,R                         ,-                       ,-                    ,-                   ,-                       ,-                  ,-                       ,R                           ,-                ,-                      ,from ODP 104 SR Chapter 31 Fig 5 p 593
