Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unilocular species,Pullenia sp.,Pullenia quinqueloba,Pullenia osloensis,Pleurostomella sp.,Oridorsalis umbonatus,Nuttallides umbonifera,Melonis pompilioides,Laticarinina pauperata,Ioanella tumidula,Gyroidinoides lamarckianus,Gyroidina umbonata,Globocassidulina subglobosa,Epistominella sp. A,Epistominella exigua,Discorbinella bertheloti,Cibicidoides wuellerstorfi,Cibicidoides mundulus,Bolivina pacifica,Alabaminella weddellensis,Tosaia hanzawai,Siphotextularia catenata,Schackoinella sp.,Oridorsalis tenera,Miliolid taxa,Gyroidina orbicularis,Cibicides  bradyi,Bulimina sp. A,Pyrgo murrhina,Pullenia zaandamae,Gyroidinoides neosoldanii,Uvigerina hispida,Melonis barleeanus,Gyroidina regularis,Miliolid taxa (thin-walled),Cassidulina spp.,Bolivina spp.,Astrononion echolsi,Nonionella sp.,Abditodentrix pseudothalmanni,Sphaeroidina bulloides,Gyroidina spp.,Pyrgo sp.,Cibicidoides kullenbergi,Anomalinoides globulosus,Stainforthia fusiformis,Pullenia bulloides,Orthomorphina sp.,Pseudoparrella sp.,Cibicides lobatulus,Uvigerina spp.,Nodogenerina sp.,Uvigerina peregrina,Oridorsalis sp.,Cibicidoides robertsonianus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  1,H, 1,  60.00,      0.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,            ,16                  ,5                 ,                  ,6                    ,7                     ,                    ,                      ,7                ,9                         ,1                 ,24                         ,                   ,36                  ,                        ,9                         ,                     ,                 ,45                       ,4              ,9                       ,                 ,                  ,3            ,1                    ,                 ,              ,              ,                  ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,2                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 12; Total count = 207; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  1,H, 2,  60.00,      2.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,5                 ,6           ,11                  ,5                 ,                  ,18                   ,13                    ,                    ,                      ,14               ,6                         ,2                 ,12                         ,                   ,36                  ,                        ,6                         ,9                    ,                 ,57                       ,5              ,4                       ,                 ,                  ,3            ,                     ,                 ,              ,1             ,                  ,                         ,                 ,3                 ,                   ,                           ,1               ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 4; Total count = 222; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  2,H, 1,  60.00,      5.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,1           ,9                   ,2                 ,                  ,4                    ,49                    ,                    ,                      ,7                ,3                         ,2                 ,6                          ,                   ,30                  ,1                       ,                          ,5                    ,                 ,25                       ,6              ,3                       ,4                ,                  ,5            ,                     ,                 ,              ,1             ,                  ,                         ,                 ,1                 ,                   ,2                          ,                ,             ,                   ,              ,                             ,                      ,              ,1        ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,2                          ,Other taxa = 13; Total count = 193; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A,  2,H, 2,  60.00,      6.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,3                 ,1           ,13                  ,3                 ,                  ,13                   ,60                    ,                    ,                      ,3                ,1                         ,5                 ,2                          ,                   ,26                  ,                        ,                          ,5                    ,                 ,40                       ,4              ,5                       ,                 ,                  ,             ,2                    ,                 ,              ,              ,                  ,                         ,                 ,2                 ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 4; Total count = 192; from Leg 154SR Ch 27 Table 3
