Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorys redondoensis,Stylosphaera minor,Stichocorys peregrina,Prunopyle hayesi,Ommatartus sp D,Eucyrtidium cienkowskii,Cyrtocapsella tetrapera,Cyrtocapsella japonica,Cannartus sp. C,Stichocorys delmontensis,Lychnocanoma nipponica nipponica,Stylacontarium acquilonium,Spongoplegma haeckeli,Spongoplegma antarcticum,Sphaeropyle robusta,Prunopyle titan,Eucyrtidium biconicum,Druppatractus irregularis,Carpocanistrum ob,Botryostrobus auritus/australis,Phormostichoartus fistula,Lithelius nautiloides,Eucyrtidium teuscheri group,Dictyophimus splendens,Axoprunum angelinum,Acrosphaera murrayana,Antarctissa denticulata,Theocorythium vetulum,Spongoplegma churchii,Sphaeropyle langii,Lamprocyrtis heteroporos,Desmospyris spongiosa,Botryostrobus bramlettei pretumidulus,Antarctissa deflandrei,Thecosphaera japonica,Spongotrochus glacialis,Cycladophora humerus,Botryostrobus bramlettei tumidulus,Theocorythium trachelium trachelium,Theocorys longithorax,Lipmanella japonica,Eucyrtidium punctatum,Sphaeropyle antarctica,Pterocanium prismatium,Lychnocanoma grande,Lipmanella deflandrei,Cycladophora spongothorax,Spongoplegma variabile,Lamprocyrtis nigriniae,Cycladophora pliocenica,Cycladophora davisiana,Stylatractus neptunus,Lychnocanoma aff. grande,Lamprocyrtis hannai,Haliommetta miocenica,Botryostrobus bramlettei seriatus,Triceraspyris antarctica,Saccospyris antarctica,Eucyrtidium calvertense,Botryostrobus aquilonaris,Antarctissa sp. G,Pseudocubus warreni,Antarctissa strelkovi,Stylatractus universus,Sphaeropyle boreale,Cycladophora antiqua,Actinomma popofskii,Lampromitra coronata,Saturnalis circularis,Spongoplegma medianum,Pterocanium charybdeum trilobum,Pseudocubus vema,Anthocyrtidium ehrenbergi,Anthocyrtidium angulare,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,E. calvertense Zone,E. calvertense Zone,189,1169,A,  1,H,CC,  17.00,      8.5200,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                  ,                     ,                ,               ,C                      ,                       ,                      ,               ,                        ,                                ,R                         ,                     ,F                       ,T                  ,               ,C                    ,                         ,                 ,R                              ,                         ,R                    ,R                          ,                      ,T                  ,                     ,F                      ,F                    ,                     ,F                 ,R                       ,                     ,T                                    ,                      ,                     ,R                      ,                    ,                                  ,                                   ,                     ,                   ,T                    ,T                     ,                      ,                   ,                     ,                         ,                      ,                      ,F                      ,R                     ,R                    ,                        ,R                  ,                     ,R                                ,T                       ,R                     ,F                      ,                         ,                 ,                   ,F                    ,R                     ,R                  ,                    ,C                  ,                    ,                     ,R                    ,T                              ,                ,                         ,R                      ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,E. calvertense Zone,E. calvertense Zone,189,1169,A,  2,H,CC,  12.00,     15.0400,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,T                 ,                     ,                ,               ,F                      ,                       ,                      ,               ,                        ,                                ,F                         ,R                    ,A                       ,                   ,               ,C                    ,                         ,                 ,T                              ,                         ,                     ,R                          ,                      ,F                  ,                     ,                       ,F                    ,                     ,R                 ,R                       ,                     ,T                                    ,                      ,                     ,                       ,                    ,                                  ,                                   ,                     ,                   ,                     ,                      ,                      ,                   ,                     ,                         ,                      ,                      ,C                      ,T                     ,F                    ,                        ,T                  ,                     ,                                 ,T                       ,                      ,F                      ,T                        ,R                ,                   ,F                    ,                      ,R                  ,                    ,C                  ,                    ,T                    ,                     ,T                              ,                ,T                        ,                       ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,E. calvertense Zone,E. calvertense Zone,189,1169,A,  3,H,CC,  15.00,     27.9000,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                  ,                     ,                ,               ,                       ,                       ,                      ,               ,                        ,                                ,F                         ,                     ,C                       ,                   ,               ,F                    ,                         ,                 ,F                              ,                         ,                     ,R                          ,                      ,R                  ,                     ,                       ,C                    ,                     ,F                 ,R                       ,                     ,T                                    ,                      ,                     ,T                      ,                    ,                                  ,R                                  ,                     ,                   ,T                    ,T                     ,                      ,                   ,                     ,                         ,                      ,                      ,F                      ,T                     ,R                    ,                        ,T                  ,                     ,T                                ,T                       ,                      ,                       ,                         ,                 ,                   ,                     ,                      ,R                  ,                    ,F                  ,                    ,T                    ,                     ,                               ,                ,                         ,                       ,       ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,E. calvertense Zone,E. calvertense Zone,189,1169,A,  4,H,CC,  10.00,     37.3500,rads     ,Radiolarians                                 ,C              ,G                 ,                      ,                  ,                     ,                ,               ,                       ,                       ,                      ,               ,                        ,                                ,R                         ,                     ,F                       ,F                  ,               ,C                    ,                         ,T                ,F                              ,                         ,                     ,R                          ,                      ,T                  ,                     ,T                      ,R                    ,                     ,R                 ,F                       ,                     ,T                                    ,                      ,                     ,                       ,R                   ,T                                 ,T                                  ,                     ,                   ,T                    ,T                     ,                      ,                   ,                     ,F                        ,                      ,T                     ,C                      ,T                     ,R                    ,                        ,                   ,                     ,                                 ,C                       ,R                     ,F                      ,T                        ,F                ,                   ,F                    ,T                     ,                   ,                    ,F                  ,                    ,                     ,                     ,                               ,                ,                         ,                       ,       ,
