Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra perplexa,Discoaster variabilis,Cyclicargolithus floridanus,Calcidiscus macintyrei,Reticulofenestra pseudoumbilica,Reticulofenestra minuta,Calcidiscus premacintyrei,Dictyococcites productus,Coccolithus pelagicus,Discoaster brouweri,Discoaster asymmetricus,Amaurolithus delicatus,Calcidiscus leptoporus,Helicosphaera sellii,Discoaster surculus,Ceratolithus rugosus,Amaurolithus primus,Discoaster tamalis,Discoaster challengeri,Helicosphaera kamptneri,Ceratolithus armatus,Pseudoemiliania lacunosa,Gephyrocapsa spp. (small),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,CN14a             ,CN14a         ,189,1169,A,  1,H,CC,  17.00,      8.5200,nannos   ,Nannofossils                                 ,A              ,G                 ,                         ,                     ,                           ,R                     ,R                              ,                       ,                         ,                        ,                     ,                   ,                       ,                      ,                      ,                    ,                   ,                    ,                   ,                  ,                      ,                       ,                    ,F                       ,A                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CN14              ,CN13          ,189,1169,A,  2,H,CC,  12.00,     15.0400,nannos   ,Nannofossils                                 ,A              ,G                 ,                         ,                     ,                           ,F                     ,                               ,                       ,                         ,                        ,A                    ,                   ,                       ,                      ,A                     ,R                   ,                   ,                    ,                   ,                  ,                      ,                       ,                    ,A                       ,R                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,CN12b             ,CN12a         ,189,1169,A,  3,H,CC,  15.00,     27.9000,nannos   ,Nannofossils                                 ,A              ,M                 ,R                        ,                     ,                           ,A                     ,                               ,                       ,                         ,                        ,A                    ,R                  ,                       ,                      ,A                     ,                    ,R                  ,                    ,                   ,                  ,                      ,R                      ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,                 ,CN11b             ,              ,189,1169,A,  4,H,CC,  10.00,     37.3500,nannos   ,Nannofossils                                 ,A              ,G                 ,R                        ,                     ,                           ,A                     ,F                              ,                       ,                         ,                        ,A                    ,                   ,                       ,                      ,A                     ,                    ,                   ,                    ,                   ,                  ,                      ,F                      ,                    ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,                 ,CN10c             ,              ,189,1169,A,  5,H,CC,  11.00,     46.7900,nannos   ,Nannofossils                                 ,A              ,G                 ,                         ,                     ,                           ,F                     ,                               ,                       ,                         ,                        ,A                    ,                   ,                       ,                      ,A                     ,R                   ,R                  ,R                   ,F                  ,                  ,                      ,                       ,                    ,                        ,                         ,       
