Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina peregrina	Melonis pompilioides	Hoeglundina elegans	Globobulimina affinis	Fontbotia wuellerstorfi	Bulimina gr. costata	Valvulineria laevigata	Pyrgo spp.	Globocassidulina subglobosa	Cassidulina carinata	Bulimina marginata	Bolivinita quadrilatera	Chilostomella oolina	Bulimina aculeata	Brizalina subaenariensis	Pullenia bulloides	Bolivina pseudopunctata	Melonis barleeanus	Elphidium spp.	Lagena spp.	Comment



  IR	                 	                 	                  	              	172	1059	B	  1	H	CC	  11.00	      6.7000	Poli     	Benthic Foraminifers                         	F              	M                 	R                  	R                   	                   	C                    	                       	                    	R                     	          	                           	R                   	R                 	                       	C                   	                 	                        	R                 	T                      	                  	              	T          	       

  IR	                 	                 	                  	              	172	1059	B	  2	H	CC	  15.00	     16.3600	Poli     	Benthic Foraminifers                         	F              	M                 	F                  	                    	                   	C                    	                       	                    	T                     	          	T                          	T                   	                  	F                      	C                   	                 	                        	                  	R                      	T                 	T             	           	       

  IR	                 	                 	                  	              	172	1059	B	  3	H	CC	  20.00	     26.0600	Poli     	Benthic Foraminifers                         	F              	M                 	T                  	T                   	                   	A                    	                       	                    	                      	          	                           	                    	                  	C                      	R                   	                 	                        	                  	                       	                  	              	           	       

  IR	                 	                 	                  	              	172	1059	B	  4	H	CC	  23.00	     35.6600	Poli     	Benthic Foraminifers                         	F              	M                 	F                  	F                   	                   	C                    	                       	                    	R                     	          	                           	T                   	R                 	                       	F                   	                 	                        	                  	T                      	                  	              	           	       

  IR	                 	                 	                  	              	172	1059	B	  5	H	CC	  32.00	     45.4100	Poli     	Benthic Foraminifers                         	F              	M                 	R                  	R                   	                   	F                    	                       	                    	T                     	          	                           	T                   	R                 	F                      	F                   	                 	                        	R                 	T                      	                  	              	           	       

  IR	                 	                 	                  	              	172	1059	B	  6	H	CC	  32.00	     54.9000	Poli     	Benthic Foraminifers                         	F              	M                 	F                  	F                   	                   	C                    	                       	                    	R                     	          	                           	T                   	T                 	C                      	                    	T                	T                       	                  	                       	                  	              	           	       

  IR	                 	                 	                  	              	172	1059	B	  7	H	CC	  32.00	     64.4000	Poli     	Benthic Foraminifers                         	F              	M                 	F                  	R                   	                   	F                    	F                      	                    	T                     	          	                           	T                   	R                 	R                      	                    	T                	                        	                  	                       	                  	              	           	       

  IR	                 	                 	                  	              	172	1059	B	  8	H	CC	  17.00	     73.7600	Poli     	Benthic Foraminifers                         	F              	M                 	R                  	F                   	                   	F                    	C                      	T                   	                      	          	                           	T                   	                  	                       	R                   	                 	                        	                  	                       	                  	              	           	       

  IR	                 	                 	                  	              	172	1059	B	  9	H	CC	  32.00	     83.3600	Poli     	Benthic Foraminifers                         	F              	M                 	F                  	R                   	                   	F                    	F                      	                    	T                     	F         	T                          	R                   	R                 	R                      	                    	                 	                        	                  	                       	                  	              	           	       

  IR	                 	                 	                  	              	172	1059	B	 10	H	CC	  18.00	     91.3000	Poli     	Benthic Foraminifers                         	F              	M                 	F                  	R                   	T                  	C                    	C                      	F                   	                      	          	                           	                    	                  	                       	                    	                 	                        	                  	                       	                  	              	           	       

