Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Truncorotalia truncatulinoides (sin.),Truncorotalia truncatulinoides (dex.),Truncorotalia crassaformis,Sphaeroidinella dehiscens,Pulleniatina obliquiloculata,Neogloboquadrina pachyderma,Globoconella inflata,Globigerina bulloides,Menardella menardii (sinistral),Menardella menardii (dextral),Hirsutella hirsuta,Hastigerina pelagica,Globoturborotalita rubescens,Globorotalia tumida,Globigerina falconensis,Globigerina bermudezi,Globigerinella calida,Globorotalia tumida flexuosa,Truncorotalia crassaformis hessi,Globigerinoides obliquus,Globigerinoides fistulosus,Globigerinoides extremus,Comment, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1057,A,1,H,CC,10,7.47,Chaisson ,Planktonic Foraminifers                      ,C              ,VG                ,-                                    ,+                                    ,                          ,                         ,+                           ,                           ,+                   ,                     ,-                              ,-                            ,                  ,                    ,+                           ,-                  ,                       ,                     ,                     ,-                           ,                                ,-                       ,-                         ,-                       ,no menardii,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1057,A,2,H,3,70,11.2,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,                          ,-                        ,+                           ,                           ,+                   ,                     ,-                              ,+                            ,                  ,                    ,                            ,+                  ,                       ,                     ,                     ,-                           ,                                ,                        ,                          ,                        ,<0.068,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1057,A,2,H,4,70,12.7,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,                          ,                         ,+                           ,                           ,+                   ,                     ,                               ,                             ,                  ,                    ,                            ,                   ,                       ,                     ,                     ,+                           ,                                ,                        ,                          ,                        ,>0.068,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1057,A,2,H,CC,28,17.29,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,+                                    ,+                         ,                         ,                            ,                           ,+                   ,                     ,                               ,                             ,                  ,                    ,                            ,-                  ,                       ,                     ,                     ,-                           ,                                ,                        ,                          ,                        ,no menardii,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,172,1057,A,3,H,4,66,22.16,Chaisson ,Planktonic Foraminifers                      ,C              ,G                 ,-                                    ,F                                    ,-                         ,-                        ,R                           ,-                          ,F                   ,-                    ,R                              ,-                            ,F                 ,-                   ,-                           ,R                  ,                       ,-                    ,-                    ,                            ,                                ,                        ,                          ,                        ,no flexuosa<0.068 Ma,
