Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Helicosphaera wallichii,Helicosphaera carteri,Gephyrocapsa spp. (small),Gephyrocapsa spp. (large),Calcidiscus leptoporus,Gephyrocapsa sp. medium,Gephyrocapsa sp.3 medium,Scyphosphaera spp.,Helicosphaera inversa,Emiliania huxleyi,Gephyrocapsa omega,Ceratolithus telesmus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A,  1,H,CC,  10.00,      7.4700,Raffi    ,Nannofossils                                 ,A              ,G                 ,                       ,                        ,                       ,                     ,                         ,C                        ,                      ,                       ,                        ,                  ,                     ,A                ,A                 ,                     ,E huxleyi Acme (< 0.085)- terrigenous input
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A,  2,H,CC,  28.00,     17.2900,Raffi    ,Nannofossils                                 ,A              ,M                 ,                       ,                        ,+                      ,                     ,+                        ,                         ,+                     ,+                      ,                        ,+                 ,                     ,+                ,+                 ,+                    ,> 0.085< 0.26- terrigenous component abundant- D saipanensis reworked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A,  3,H,CC,  19.00,     26.9800,Raffi    ,Nannofossils                                 ,A              ,G                 ,                       ,-                       ,                       ,                     ,A                        ,A                        ,                      ,A                      ,                        ,                  ,                     ,                 ,                  ,                     ,> 0.26 ?< 0.46- E huxleyi non-evident
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A,  4,H,CC,  25.00,     36.6000,Raffi    ,Nannofossils                                 ,A              ,G                 ,                       ,-                       ,                       ,                     ,A                        ,                         ,+                     ,A                      ,                        ,+                 ,F                    ,-                ,                  ,                     ,> 0.26 < 0.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A,  5,H,CC,  30.00,     46.1800,Raffi    ,Nannofossils                                 ,A              ,                  ,                       ,A                       ,C                      ,                     ,A                        ,                         ,                      ,D                      ,                        ,                  ,                     ,                 ,                  ,                     ,> 0.46< 0.96- some terrigenous input
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1057,A,  6,H,CC,  28.00,     55.6200,Raffi    ,Nannofossils                                 ,C              ,M                 ,                       ,A                       ,                       ,                     ,C                        ,                         ,                      ,C                      ,F                       ,                  ,                     ,                 ,                  ,                     ,> 0.46< 0.96- dilution by terrigenous input
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
