Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reinhardtites levis	Micula staurophora	Eiffellithus turriseiffelii	Ceratolithoides aculeus	Arkhangelskiella cymbiformis	Micula murus	Lithraphidites quadratus	Ceratolithoides kamptneri	Micula prinsii	Prinsius dimorphosus	Chiasmolithus edwardsii	Chiasmolithus danicus	Neochiastozygus modestus	Fasciculithus pileatus	Cruciplacolithus tenuis	Chiasmolithus bidens	Toweius eminens	Toweius crassus	Fasciculithus tympaniformis	Ericsonia robusta	Discoaster nobilis	Discoaster mohleri	Discoaster multiradiatus	Tribrachiatus orthostylus	Sphenolithus radians	Ericsonia formosa	Ellipsolithus macellus	Discoaster lodoensis	Discoaster kuepperi	Discoaster barbadiensis	Chiasmolithus solitus	Discoaster sublodoensis	Clausicoccus subdistichus	Chiasmolithus grandis	Toweius magnicrassus	Discoaster saipanensis	Chiphragmalithus armatus	Chiasmolithus gigas	Reticulofenestra umbilica	Sphenolithus predistentus	Sphenolithus abies	Reticulofenestra pseudoumbilicus	Discoaster deflandrei	Cyclicargolithus floridanus	Coccolithus miopelagicus	Calcidiscus premacintyrei	Discoaster variabilis	Catinaster coalitus	Calcidiscus macintyrei	Discoaster pentaradiatus	Discoaster brouweri	Amaurolithus spp.	Discoaster surculus	Discoaster asymmetricus	Ceratolithus rugosus	Discoaster tamalis	Pseudoemiliania lacunosa	Gephyrocapsa large	Reticulofenestra asanoi	Gephyrocapsa (small)	Comment



  IR	                 	                 	CN14b             	CN14b         	198	1210	A	  1	H	CC	  20.00	      5.8500	nannos   	Nannofossils                                 	A              	G                 	                   	                  	                           	                       	                            	            	                        	                         	              	                    	                       	                     	                        	                      	                       	                    	               	               	                           	                 	                  	                  	                        	                         	                    	                 	                      	                    	                   	                       	                     	                       	                         	                     	                    	                      	                        	                   	                         	                         	                  	                                	                     	                           	                        	                         	                     	                   	                      	                        	                   	                 	                   	                       	                    	                  	                        	                  	                       	D                   	       

  IR	                 	                 	CN14a             	CN13b         	198	1210	A	  2	H	CC	  10.00	     15.5900	nannos   	Nannofossils                                 	A              	M                 	                   	                  	                           	                       	                            	            	                        	                         	              	                    	                       	                     	                        	                      	                       	                    	               	               	                           	                 	                  	                  	                        	                         	                    	                 	                      	                    	                   	                       	                     	                       	                         	                     	                    	                      	                        	                   	                         	                         	                  	                                	                     	                           	                        	                         	                     	                   	                      	                        	                   	                 	                   	                       	                    	                  	A                       	                  	F                      	A                   	       

  IR	                 	                 	CN14a             	CN13b         	198	1210	A	  3	H	CC	  32.00	     25.4100	nannos   	Nannofossils                                 	               	                  	                   	                  	                           	                       	                            	            	                        	                         	              	                    	                       	                     	                        	                      	                       	                    	               	               	                           	                 	                  	                  	                        	                         	                    	                 	                      	                    	                   	                       	                     	                       	                         	                     	                    	                      	                        	                   	                         	                         	                  	                                	                     	                           	                        	                         	                     	                   	                      	                        	                   	                 	                   	                       	R                   	                  	F                       	F                 	                       	                    	       

  IR	                 	                 	CN13b             	CN13a         	198	1210	A	  4	H	CC	  26.00	     34.7700	nannos   	Nannofossils                                 	A              	M                 	                   	                  	                           	                       	                            	            	                        	                         	              	                    	                       	                     	                        	                      	                       	                    	               	               	                           	                 	                  	                  	                        	                         	                    	                 	                      	                    	                   	                       	                     	                       	                         	                     	                    	                      	                        	                   	                         	                         	                  	                                	                     	                           	                        	                         	                     	                   	C                     	                        	                   	                 	                   	                       	                    	                  	C                       	                  	                       	                    	       
