Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis kochi,Orbulina universa,Globoturborotalita nepenthes,Globorotaloides variabilis,Globorotaloides hexagona,Globoquadrina venezuelana,Globoquadrina baroemoenensis,Globigerinoides obliquus s.l.,Globigerinoides quadrilobatus s.l.,Dentoglobigerina altispira altispira,Globorotalia limbata,Dentoglobigerina altispira globosa,Globorotalia menardii,Neogloboquadrina acostaensis,Globorotalia plesiotumida,Globigerinella siphonifera,Globorotalia scitula,Globoquadrina dehiscens,Orbulina suturalis,Globigerinoides conglobatus,Globorotalia tumida,Sphaeroidinellopsis disjuncta,Turborotalita humilis,Sphaeroidinellopsis paenedehiscens,Sphaeroidinella dehiscens,Pulleniatina primalis (sin.),Pulleniatina primalis (dex.),Neogloboquadrina pachyderma (sin.),Neogloboquadrina pachyderma (dex.),Neogloboquadrina dutertrei,Globorotalia menardii (sin.),Globorotalia menardii (dex.),Globigerinoides sacculifer (without sack),Globigerinoides sacculifer,Globigerinoides obliquus,Globigerinita glutinata,Globigerinella aequilateralis,Globigerina woodi,Globigerina nepenthes,Globigerina bulloides,Globigerina apertura,Dentoglobigerina altispira,Beella praedigitata,Globorotalia ungulata,Globorotalia crassula,Globigerinoides ruber,Globigerinoides fistulosus,Pulleniatina obliquiloculata,Globorotalia tosaensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,N22               ,              ,138, 852,B,  1,H, 4,  19.00,      4.6900,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,                              ,                         ,1                ,                            ,                          ,1                       ,                         ,1                           ,                             ,                                  ,                                    ,                    ,                                  ,                     ,                            ,                         ,                          ,2                   ,                       ,                  ,0                          ,39                 ,                             ,0                    ,                                  ,0                        ,1                           ,15                          ,11                                ,0                                 ,76                        ,0                           ,41                          ,11                                       ,12                        ,3                       ,27                     ,1                            ,4                ,                     ,23                   ,                    ,                          ,0                  ,0                    ,                     ,0                    ,                          ,21                          ,                      ,Total count = 290; from ODP Leg 138 SR Chapter 25 Appendix A p 590
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,N22               ,              ,138, 852,B,  2,H, 4,  20.00,     13.6000,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,                              ,                         ,9                ,                            ,                          ,0                       ,2                        ,0                           ,                             ,                                  ,                                    ,                    ,                                  ,                     ,                            ,                         ,                          ,0                   ,                       ,                  ,5                          ,42                 ,                             ,0                    ,                                  ,11                       ,6                           ,3                           ,26                                ,0                                 ,145                       ,7                           ,18                          ,6                                        ,0                         ,                        ,4                      ,2                            ,0                ,                     ,4                    ,                    ,                          ,2                  ,0                    ,                     ,3                    ,                          ,12                          ,2                     ,Total count = 309; from ODP Leg 138 SR Chapter 25 Appendix A p 590
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,Pleistocene      ,N22               ,              ,138, 852,B,  3,H, 4,  21.00,     23.1100,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,1                             ,                         ,3                ,                            ,                          ,5                       ,                         ,0                           ,                             ,                                  ,                                    ,                    ,                                  ,                     ,14                          ,                         ,                          ,1                   ,                       ,                  ,1                          ,90                 ,                             ,0                    ,                                  ,20                       ,12                          ,0                           ,6                                 ,0                                 ,64                        ,0                           ,23                          ,14                                       ,11                        ,                        ,5                      ,4                            ,1                ,                     ,3                    ,                    ,                          ,0                  ,0                    ,                     ,9                    ,                          ,13                          ,0                     ,Total count = 300; from ODP Leg 138 SR Chapter 25 Appendix A p 590
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,N19-N20           ,              ,138, 852,B,  4,H, 4,  21.00,     32.6100,Chaisson ,Planktonic Foraminifers                      ,               ,                  ,                              ,                         ,8                ,                            ,                          ,4                       ,1                        ,0                           ,                             ,                                  ,                                    ,                    ,                                  ,                     ,69                          ,                         ,                          ,0                   ,                       ,                  ,0                          ,98                 ,                             ,0                    ,2                                 ,11                       ,12                          ,0                           ,14                                ,2                                 ,5                         ,0                           ,0                           ,20                                       ,8                         ,7                       ,18                     ,7                            ,12               ,                     ,0                    ,0                   ,                          ,1                  ,0                    ,1                    ,10                   ,1                         ,                            ,                      ,Total count = 311; from ODP Leg 138 SR Chapter 25 Appendix A p 590
