Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Distephanus speculum giganteus,Distephanus boliviensis,Dictyocha varia,Dictyocha extensa extensa,Distephanus crux,Dictyocha perlaevis,Dictyocha fibula mutabilis,Dictyocha fibula fibula,Dictyocha calida calida,Bachmannocena circulus,Distephanus speculum speculum,Bachmannocena elliptica,Distephanus quinquangellus,Distephanus speculum tenuis,Dictyocha messanensis,Dictyocha delicata,Dictyocha aculeata subaculeata,Dictyocha aculeata aculeata,Bachmannocena quadrangula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,D. aculeata       ,              ,138, 852,B,  1,H, 1, 120.00,      1.2000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                       ,               ,                         ,                ,                   ,                          ,                       ,                       ,                      ,                             ,                       ,                          ,                           ,17                   ,                  ,                              ,                           ,                         ,Total count = 17; from ODP 138 SR Chapter 8 Table 9 p 144-145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,B. quadrangula    ,              ,138, 852,B,  2,H, 1, 120.00,     10.1000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                       ,               ,                         ,                ,27                 ,                          ,                       ,                       ,1                     ,                             ,                       ,                          ,                           ,28                   ,                  ,1                             ,2                          ,29                       ,Total count = 90; from ODP 138 SR Chapter 8 Table 9 p 144-145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. messanensis    ,              ,138, 852,B,  3,H, 1, 120.00,     19.6000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,1                             ,                       ,               ,                         ,                ,38                 ,                          ,                       ,                       ,                      ,2                            ,                       ,                          ,                           ,105                  ,                  ,                              ,                           ,                         ,Total count = 155; from ODP 138 SR Chapter 8 Table 9 p 144-145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,D. messanensis    ,              ,138, 852,B,  4,H, 1, 120.00,     29.1000,McCartney,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                              ,                       ,               ,80                       ,                ,                   ,                          ,                       ,1                      ,                      ,14                           ,                       ,1                         ,                           ,7                    ,3                 ,                              ,                           ,                         ,Total count = 138; from ODP 138 SR Chapter 8 Table 9 p 144-145
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
