leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id,sample
56,436,,2,1,,,8.00,8.00,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PPINU0010,Pinus sp.,58%,  ,1,c754cc1d6a38e5dd6c953edd8ad61e86,56-436-2-1
56,436,,2,1,,,8.00,8.00,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTSUA0010,Tsuga sp.,10%,  ,1,b309af01942c5c1099d1f6bf0ebf3e7d,56-436-2-1
56,436,,2,1,,,8.00,8.00,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTAXU0010,Taxus,02%,  ,1,41f566fe70091c596f88804b604408f8,56-436-2-1
56,436,,2,1,,,8.00,8.00,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PALNU0010,Alnus sp.,10%,  ,1,142edcfdb4ed30516735161e75b50502,56-436-2-1
56,436,,2,1,,,8.00,8.00,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PBETU0010,Betula sp.,02%,  ,1,00dd349fbc352b3b9f5adf334b430f7f,56-436-2-1
56,436,,2,1,,,8.00,8.00,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCARP0010,Carpinus sp.,01%,  ,1,1ada5bf0b0b25d27080a71e0fd1bc251,56-436-2-1
56,436,,2,1,,,8.00,8.00,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCORY0010,Corylus sp.,01%,  ,1,013d29ded4bc900fb04775ba0285f98e,56-436-2-1
56,436,,2,1,,,8.00,8.00,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PFAGU0010,Fagus sp.,01%,  ,1,3506c8c23b7da85cd473a58673ce6ba2,56-436-2-1
56,436,,2,1,,,8.00,8.00,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PQUER0010,Quercus sp.,02%,  ,1,e39a1e86f010a6b84e2e5b89a48e7bac,56-436-2-1
56,436,,2,1,,,8.00,8.00,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PZELK0010,Zelkova sp.,01%,  ,1,c6a964796b13d3da9e650e3a5bd4bc08,56-436-2-1
56,436,,2,1,,,8.00,8.00,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PULMU0010,Ulmus sp.,01%,  ,2,c128d258e0afea8c0aa6fc2e2609f39e,56-436-2-1
56,436,,2,1,,,8.00,8.00,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCHEN0010,Chenopodiaceae,01%,  ,2,5c4224773cd3d1f6d7ecbd4ff7ea3043,56-436-2-1
56,436,,2,3,,,8.00,11.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PPINU0010,Pinus sp.,34%,  ,1,feadcf81bdb0ee28a994ab42f8da1e39,56-436-2-3
56,436,,2,3,,,8.00,11.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTSUA0010,Tsuga sp.,10%,  ,1,302deecd209ba2fabe604478a8226b00,56-436-2-3
56,436,,2,3,,,8.00,11.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTAXU0010,Taxus,23%,  ,1,6c4c705306d4d093d577e95bcbae8db1,56-436-2-3
56,436,,2,3,,,8.00,11.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PPTER0010,Pterocarya sp.,02%,  ,1,d4a7ae09bad0328ee4a3581b0d562aad,56-436-2-3
56,436,,2,3,,,8.00,11.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PALNU0010,Alnus sp.,11%,  ,1,4e0084303dd5124c35464c38045688ab,56-436-2-3
56,436,,2,3,,,8.00,11.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PBETU0010,Betula sp.,02%,  ,1,d0aff7edc0937cadda14c494d2f03c1a,56-436-2-3
56,436,,2,3,,,8.00,11.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCARP0010,Carpinus sp.,02%,  ,1,4288f1edd7a8200b6f4d6520a24ebe60,56-436-2-3
56,436,,2,3,,,8.00,11.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PCORY0010,Corylus sp.,02%,  ,1,be950fc9f768219edc5868c607081075,56-436-2-3
56,436,,2,3,,,8.00,11.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PQUER0010,Quercus sp.,03%,  ,1,1d050f4bcf5ecb4841eb16566faa57a8,56-436-2-3
56,436,,2,3,,,8.00,11.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PZELK0010,Zelkova sp.,03%,  ,1,d13948d085ad745aa753ebedff5ee698,56-436-2-3
56,436,,2,3,,,8.00,11.00,11,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PULMU0010,Ulmus sp.,03%,  ,2,8d08e7823950dd3a71914c1448bad4f8,56-436-2-3
56,436,,3,1,,,17.50,17.50,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PPINU0010,Pinus sp.,61%,  ,1,ecb20a6323e679dc79ee3d3de2f36d67,56-436-3-1
56,436,,3,1,,,17.50,17.50,12,"SATO,S.",11/1980,56,POLLEN AND SPORES,,,,,NO AGE GIVEN,904,PTSUA0010,Tsuga sp.,05%,  ,1,f74196ac6e40dd3753e0fdedf04e7a3f,56-436-3-1
