Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Theocorythium vetulum	Theocorythium trachelium	Theocalyptra davisiana	Stylatractus universus	Stichocorys peregrina	Stichocorys johnsoni	Stichocorys delmontensis	Spongodiscus ambus	Spongaster tetras	Spongaster pentas	Spirocyrtis scalaris	Spirocyrtis gyroscalaris	Solenosphaera omnitubus	Siphostichartus corona	Pterocorys minythorax	Pterocorys hertwigii	Pterocanium prismatium	Pterocanium audax	Phormostichoartus doliolum	Nephrospyris renilla renilla	Lithopera bacca	Lamprocyrtis nigriniae	Lamprocyrtis neoheteroporos	Didymocyrtis penultima	Didymocyrtis avita	Didymocyrtis antepenultima	Dictyocoryne ontongensis	Collosphaera tuberosa	Collosphaera orthoconus	Collosphaera invaginata	Centrobotrys thermophila	Botryostrobus miralestensis	Botryostrobus euporus	Anthocyrtidium angulare	Androspyris huxleyi	Androspyris fenestrata	Androspyris anthropiscus	Amphirhopalum ypsilon	Acrobotrys tritubus	Comment



  SR	                 	                 	                  	              	111	 677	B	  2	H	 5	 133.00	     14.9300	Alexandrovich	Radiolarians                                 	               	                  	-                    	+                       	1                     	-                     	-                    	-                   	-                       	-                 	+                	-                	1                   	1                       	-                      	-                     	+                    	-                   	-                     	-                	-                         	+                           	+              	+                     	-                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	+                    	-                      	-                  	-                     	-                       	+                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  2	H	 6	  83.00	     15.9300	Alexandrovich	Radiolarians                                 	               	                  	-                    	+                       	+                     	-                     	-                    	-                   	-                       	-                 	+                	-                	1                   	-                       	-                      	-                     	+                    	1                   	-                     	-                	-                         	+                           	1              	+                     	-                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	+                    	-                      	1                  	-                     	-                       	+                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  2	H	 6	 133.00	     16.4300	Alexandrovich	Radiolarians                                 	               	                  	-                    	+                       	+                     	1                     	-                    	-                   	-                       	-                 	+                	-                	+                   	-                       	-                      	-                     	+                    	+                   	-                     	-                	-                         	+                           	-              	+                     	-                          	-                     	-                 	-                         	-                       	-                    	-                      	-                      	-                       	-                          	+                    	-                      	-                  	-                     	-                       	+                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

  SR	                 	                 	                  	              	111	 677	B	  3	H	 1	  33.00	     17.4300	Alexandrovich	Radiolarians                                 	               	                  	-                    	-                       	+                     	+                     	-                    	-                   	-                       	-                 	+                	-                	+                   	-                       	-                      	-                     	+                    	-                   	-                     	-                	-                         	+                           	+              	+                     	1                          	-                     	-                 	-                         	-                       	2                    	1                      	-                      	-                       	-                          	+                    	-                      	-                  	1                     	-                       	+                    	-                  	from 111 SR. Chapter 21. Table 2. pages 248 - 250.

